Uniprot.ID	Gene.Name	ZT20	ZT24	ZT28	ZT32	ZT36	ZT40	ZT44	ZT48	ZT52	ZT56	ZT60	ZT64	ZT68	ZT72	protein_mean.level	protein_max.level	protein_rhythm.pvalue	protein.length	aa.synthesis.average.cost_Akashi	aa.synthesis.average.cost_Wagner
A0A087WP73	Dgkd	-2.686579	-2.57971	-2.29063	-2.864639	-2.74634	NA	-3.027166	-2.616539	-3.08654	-1.977242	-2.836411	NA	-2.486219	-3.104311	-2.6918605	-1.977242	0.845983453936311	NA	NA	NA
A0A087WP81	Uchl5	-1.120899	-1.26759	-1.29224	-1.76722	-1.656631	-1.502005	-1.472265	-1.296179	-1.830231	-1.361031	-1.52664	-1.424009	-1.32313	-1.62595	-1.46185857142857	-1.120899	0.233076035976283	NA	NA	NA
A0A087WP83	Hdlbp	1.57164	1.498081	1.56007	1.51676	1.60494	1.496086	1.662384	1.522051	1.487349	1.665119	1.70236	1.54645	1.63032	1.578739	1.5744535	1.70236	0.497446142625501	NA	NA	NA
A0A087WP92	Trip12	-2.633839	-2.853519	-3.387159	-2.78837	-3.236731	-3.327784	-2.642736	-2.35677	-2.76672	-3.336481	NA	-3.033009	-2.520161	-3.099239	-2.92173215384615	-2.35677	0.181445548052232	NA	NA	NA
A0A087WPC4	Rgs6	1.298431	1.17028	1.304951	1.256521	1.40233	1.134956	1.254295	1.48781	1.61768	0.9838886	1.421879	1.504681	1.34914	1.283461	1.3193074	1.61768	0.931501154593311	NA	NA	NA
A0A087WPC5	Hdlbp	1.57164	1.498081	1.56007	1.51676	1.60494	1.496086	1.662384	1.522051	1.487349	1.665119	1.70236	1.54645	1.63032	1.578739	1.5744535	1.70236	0.497446142625501	NA	NA	NA
A0A087WPC7	Tns1	-1.356409	-0.08046913	-2.40406	-1.583399	-1.194271	-1.679285	-1.807686	-0.71842	-1.28602	-0.6241703	-1.18759	-1.58227	-0.7008209	-0.67453	-1.20567145214286	-0.08046913	0.510460015220303	NA	NA	NA
A0A087WPD1	Rgs6	1.298431	1.17028	1.304951	1.256521	1.40233	1.134956	1.254295	1.48781	1.61768	0.9838886	1.421879	1.504681	1.34914	1.283461	1.3193074	1.61768	0.931501154593311	NA	NA	NA
A0A087WPF4	Apbb1	-0.7932396	-0.902029	-0.9361496	-0.6989899	-0.3835201	-0.4592152	-0.549366	-0.4597092	-0.67379	-0.9644203	-0.7105103	-0.9341087	-0.7448597	-0.7543011	-0.711729192857143	-0.3835201	0.613868545882783	NA	NA	NA
A0A087WPF9	Bzw1	-0.02492905	0.2314816	0.01828957	0.2078495	0.3436699	0.4433651	0.3520737	0.139761	0.3888683	0.2626686	0.1828194	0.02828979	0.05653	0.2332993	0.204574050714286	0.4433651	0.763112208581938	NA	NA	NA
A0A087WPH2	Hdlbp	1.57164	1.498081	1.56007	1.51676	1.60494	1.496086	1.662384	1.522051	1.487349	1.665119	1.70236	1.54645	1.63032	1.578739	1.5744535	1.70236	0.497446142625501	NA	NA	NA
A0A087WPH7	Psmc3	1.85339	1.782261	1.87496	1.823961	1.816349	1.847185	1.977634	1.742811	2.021179	1.775358	2.051331	1.72097	1.986959	1.871769	1.86757978571429	2.051331	0.92872311939798	NA	NA	NA
A0A087WPI2	Apbb1	-0.7932396	-0.902029	-0.9361496	-0.6989899	-0.3835201	-0.4592152	-0.549366	-0.4597092	-0.67379	-0.9644203	-0.7105103	-0.9341087	-0.7448597	-0.7543011	-0.711729192857143	-0.3835201	0.613868545882783	NA	NA	NA
A0A087WPI4	Ccnyl1	-3.195219	-3.153599	-3.24159	NA	-3.131701	NA	-3.476376	NA	-3.433611	NA	-2.890779	NA	NA	-3.215271	-3.21726825	-2.890779	0.538527540668166	NA	NA	NA
A0A087WPI9	Cntn2	1.06212	1.145121	0.9781399	1.16993	0.9926891	1.032637	0.9539852	0.8028107	1.017759	1.1248	1.02207	1.031511	0.8607597	1.18816	1.0273209	1.18816	0.587712026755477	NA	NA	NA
A0A087WPJ3	Ppfia4	-1.439999	-1.485979	-2.0695	-1.015919	-1.730171	-1.560863	-1.890526	-1.25042	NA	-1.177071	-1.22893	-1.49901	-1.74354	-1.35664	-1.49604369230769	-1.015919	0.0731472548266472	NA	NA	NA
A0A087WPK7	Ppp4r4	NA	NA	-3.50666	-2.48774	NA	NA	-2.987026	-3.003229	-3.18507	-3.575191	NA	-3.227219	-3.59321	-3.53533	-3.23340833333333	-2.48774	0.84728472357053	NA	NA	NA
A0A087WPL8	Atg9a	NA	-1.724949	-1.739429	-1.59502	-2.357971	-1.706024	NA	-1.84169	-2.428301	-1.987862	-2.00787	-2.63278	-1.96693	-1.99671	-1.99879466666667	-1.59502	0.640105460567443	NA	NA	NA
A0A087WPM3	Ilkap	-2.880329	-2.49202	-3.06089	-2.52944	-3.06394	NA	NA	-2.701599	NA	-2.360981	-2.32357	-3.30241	-2.67837	-2.756071	-2.74087454545455	-2.32357	0.451235049556798	NA	NA	NA
A0A087WPP1	Cacna1c	-0.3676701	NA	1.08773	0.5978508	-0.01825142	-0.6055336	-1.520475	2.957571	0.4795494	NA	-0.1301212	-0.5716496	-0.6086693	0.2415504	0.128490115	2.957571	0.156071446251454	NA	NA	NA
A0A087WPP5	Mag	-0.7220993	NA	-1.84943	NA	-0.7869511	NA	NA	-1.62612	NA	NA	-2.84333	-2.01664	-1.805241	-1.667931	-1.6647178	-0.7220993	0.715709157770527	NA	NA	NA
A0A087WPP5	Mag	4.042419	3.938139	3.981329	3.812649	4.283241	4.256287	3.874796	3.853159	3.974768	3.765999	4.146841	4.32802	4.36553	3.900669	4.03741757142857	4.36553	0.0344312595066176	NA	NA	NA
A0A087WPP6	Spock1	-3.82799	-4.035049	-4.15657	-3.96278	NA	-4.265324	-3.668026	-3.99663	-3.663551	-3.797251	-3.512291	-4.30105	-3.5312	-3.824551	-3.88786638461538	-3.512291	0.923692200999051	NA	NA	NA
A0A087WPP8	Abi2	0.8413601	0.7212601	0.8686695	0.2463703	1.24221	1.272776	1.350945	1.29945	1.249899	0.5234299	1.187359	1.088211	1.019529	1.04493	0.996885635714286	1.350945	0.255748101498859	NA	NA	NA
A0A087WPR6	Actr3	3.1693	2.885981	3.01158	3.158161	2.883701	2.766327	3.434855	2.902361	3.09458	3.238098	3.1719	3.354692	3.376219	2.927349	3.09822171428571	3.434855	0.601070815570565	NA	NA	NA
A0A087WPR7	Dst	2.43276	2.583101	2.643961	2.73605	2.454279	2.500645	2.438694	2.596609	2.411489	2.640949	2.41699	2.493341	2.562071	2.538071	2.53207214285714	2.73605	0.0725904761633423	NA	NA	NA
A0A087WPS7	Apbb1	-0.7932396	-0.902029	-0.9361496	-0.6989899	-0.3835201	-0.4592152	-0.549366	-0.4597092	-0.67379	-0.9644203	-0.7105103	-0.9341087	-0.7448597	-0.7543011	-0.711729192857143	-0.3835201	0.613868545882783	NA	NA	NA
A0A087WPT3	Twf2	1.860981	1.9151	2.19388	2.17782	2.00403	2.352137	2.110485	2.179522	2.100859	1.904499	2.100689	2.23613	1.89139	2.02692	2.07531728571429	2.352137	0.788567113791471	NA	NA	NA
A0A087WPT9	2410002F23Rik	NA	-2.240639	-2.743031	-2.776449	-2.12043	-2.616415	-4.092186	-2.138689	-1.97089	NA	NA	-2.120239	-1.758209	-2.455601	-2.45752527272727	-1.758209	0.554562047717501	NA	NA	NA
A0A087WPU0	Srrm2	-0.01132011	0.120121	0.2775993	0.07716942	0.09900856	-0.2380352	0.01940536	0.1594715	-0.02342033	0.3832283	-0.1452904	0.13657	0.1680794	0.07338905	0.0782839892857143	0.3832283	0.233599828043662	NA	NA	NA
A0A087WPU7	Ptprn	-0.5681286	-0.6752586	-0.3708706	-1.067919	-0.3702908	-0.2151451	-0.9054661	-0.740469	-0.9851303	-1.129641	-0.8375397	-0.4005585	-0.8864098	-0.5526905	-0.693251257142857	-0.2151451	0.312722250146201	NA	NA	NA
A0A087WPV3	Acy1	-0.2083797	-0.1701984	-0.2023296	-0.02083969	-0.6388912	-0.6932735	-0.01595497	-0.4128284	-0.5127811	0.1360493	-0.4542599	-0.3651695	-0.07081032	-0.2609997	-0.277904762857143	0.1360493	0.601959132156722	NA	NA	NA
A0A087WPV4	Farsb	1.085291	0.9572506	1.101	0.8844395	1.36557	1.149626	1.118225	1.1677	1.043369	0.3347092	0.8888187	1.101891	1.144979	0.7331791	1.00543200714286	1.36557	0.634701316508749	NA	NA	NA
A0A087WPV7	Gmppa	-1.34202	-1.196239	-1.135	-0.8010101	-1.250811	-1.526484	-1.284435	-1.230349	-1.052462	-1.108271	-1.2026	-0.805809	-1.13402	-1.636391	-1.19327865	-0.8010101	0.247523797833919	NA	NA	NA
A0A087WPW1	Rgs6	1.298431	1.17028	1.304951	1.256521	1.40233	1.134956	1.254295	1.48781	1.61768	0.9838886	1.421879	1.504681	1.34914	1.283461	1.3193074	1.61768	0.931501154593311	NA	NA	NA
A0A087WPW5	Ktn1	2.04565	1.994061	2.11231	2.36631	2.13315	1.907385	2.052034	2.107031	1.957169	2.24815	1.77561	2.135101	2.000299	1.98534	2.05854285714286	2.36631	0.296166403022147	NA	NA	NA
A0A087WPX0	Ktn1	2.04565	1.994061	2.11231	2.36631	2.13315	1.907385	2.052034	2.107031	1.957169	2.24815	1.77561	2.135101	2.000299	1.98534	2.05854285714286	2.36631	0.296166403022147	NA	NA	NA
A0A087WPX3	Nfasc	4.083561	4.04917	3.973299	4.038502	4.356529	4.194855	4.000425	4.0744	4.067099	4.010189	4.254641	4.077372	4.041079	4.005058	4.08758421428571	4.356529	0.00985452779404889	NA	NA	NA
A0A087WPX3	Nfasc	0.02632141	0.7724915	0.8937798	NA	0.712059	0.9801159	0.8974648	0.6542206	0.9384899	0.1605396	0.01207924	0.6203804	NA	0.7311897	0.616594320833333	0.9801159	0.571981241779119	NA	NA	NA
A0A087WPX6	Plekha6	-2.772289	-2.04159	-2.243021	-2.37307	-2.14122	-2.390574	-2.417826	-2.03672	-3.243931	-2.43536	-2.84827	-2.097939	-2.460449	-2.46035	-2.42590064285714	-2.03672	0.899190175668275	NA	NA	NA
A0A087WPY0	Ilkap	-2.880329	-2.49202	-3.06089	-2.52944	-3.06394	NA	NA	-2.701599	NA	-2.360981	-2.32357	-3.30241	-2.67837	-2.756071	-2.74087454545455	-2.32357	0.451235049556798	NA	NA	NA
A0A087WPY8	Ktn1	2.04565	1.994061	2.11231	2.36631	2.13315	1.907385	2.052034	2.107031	1.957169	2.24815	1.77561	2.135101	2.000299	1.98534	2.05854285714286	2.36631	0.296166403022147	NA	NA	NA
A0A087WPZ8	Cacna1c	-0.3676701	NA	1.08773	0.5978508	-0.01825142	-0.6055336	-1.520475	2.957571	0.4795494	NA	-0.1301212	-0.5716496	-0.6086693	0.2415504	0.128490115	2.957571	0.156071446251454	NA	NA	NA
A0A087WPZ9	Dnajb2	0.02423096	-0.1680183	-0.08422089	0.1163502	0.4308395	0.09766579	0.09846497	-0.1554298	-0.01872063	0.3606682	0.2449188	0.1556301	-0.007499695	-0.1276608	0.0690870289285714	0.4308395	0.00632532047912638	NA	NA	NA
A0A087WQ02	Trip12	-2.633839	-2.853519	-3.387159	-2.78837	-3.236731	-3.327784	-2.642736	-2.35677	-2.76672	-3.336481	NA	-3.033009	-2.520161	-3.099239	-2.92173215384615	-2.35677	0.181445548052232	NA	NA	NA
A0A087WQ14	Actr3	3.1693	2.885981	3.01158	3.158161	2.883701	2.766327	3.434855	2.902361	3.09458	3.238098	3.1719	3.354692	3.376219	2.927349	3.09822171428571	3.434855	0.601070815570565	NA	NA	NA
A0A087WQ25	Ktn1	2.04565	1.994061	2.11231	2.36631	2.13315	1.907385	2.052034	2.107031	1.957169	2.24815	1.77561	2.135101	2.000299	1.98534	2.05854285714286	2.36631	0.296166403022147	NA	NA	NA
A0A087WQ29	2410002F23Rik	NA	-2.240639	-2.743031	-2.776449	-2.12043	-2.616415	-4.092186	-2.138689	-1.97089	NA	NA	-2.120239	-1.758209	-2.455601	-2.45752527272727	-1.758209	0.554562047717501	NA	NA	NA
A0A087WQ38	Wdr82	-0.6188393	-1.109219	-1.10034	-0.2609196	-0.6798306	-0.7131634	-1.064926	-1.05493	-0.8699799	-0.5799618	-0.2651405	-0.9549103	-1.35474	-1.039261	-0.833297242857143	-0.2609196	0.0345727311682342	NA	NA	NA
A0A087WQ40	Ndufv3	1.06159	0.518671	0.5174389	0.7544098	0.9946899	0.9624653	0.7995949	0.7544804	0.872879	0.8600082	1.23732	0.8187313	0.9777699	0.5668507	0.835492807142857	1.23732	0.0209054455362109	NA	NA	NA
A0A087WQ41	Kcnma1	0.3356705	0.6823101	0.4050198	0.6294403	0.6400986	0.8314056	0.5939236	0.34412	0.6958084	0.8567486	0.5107689	0.5506115	0.4264297	0.5509796	0.575238228571429	0.8567486	0.359832271870119	NA	NA	NA
A0A087WQ46	Nop58	-0.1012993	-0.5218086	-0.123621	-0.2884388	-0.2889805	0.08375549	-0.148035	-0.1774597	-0.4276314	-0.4123116	-0.3818398	-0.3593388	0.4884205	-0.2849007	-0.210249229285714	0.4884205	0.242852546145831	NA	NA	NA
A0A087WQ55	Ilkap	-2.880329	-2.49202	-3.06089	-2.52944	-3.06394	NA	NA	-2.701599	NA	-2.360981	-2.32357	-3.30241	-2.67837	-2.756071	-2.74087454545455	-2.32357	0.451235049556798	NA	NA	NA
A0A087WQ58	Apbb1	-0.7932396	-0.902029	-0.9361496	-0.6989899	-0.3835201	-0.4592152	-0.549366	-0.4597092	-0.67379	-0.9644203	-0.7105103	-0.9341087	-0.7448597	-0.7543011	-0.711729192857143	-0.3835201	0.613868545882783	NA	NA	NA
A0A087WQ63	Tardbp	1.86264	2.041552	2.19318	2.08522	2.308739	2.092016	1.955894	2.198971	2.22794	2.019369	2.34186	2.054111	1.852699	1.97019	2.08602721428571	2.34186	6.52612504402474e-07	NA	NA	NA
A0A087WQ77	Ndufs1	5.20256	4.72048	4.874681	4.89658	4.932541	4.830364	5.143324	4.67993	5.126608	4.941898	5.169531	5.013922	5.24943	4.72818	4.96500207142857	5.24943	0.350892735452136	NA	NA	NA
A0A087WQ78	Ilkap	-2.880329	-2.49202	-3.06089	-2.52944	-3.06394	NA	NA	-2.701599	NA	-2.360981	-2.32357	-3.30241	-2.67837	-2.756071	-2.74087454545455	-2.32357	0.451235049556798	NA	NA	NA
A0A087WQ86	Dock10	-2.14596	-1.658649	-1.693769	-2.12784	-2.138151	-1.988255	-2.289265	-2.02759	-1.975391	-2.240631	-1.86767	-2.403109	-1.593031	-2.075171	-2.01603442857143	-1.593031	0.506008855299135	NA	NA	NA
A0A087WQ92	Hdac4	-1.64917	-1.772968	-1.76577	-1.62318	-1.630011	-1.051064	-1.431345	-1.043468	-2.087181	-1.413052	-1.966831	-1.436029	-1.56353	NA	-1.57181530769231	-1.043468	0.465675167555066	NA	NA	NA
A0A087WQ93	Vgf	1.541101	1.91	1.819399	1.83429	1.69824	1.563955	1.678034	1.79006	1.935879	1.89761	1.96534	1.689322	1.79644	1.77463	1.77816428571429	1.96534	0.0404778389089653	NA	NA	NA
A0A087WQ94	Tns1	-1.356409	-0.08046913	-2.40406	-1.583399	-1.194271	-1.679285	-1.807686	-0.71842	-1.28602	-0.6241703	-1.18759	-1.58227	-0.7008209	-0.67453	-1.20567145214286	-0.08046913	0.510460015220303	NA	NA	NA
A0A087WQA0	Bclaf1	-0.1101189	-0.4361	-0.2740707	-0.06943893	-0.4993	-0.4732838	-0.2423649	-0.41395	-0.6350212	-0.05717087	-0.1523209	-0.4245701	-0.01357079	-0.4442501	-0.303252227857143	-0.01357079	0.806848374960527	NA	NA	NA
A0A087WQA1	Dock10	-2.14596	-1.658649	-1.693769	-2.12784	-2.138151	-1.988255	-2.289265	-2.02759	-1.975391	-2.240631	-1.86767	-2.403109	-1.593031	-2.075171	-2.01603442857143	-1.593031	0.506008855299135	NA	NA	NA
