Table S7. PROTEOME Synaptoneurosomes and Total Forebrain,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Normalized Intesities of Forebrain samples collected around the 24 hours in 4 hour intervals.,,,,,,,,,,,,,,,,,,,,,,,,,,
4 biological replicates per time point.,,,,,,,,,,,,,,,,,,,,,,,,,,
Periodicity analysis done with the Perseus software as describes in the Materials and Methods section.,,,,,,,,,,,,,,,,,,,,,,,,,,
Phase and q-value: Obtained from Time series analisys performed with Perseus software.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Gene names,Majority protein IDs,Protein names,Peptides,Unique sequence coverage [%],Phase_,q-value_,ZT0_1,ZT0_2,ZT0_3,ZT0_4,ZT4_1,ZT4_2,ZT8_1,ZT8_2,ZT8_3,ZT12_1,ZT12_2,ZT12_3,ZT16_1,ZT16_2,ZT16_3,ZT16_4,ZT20_1,ZT20_2,ZT20_3,ZT20_4
Hdac11,Q91WA3;D3Z2G7,Histone deacetylase 11,12,40.6,13.79052285,0,-1.042849,-1.39045,-2.00548,-1.438129,-1.550171,-1.70606,-0.7340202,-1.064331,-0.7527637,-0.5606403,-0.7003307,-0.375679,-0.4603348,-0.7392597,-0.7872696,-0.5493088,-0.933445,-1.002319,-0.5859089,-1.246729
Add3,Q9QYB5-2,Gamma-adducin,25,2.1,13.83495236,0,2.355492,2.16419,2.439089,2.41037,2.470459,2.479319,2.546909,2.534901,2.540588,2.769379,2.97336,2.941822,2.912457,2.770182,2.79587,2.788382,2.628954,2.493948,2.610229,2.694109
Necap1,Q9CR95,Adaptin ear-binding coat-associated protein 1,12,51.6,14.44875869,0,2.309912,2.171751,2.108829,2.22648,2.23757,2.231089,2.428801,2.297829,2.558338,2.25116,2.63769,2.567501,2.790176,2.68886,2.72365,2.62253,2.439215,2.315849,2.4706,2.44421
Rab3c,P62823,Ras-related protein Rab-3C,8,39.6,14.64668447,0,1.668261,1.470041,1.458981,1.28994,1.41184,1.79155,1.724661,1.578369,1.527977,1.99209,2.07061,2.207571,2.016716,1.98831,1.963539,2.143471,2.113735,1.85947,1.983761,1.68117
Erp29,P57759,Endoplasmic reticulum resident protein 29,11,48.5,14.73720543,0,0.6134815,0.6893101,0.5477104,0.5436497,0.4345093,0.5406685,0.5789909,0.7074299,0.4350357,0.9885902,1.1581,0.9677505,0.9298058,0.9556999,1.03307,0.8936901,0.6558743,0.6559601,0.8941097,0.7204609
Vps26b,Q8C0E2;Q8C0E2-2,Vacuolar protein sorting-associated protein 26B,21,56,15.13932605,0,1.934841,2.00753,2.027781,1.98229,2.02264,1.98012,2.00835,2.16852,1.890347,2.344879,2.397259,2.47662,2.314415,2.38789,2.320429,2.170021,2.220285,2.402809,2.16811,2.3146
Cyfip1,Q7TMB8;Q7TMB8-2,Cytoplasmic FMR1-interacting protein 1,48,23.7,15.23885454,0,0.6582909,0.8102112,0.6488991,0.7756596,0.8972301,1.042559,0.9239006,0.7266884,0.8429871,1.229889,1.237949,1.17753,1.352716,1.081501,1.31798,1.387131,1.098644,1.235809,1.13063,1.192501
Mrps26,Q80ZS3,"28S ribosomal protein S26, mitochondrial",7,37.5,15.5026348,0,-2.12319,-2.044519,-1.73501,-2.09165,-2.842569,-2.193331,-1.82884,-1.629292,-2.056263,-1.6005,-1.257441,-1.10215,-1.295464,-1.24593,-1.41283,-0.7369995,-1.398026,-1.0748,-1.827579,-1.398251
Acot13,Q9CQR4,"Acyl-coenzyme A thioesterase 13;Acyl-coenzyme A thioesterase 13, N-terminally processed",6,49.3,15.50373306,0,1.4417,1.442291,1.58127,1.45499,1.402519,1.621529,1.474171,1.667398,1.413036,2.279339,2.020189,2.18091,2.304976,2.08935,2.138639,2.082901,1.996595,2.26767,1.712801,2.14513
Decr1,Q9CQ62,"2,4-dienoyl-CoA reductase, mitochondrial",12,38.2,15.61338247,0,0.2860909,0.01733971,0.4524002,0.4302006,0.4210396,0.5259895,0.3521709,0.2659683,0.2167873,1.04484,0.9288101,0.5809307,1.020096,0.8060303,1.079479,0.8250008,0.7049751,0.7416,0.7087612,0.84235
Selenbp1;Selenbp2,P17563;Q63836;G3UYY2,Selenium-binding protein 1;Selenium-binding protein 2,21,53.6,16.14659506,0,0.5494099,0.6834812,0.5551205,0.5684013,0.4684792,0.5264988,0.5253811,0.5413685,0.5632057,0.7406387,0.7782192,0.7831497,0.7431564,0.8865604,0.8764305,0.6461411,0.8097649,0.6611805,0.7532806,0.76581
Atp5i;Atp5k,Q06185;Q8BTB6,"ATP synthase subunit e, mitochondrial",6,66.2,16.3461998,0,2.08007,2.00609,2.057499,1.611361,1.89764,1.98386,1.964941,1.890268,1.577637,2.46191,2.749411,2.052021,2.845715,2.456041,2.52421,2.69663,2.568125,2.576658,2.43791,2.315481
Tceal6,Q9DB24,,13,5,12.91854842,0.002580645,0.1758499,0.1579208,-0.118021,-0.03791046,0.1830292,-0.002651215,0.319931,0.5012398,0.3344975,0.7080593,0.4513988,0.92062,0.9518852,0.461731,0.7507401,0.6396809,0.5200653,0.004299164,-0.1373901,0.002691269
Exoc7,O35250;A2AAN0;O35250-2,Exocyst complex component 7,31,55.1,2.26470675,0.002666667,1.013182,0.9863415,0.9840393,1.086241,1.03001,0.9369392,0.9456997,0.9037895,0.9645767,0.8136387,0.7176991,0.8972511,0.5513763,0.7932301,0.6686401,0.6906509,0.8825741,0.9562302,1.004431,0.9606495
Kcna2,P63141,Potassium voltage-gated channel subfamily A member 2,9,12.4,14.5006906,0.00409375,-0.1040096,-0.0196991,-0.2605095,-0.185709,-0.5447102,-0.6478214,-0.04310036,0.08975983,0.1436958,0.3776188,0.3701992,0.1358395,0.01478577,0.4246712,0.3468304,0.1673908,0.1150436,-0.04735947,0.1340199,-0.006660461
Pclo,Q9QYX7;Q9QYX7-2,Protein piccolo,206,49,12.50062238,0.004958333,4.51285,4.595232,4.589642,4.552361,4.61059,4.49637,4.65115,4.648411,4.641136,4.7812,4.669889,4.71365,4.771336,4.660189,4.717569,4.616232,4.586813,4.51557,4.515961,4.621611
Gys1,Q9Z1E4;D3Z0Q6,"Glycogen [starch] synthase, muscle",12,21.4,21.13786922,0.00506383,-1.480509,-1.63962,-1.81052,-1.467899,-1.50104,-1.593182,-1.990969,-1.96661,-2.008923,-1.84193,-2.282391,-1.9459,-1.825184,-1.624729,-1.56411,-1.615688,-0.8540859,-1.171539,-0.8979588,-0.8853588
Rph3a,P47708,Rabphilin-3A,34,50.2,13.95876195,0.005173913,3.6201,3.490271,3.556091,3.507721,3.571501,3.547869,3.729,3.747509,3.782856,3.800358,3.700018,3.70369,3.666916,3.879171,3.785841,3.90254,3.752504,3.76111,3.6833,3.683809
Rps23,P62267,40S ribosomal protein S23,5,29.4,14.46556848,0.005288889,1.26062,1.141581,1.115469,0.8930206,1.11545,1.301809,1.512569,1.54608,1.412756,2.380749,1.353359,2.114759,1.898476,2.048512,1.75481,1.692921,1.732254,1.50243,1.830221,1.935171
Copb2,O55029,Coatomer subunit beta,29,38.9,15.53527881,0.005409091,1.34099,1.299911,1.189369,1.42738,1.30472,1.126228,1.384361,1.469358,1.393007,1.7239,1.66048,1.63933,1.793945,1.41086,1.585049,1.645321,1.644905,1.65299,1.58448,1.811201
Clic4,Q9QYB1,Chloride intracellular channel protein 4,11,48.6,14.0984573,0.005534884,0.8910904,0.5522404,1.037859,0.7572212,0.8411102,1.08256,0.8869095,0.8754787,0.9372673,1.29941,1.26318,1.64435,1.336466,1.27116,1.329079,1.31286,0.9528446,1.214439,0.9935112,0.9962597
Gap43,P06837,Neuromodulin,26,80.6,9.022765262,0.005666667,5.46266,5.405031,5.312611,5.337231,5.66477,5.466249,5.463619,5.721329,5.617435,5.82029,5.74824,5.768002,5.374725,5.383101,5.286509,5.61178,5.099924,4.897371,5.231541,5.238081
Cul5,Q9D5V5;E9PV12;G3X914;E9Q6Z0,Cullin-5,40,47.6,2.307242106,0.0058,1.9307,2.02667,1.925711,1.956221,1.96616,2.074549,1.830709,1.93195,1.936777,1.81675,1.70578,1.735109,1.487597,1.81538,1.72183,1.705051,1.905544,2.04315,1.82127,1.88538
Uqcrq,Q9CQ69,Cytochrome b-c1 complex subunit 8,7,82.9,4.217538196,0.005804878,3.549273,3.27743,3.219379,3.22113,3.477671,3.549101,3.326302,3.542038,3.406857,3.252769,3.172152,3.144062,3.032635,3.068201,3.102221,2.814692,3.181875,3.26642,3.334339,3.1556
Nipsnap3b,Q9CQE1;B1AWZ5,Protein NipSnap homolog 3B,10,52.2,13.18832765,0.005918367,0.52952,0.2964306,0.1891289,0.3348007,0.2322006,0.5712185,0.6344795,0.3611794,0.6068573,0.7272587,0.7589092,0.7255001,0.8408451,0.7620907,0.8364296,0.5275612,0.3154545,0.3722095,0.4587708,0.554491
Impdh2,P24547;A0A0A6YY72,Inosine-5-monophosphate dehydrogenase 2,15,32.5,16.55375815,0.00595,-0.2153492,-0.1784096,-0.2226906,-0.5499897,-0.2982407,-0.3467312,-0.222929,-0.02876091,-0.3403931,0.02309036,-0.003629684,0.09912109,0.02091599,0.2147503,0.02363014,0.3084908,0.3132343,0.3082104,0.1775208,0.3568306
Pnpla8,Q8K1N1;E9QAC9;E9PXB0,Calcium-independent phospholipase A2-gamma,20,28.1,14.28947504,0.006102564,-0.9060898,-1.048738,-0.9501705,-1.20118,-1.029831,-1.27713,-1.07316,-0.7628212,-0.9096527,-0.6769009,-0.7502499,-0.622179,-0.8261337,-0.3671188,-0.4615307,-0.6468296,-1.070635,-0.9013309,-0.9364986,-0.8841305
Fam49a,Q8BHZ0,Protein FAM49A,13,47.7,5.905069598,0.006263158,1.85841,1.91057,1.78775,1.849091,1.962339,2.103529,2.09893,2.202429,2.006426,1.804859,1.71611,1.87508,1.861977,1.46858,1.595869,1.824282,1.648275,1.862921,1.62772,1.59119
Ap3m1,Q9JKC8;H7BWY2,AP-3 complex subunit mu-1,10,15.8,18.66050114,0.006365385,-2.17388,-2.796419,-2.55113,-2.32715,-2.398581,-2.529041,-3.178619,-2.922161,-3.019114,NaN,-2.48563,-2.55303,NaN,-2.152439,-1.84326,-1.99066,-2.163666,-1.84408,-2.097609,-1.53557
Rpl27a,P14115,60S ribosomal protein L27a,3,19.6,14.37175411,0.006432432,0.5271416,0.8094597,0.6926193,0.7684803,0.5706596,0.5486584,0.7571201,0.73106,0.7505569,1.15267,1.076309,1.091949,1.371645,1.190891,1.16151,1.274971,0.5130749,0.5906105,1.129871,0.6795006
Cops4,O88544;F6QTS1;D3YV99;D3Z1R9,COP9 signalosome complex subunit 4,24,66.3,2.403505357,0.006490196,2.64934,2.712881,2.740841,2.679192,2.70508,2.769011,2.585762,2.549271,2.543236,2.47547,2.494181,2.7103,2.284826,2.429131,2.394339,2.350552,2.666033,2.641069,2.56192,2.610979
Acss1,Q99NB1,"Acetyl-coenzyme A synthetase 2-like, mitochondrial",17,33.7,17.1525234,0.006611111,-0.09000015,-0.002269745,-0.002689362,-0.07684898,-0.05089951,-0.09273148,-0.2577591,-0.36203,-0.1824627,0.2265701,-0.07715988,0.3003597,0.1997967,0.2101097,0.371439,0.2474098,0.2170544,0.25214,-0.001508713,0.3277912
Khsrp,Q3U0V1,Far upstream element-binding protein 2,27,33.2,14.05121028,0.0068,2.063511,2.021511,2.00359,2.11981,2.18095,1.95784,2.153891,2.303209,2.302496,2.23214,2.293859,2.37532,2.266827,2.380211,2.267479,2.303131,2.298355,2.240721,2.244741,2.277811
Cox6b1,P56391,Cytochrome c oxidase subunit 6B1,5,29.1,11.49568022,0.00690566,3.53248,2.951841,2.888359,3.306801,3.305349,3.30102,3.643711,3.645599,3.278656,3.70562,3.593748,3.691059,3.530487,3.527109,3.436781,3.532972,3.230936,3.217051,3.138191,3.207232
Cntnap1,O54991,Contactin-associated protein 1,34,29.5,14.52265271,0.007,2.07299,1.90447,1.9753,2.20639,1.95174,2.307009,2.14974,2.21727,2.132017,2.46921,2.595579,2.63903,2.494877,2.329231,2.392609,2.471071,2.316605,2.317659,2.356112,2.529539
Taf15,Q8BQ46;F6QCI0,,9,20.8,4.983705272,0.007212121,1.450701,1.35103,1.22518,1.53145,1.42877,1.259199,1.569851,1.691339,1.897966,0.9225388,1.266039,0.9285793,0.7361755,0.7824898,1.0438,0.8686104,1.273945,0.85145,0.8949013,0.9180698
Epdr1,Q99M71,Mammalian ependymin-related protein 1,6,29.5,14.61010233,0.007425926,-0.3389893,-0.4728489,-0.1732197,-0.5480595,-0.4523602,-0.05816078,-0.2035999,0.1735382,0.1586361,0.4349289,0.5893288,0.2417297,0.3087254,0.3123512,0.7105598,-0.03479958,0.3136845,0.2989807,0.2363701,0.5183697
Emc7,Q9EP72,ER membrane protein complex subunit 7,9,48.5,17.90658031,0.007706897,-0.7294598,-0.7070389,-1.096121,-0.7144299,-0.7499008,-0.8724499,-1.1992,-1.353701,-0.7580128,-0.4807205,-0.6212502,-0.69137,-0.4500351,-0.08375931,-0.1949005,-0.6543999,-0.2817059,0.1370907,-0.02680016,-0.4375896
Ndufs7,Q9DC70,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial",7,22.8,15.42193853,0.007842105,1.666821,1.604681,1.49085,1.74332,1.484829,1.685789,1.86351,1.958448,1.781017,2.15539,2.499838,2.63203,2.264366,2.06646,2.200109,2.420752,2.463243,2.849562,2.117001,2.27907
Sirpa,Q6P6I8;P97797-2,Tyrosine-protein phosphatase non-receptor type substrate 1,14,4.5,15.7223521,0.007982143,3.99222,4.102739,4.09586,4.128262,4.189558,4.12438,4.27914,4.25658,4.108448,4.468239,4.353388,4.36655,4.294426,4.395521,4.643839,4.42198,4.564054,4.448,4.54908,4.391722
Rab3d,D3YWL1;D3YW33;P35276,Ras-related protein Rab-3D,3,10.4,23.90835196,0.008127273,2.27602,2.68223,2.427559,2.759441,2.76338,2.0576,1.80611,2.0301,2.618378,1.28187,1.601139,1.344311,1.979607,1.64257,1.66753,1.679651,2.609995,3.009111,2.589939,3.16078
Hagh,Q99KB8;G5E8T9;Q99KB8-2;E9PYA3;E9Q2H8;D3YWI0,"Hydroxyacylglutathione hydrolase, mitochondrial",11,52.1,14.50963723,0.008220339,1.824121,1.906471,2.17137,1.93886,2.15473,1.964249,1.915291,2.075609,2.082056,2.29917,2.527109,2.223721,2.521297,2.34148,2.503679,2.317911,2.087444,2.24827,1.939611,2.25107
Pa2g4,P50580;P50580-2;D3YVH7,Proliferation-associated protein 2G4,17,50.5,15.81167845,0.00876,1.146582,1.22147,1.269091,0.9811096,1.24185,1.17264,1.045431,1.025518,1.268116,1.454569,1.5411,1.62422,1.554535,1.4601,1.562399,1.597672,1.567934,1.57745,1.11607,1.63888
Ptcd3,Q14C51,"Pentatricopeptide repeat domain-containing protein 3, mitochondrial",13,24.7,16.06119714,0.008878378,-2.23275,-2.46126,-2.26615,-2.549749,-2.601669,-2.366661,-2.490089,-2.28726,-2.373663,-1.758581,-2.21398,-1.88282,-1.912094,-2.120409,-2.187,-1.99782,-2.098076,-1.888281,-1.905319,-1.900959
Emd,O08579;Q3THM8;I7HJS1;B7FAU5,Emerin,10,51,15.87613748,0.008983333,-1.05509,-0.9281902,-0.86936,-1.25,-0.8063011,-1.1224,-1.34234,-1.202911,-0.9305725,-0.581171,-0.5273895,-0.3633289,-0.2315235,-0.5992203,-0.7188702,-0.2547989,-0.3453465,-0.739851,-0.6588993,-0.7738991
Otub1,Q7TQI3;D3YWF6,Ubiquitin thioesterase OTUB1,14,61.6,3.349408063,0.009,3.856451,3.725672,3.99839,3.685619,3.759649,3.936647,3.714569,3.754589,3.690567,3.41177,3.534819,3.544331,3.296726,3.614012,3.610838,3.553862,3.478155,3.62314,3.600479,3.359999
Dync1i2,Q3TPJ8;A2BFF9;O88487;A2BFF5;A2BFF8,Cytoplasmic dynein 1 intermediate chain 2,18,34.2,13.48200829,0.009125,1.545961,1.635141,1.650829,1.620871,1.6495,1.77599,1.77841,1.81395,1.575657,2.110189,1.85594,1.9608,2.230927,2.166901,2.041019,2.067282,1.486824,1.49016,1.71771,1.70904
Atad1,Q9D5T0,ATPase family AAA domain-containing protein 1,10,35.7,2.886485003,0.009223684,0.8037815,0.7863712,0.9703789,0.9522495,0.8339291,0.8793297,1.077351,0.8703785,0.8844357,0.5492287,0.6561794,0.5449409,0.3515949,0.5325909,0.6413498,0.530611,0.913084,0.7516308,0.7564316,0.8632107
Golga7,Q91W53;Q91W53-2,Golgin subfamily A member 7,6,34.3,10.98547535,0.009253521,NaN,-2.39978,NaN,-2.49861,-2.232071,NaN,-1.678099,-1.920111,-1.362694,-1.826561,-1.7798,-1.445709,-1.983055,-2.055269,-1.921221,-1.683828,-2.312996,-1.976471,-2.48251,-2.13656
Nebl,Q9DC07,LIM zinc-binding domain-containing Nebulette,14,23,11.47830958,0.009370968,2.116282,2.007021,1.89533,2.069139,2.22353,2.027039,2.48233,2.532558,2.093527,2.425949,2.355391,2.62085,2.372686,2.169941,2.151869,2.40917,1.985044,2.23135,2.14023,2.136721
Rnh1,Q91VI7,Ribonuclease inhibitor,8,23,22.60572381,0.009385714,0.5522709,0.6649113,0.5192089,0.7706604,0.30826,0.4146099,0.08498001,0.4352093,0.1685066,0.3918495,0.1744289,0.1146698,0.4033451,0.2149315,0.3568687,0.4736805,0.4704151,0.7184696,0.3539314,0.5429897
Kifap3,P70188;P70188-2,Kinesin-associated protein 3,16,22.3,0.099726462,0.009424242,-0.76441,-0.4122791,-0.5861397,-0.6607494,-0.8273907,-0.8664398,-0.9570904,-1.036331,-0.8310032,-0.9385109,-1.065731,-1.143509,-1.285725,-1.18372,-0.9736214,-1.009649,-0.7760448,-0.3523998,-0.8340988,-0.6180401
Pnpo,Q91XF0,Pyridoxine-5-phosphate oxidase,8,37.9,3.589237943,0.009521739,-0.06778908,-0.3086891,-0.4027596,-0.47369,-0.1210899,0.1219196,-0.4219303,-0.2478409,-0.4366035,-0.6926098,-0.9804401,-0.4140892,-0.4896641,-0.6312695,-0.8524914,-0.8122101,-0.5779362,-0.4229698,-0.8948193,-0.6151695
Tbc1d10b,Q8BHL3,TBC1 domain family member 10B,21,35.8,15.46904902,0.00952459,0.49646,0.4474602,0.9965496,0.5326595,0.3533306,0.5713501,0.6506901,0.6887398,0.8515759,0.952919,0.9134998,0.7305603,0.9729748,0.8805714,1.136789,1.060711,0.8191452,0.82201,0.8930302,0.9487095
Fxr2,Q6P5B5;Q9WVR4,Fragile X mental retardation syndrome-related protein 2,14,21.2,11.33194747,0.009569231,-1.679579,-1.705629,-1.63061,-1.724909,-1.421301,-1.40658,-1.133509,-1.24402,-1.334023,-1.37915,-1.103849,-1.336821,-1.615734,-1.329559,-1.26952,-1.240629,-1.379166,-1.50931,-1.464989,-1.4541
Psmb7,P70195,Proteasome subunit beta type-7,7,26,12.89998203,0.009661765,1.289162,1.40069,1.475439,1.25164,1.290279,1.243198,1.50581,1.63522,1.556717,1.54855,1.579411,1.62541,1.751705,1.559601,1.53747,1.506821,1.328114,1.53443,1.285021,1.464441
H2afy,Q9QZQ8,Core histone macro-H2A.1,16,10.5,14.86666517,0.00971875,2.48444,2.216921,2.397709,2.196711,2.38719,2.685099,2.362841,2.400549,2.287497,2.800758,2.843931,2.59182,2.827087,2.763079,2.791201,2.816442,2.584486,2.57876,2.4939,2.629171
Tmem222,Q8BVA2,Transmembrane protein 222,3,27.9,13.36505364,0.00980597,-2.966169,-3.06547,NaN,-2.779039,NaN,-2.372011,-2.17168,-2.445511,NaN,-1.655561,-1.349661,-1.58049,-1.733765,-2.085089,-2.18582,-1.771599,-2.204985,-2.25268,-1.876219,-2.030649
Ccdc132,Q8CI71;Q8CI71-2;Q8CI71-3;V9GXD1,Coiled-coil domain-containing protein 132,34,43.6,2.153501052,0.009873016,1.08156,1.189671,1.117769,1.006001,1.18095,1.251379,0.9588795,1.119808,1.081316,0.7099991,0.9577999,0.6145,0.7126465,0.8068905,0.9114094,0.7976398,0.8615341,1.177599,0.9197311,1.209221
Huwe1,Q7TMY8;A2AFQ0;Q7TMY8-3;Q7TMY8-4;Q7TMY8-2,E3 ubiquitin-protein ligase HUWE1,66,19.3,3.520434066,0.010350649,1.32999,1.24596,1.280279,1.392031,1.465679,1.376678,1.40571,1.4739,1.312267,1.147209,0.9353294,1.109529,1.062366,1.16239,1.107599,1.054461,1.330254,1.323799,0.9913902,1.22394
Cd81,P35762,CD81 antigen,2,11.9,4.347828428,0.010807692,0.1974716,0.2926407,0.6058598,0.2774506,0.06092072,0.8126984,0.18083,0.001749039,0.1751862,-0.4878597,-0.7910099,-1.09318,-0.6749535,-0.5145588,-0.6837311,-0.2994595,-1.558306,-0.9641495,-1.022829,-1.321459
Oxr1,Q4KMM3;Q4KMM3-2,Oxidation resistance protein 1,48,2.7,7.058120369,0.011505882,4.11849,4.180841,4.293148,4.23864,4.230871,4.25733,4.35495,4.326878,4.166557,4.197941,4.310019,4.275082,4.034916,4.074381,4.121161,4.191351,4.003653,3.90344,4.091751,4.04598
