CycID,ARS_pvalue,ARS_BH.Q,ARS_period,ARS_adjphase,ARS_amplitude,JTK_pvalue,JTK_BH.Q,JTK_period,JTK_adjphase,JTK_amplitude,LS_pvalue,LS_BH.Q,LS_period,LS_adjphase,LS_amplitude,meta2d_pvalue,meta2d_BH.Q,meta2d_period,meta2d_phase,meta2d_Base,meta2d_AMP,meta2d_rAMP,Time_point_2,Time_point_6,Time_point_10,Time_point_14,Time_point_18,Time_point_22,Time_point_26,Time_point_30,Time_point_34,Time_point_38,Time_point_42,Time_point_46,UNIPROTKB,GENES,description
Q3UPH1,0.001722572,0.202598481,24.04819277,2.721032108,8.116973338,0.032458965,0.792318006,28,0,9.725748259,0.112391726,1,24.64419476,1.970390007,20.71511137,0.000532314,0.056615442,25.56412918,1.65401582,13.03610635,8.919909262,0.684246432,18.39077951,16.19500232,6.729189537,5.701666962,0,19.7266927,20.56057228,21.60015486,11.09348481,7.003880335,10.50824994,13.94001982,Q3UPH1,Prrc1,proline-rich coiled-coil 1 [Source:MGI Symbol;Acc:MGI:1916106]
Q8BWW3,0.003326588,0.202598481,24.34146341,3.062176133,10.28121093,0.01754066,0.746229774,28,0,10.93464263,0.132379183,1,26.21513944,2.374614346,120.4348807,0.000633793,0.062914545,26.18553429,1.901539513,109.6078193,11.59352074,0.105772752,110.7535778,115.9361133,99.17358918,98.39867189,101.7885003,113.8972722,121.3808547,118.7315117,117.1236904,100.8429788,96.78368306,113.4869381,Q8BWW3,Pgm3,phosphoglucomutase 3 [Source:MGI Symbol;Acc:MGI:97566]
Q80Y52,0.006736325,0.202598481,24,5.766534641,29.51175226,0.008979903,0.668553793,28,4,18.765261,0.151356089,1,28,2.204913146,324.0130439,0.000731492,0.068074516,26.66666667,4.092042912,287.5687041,34.21339579,0.118974684,300.8955788,291.34655,290.992193,264.6312849,231.3565489,286.2162653,305.8502225,338.7431906,306.749444,292.6263236,267.8510057,274.526426,Q80Y52,Hsp90aa1,"heat shock protein 90, alpha (cytosolic), class A member 1 [Source:MGI Symbol;Acc:MGI:96250]"
Q8CGB6-2,0.01626561,0.214885304,21.12169312,11.97844255,2.097580156,0.004320437,0.668553793,20,14,1.959769343,0.148297553,1,20,9.961951294,28.62104748,0.000815703,0.070327254,20.37389771,11.95602137,27.60150415,2.303258165,0.083446835,26.40351856,24.87785509,29.83102484,30.43079536,28.52630013,25.50458405,27.84213885,29.17505094,28.64241856,26.58468793,23.58665487,26.80323799,Q8CGB6,Tns2,tensin 2 [Source:MGI Symbol;Acc:MGI:2387586]
Q71LX8,0.024440569,0.227450044,24,6.320142697,65.37042841,0.008979903,0.668553793,28,4,66.88389766,0.062853192,1,28,3.072998593,1551.715023,0.001032019,0.080877696,26.66666667,4.555143471,1473.816025,85.59007932,0.058073788,1519.611245,1543.83478,1438.292262,1400.376139,1389.062188,1453.619725,1505.792106,1544.623042,1566.653209,1518.686979,1412.623123,1407.07099,Q71LX8,Hsp90ab1,"heat shock protein 90 alpha (cytosolic), class B member 1 [Source:MGI Symbol;Acc:MGI:96247]"
P63330,0.016605164,0.214885304,24,5.18576452,9.071022682,0.008979903,0.668553793,28,4,12.24701971,0.11211892,1,25.01901141,4.105907323,30.03126407,0.001211881,0.090224559,25.6730038,4.473716938,22.13018933,10.51184392,0.47500018,35.63931419,31.0645872,31.15746146,14.61066257,12.28077518,16.82149431,30.37377903,38.48438348,17.23762505,14.38106197,15.07244849,7.847625597,P63330,Ppp2ca,"protein phosphatase 2 (formerly 2A), catalytic subunit, alpha isoform [Source:MGI Symbol;Acc:MGI:1321159]"
Q501P1,0.002620651,0.202598481,23.20930233,1.024663551,48.69159835,0.057269646,0.897626344,24,0,37.34537709,0.143635533,1,23.41637011,1.936232012,557.7253066,0.001497592,0.093573082,23.54189081,0.995822707,528.0430842,49.02095073,0.092835134,569.2903477,528.6976166,475.622164,511.0083511,474.120267,602.2551543,547.7350365,531.829946,490.3647069,494.8500136,528.3658187,594.0074288,Q501P1,Fbln7,fibulin 7 [Source:MGI Symbol;Acc:MGI:1917620]
Q5M9M0,0.006400309,0.202598481,21.01052632,14.66329582,37.41220084,0.01754066,0.746229774,24,16,30.42723132,0.197266614,1,21.15755627,15.86555515,190.7757907,0.001531501,0.093573082,22.05602753,15.54366809,150.462874,37.97830605,0.252409814,102.5506935,118.1009883,160.2041203,220.1466786,197.3727235,134.050838,131.5677091,127.2723898,177.1315705,144.6155969,135.466821,129.5469885,Q5M9M0,Rpl13a,ribosomal protein L13A [Source:MGI Symbol;Acc:MGI:1351455]
P17809,0.007669083,0.203068821,21.93406593,9.450694716,42.12838208,0.01754066,0.746229774,24,10,34.338599,0.168627586,1,22.45733788,8.005667706,164.4020148,0.001562312,0.093573082,22.79713461,9.15248257,119.5353781,45.24562412,0.378512411,90.23625154,140.3038961,133.9145514,123.7551174,89.59823959,74.03638704,128.3397605,206.2077422,147.644156,103.3064576,108.5428594,72.19595258,P17809,Slc2a1,"solute carrier family 2 (facilitated glucose transporter), member 1 [Source:MGI Symbol;Acc:MGI:95755]"
P55264-2,0.008804249,0.203068821,24.64197531,3.194547117,26.34917238,0.01754066,0.746229774,28,2,31.12239806,0.148144068,1,25.01901141,3.967026678,309.9893074,0.001573414,0.093573082,25.88699557,3.106403299,290.5037094,29.7054104,0.10225484,324.6779289,308.9947722,275.7231023,266.1675274,236.0231638,295.6112217,311.3677174,315.9930929,290.1556097,278.9512697,288.3560681,284.1376512,P55264,Adk,adenosine kinase [Source:MGI Symbol;Acc:MGI:87930]
O88952,0.003332019,0.202598481,23.20930233,2.427724231,3.432621703,0.057269646,0.897626344,24,2,3.95663515,0.132559985,1,23.92727273,1.908186878,12.15708926,0.0017101,0.093573082,23.71219168,2.11565821,8.931845862,3.569761019,0.399666662,12.78605537,12.90610631,8.013668895,4.873744608,6.244165037,13.87585424,10.81607032,11.83442703,5.335051824,5.4594507,7.70659587,7.807115828,O88952,Lin7c,lin-7 homolog C (C. elegans) [Source:MGI Symbol;Acc:MGI:1330839]
Q58EU6,0.002978958,0.202598481,22.42696629,13.51878956,35.57463194,0.057269646,0.897626344,24,14,35.61990068,0.150249546,1,22.76816609,14.1434985,341.6781812,0.001728988,0.093573082,23.06504413,13.89533407,308.7091377,36.32050202,0.117652825,259.3689429,303.4388553,332.2958981,368.4162504,335.9739266,270.5866158,300.549407,281.8779392,336.7403824,317.3766943,296.6218937,284.9250623,Q58EU6,Rpl5,ribosomal protein L5 [Source:MGI Symbol;Acc:MGI:102854]
Q3TIV6,0.004290046,0.202598481,22.55367232,4.341251447,2.557704133,0.057269646,0.897626344,24,4,2.722846493,0.106565838,1,23.41637011,4.566119486,22.21359154,0.001759601,0.093573082,23.32334747,4.308424299,20.88594864,2.814133806,0.134738137,24.08253075,24.52189603,19.49038321,18.42208856,18.4263016,19.01243268,24.11356604,22.55753566,19.46757977,19.7548088,19.76846247,21.56895016,Q3TIV6,Kars,lysyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:1934754]
O88322,0.012329067,0.203730712,26.26315789,4.349314951,88.26474349,0.01754066,0.746229774,28,4,58.41881252,0.151111904,1,28,2.399395924,2276.324597,0.002113395,0.10623556,27.42105263,3.606006705,2152.044451,104.5180989,0.048566887,2182.8849,2162.616915,2124.748306,2094.825369,2040.702002,2131.982653,2219.299472,2325.93199,2246.138,2148.980419,2143.123102,2009.864777,O88322,Nid2,nidogen 2 [Source:MGI Symbol;Acc:MGI:1298229]
P47199,0.008960172,0.203068821,25.42675159,22.92079319,4.629045371,0.01754066,0.746229774,24,22,4.43417228,0.212528168,1,24.83018868,22.32896108,66.75093787,0.002151881,0.10623556,24.75231342,22.42040837,61.89575791,4.633085733,0.074853041,59.00708203,61.25736911,55.22809478,57.93006173,61.75995884,70.00379132,67.31935362,57.275203,60.22505572,60.68245026,63.04324565,67.35200102,P47199,Cryz,"crystallin, zeta [Source:MGI Symbol;Acc:MGI:88527]"
P48962,0.014634992,0.210681022,21.57837838,13.14969601,132.3704021,0.008979903,0.668553793,20,16,73.49701849,0.262769531,1,22.15488215,11.65712736,1080.327323,0.002211754,0.10623556,21.24442018,13.59255159,1010.332233,132.1662688,0.130814661,941.4046869,913.0556507,1189.688144,991.5152604,1050.358468,941.191223,899.3670893,946.1296725,1289.162426,1040.193254,921.9119853,827.8747433,P48962,Slc25a4,"solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 4 [Source:MGI Symbol;Acc:MGI:1353495]"
Q99PV0,0.009248021,0.203068821,21.34759358,13.11118298,6.307265681,0.01754066,0.746229774,24,12,3.342917117,0.222802196,1,21.86046512,11.83736466,40.36942037,0.002296277,0.106848618,22.40268623,12.35871764,35.29261472,6.315537683,0.178947854,27.91158139,30.88351091,40.86801107,34.55069229,37.71712586,32.29808207,33.18385879,35.03126789,48.94357958,37.05600686,33.7781431,26.18623825,Q99PV0,Prpf8,pre-mRNA processing factor 8 [Source:MGI Symbol;Acc:MGI:2179381]
P62264,0.002182298,0.202598481,23.07514451,15.30094686,10.2244783,0.096845539,1,24,16,9.269482924,0.193719869,1,22.76816609,15.12772924,124.7055398,0.002544221,0.110913533,23.28110353,15.47559647,115.8044795,11.10255137,0.095873246,112.9935684,105.0102313,127.6945817,125.2537218,125.1228848,115.8595565,106.3964868,107.5337828,111.475279,127.995952,115.688616,105.8521191,P62264,Rps14,ribosomal protein S14 [Source:MGI Symbol;Acc:MGI:98107]
Q5SW83,0.005789281,0.202598481,21.69565217,7.055813291,9.218229723,0.057269646,0.897626344,24,6,7.72091188,0.133115215,1,22.00668896,8.015897108,76.30170789,0.002705939,0.110913533,22.56744705,7.073094978,70.96271698,10.07105992,0.141920439,69.40016448,84.92206392,78.07423083,57.80196062,65.20621279,63.91041256,73.37330732,82.85029769,70.92946218,65.79348719,66.64043786,72.65328549,Q5SW83,Actr2,ARP2 actin-related protein 2 [Source:MGI Symbol;Acc:MGI:1913963]
Q545G0,0.011322114,0.203730712,20.57731959,6.603817739,8.085444502,0.01754066,0.746229774,20,8,5.367399645,0.225023114,1,20.75709779,6.460862991,37.89602941,0.002733793,0.110913533,20.44480579,7.028443497,33.82898618,8.174654902,0.241646464,32.80635905,48.88235362,30.56838454,29.94564865,25.46613032,32.3871341,35.56211224,46.30471068,27.97146286,26.89478844,35.77639257,39.45346332,Q545G0,Psmb3,"proteasome (prosome, macropain) subunit, beta type 3 [Source:MGI Symbol;Acc:MGI:1347014]"
D3YYM6,0.020183277,0.217774629,26.79194631,3.965107732,4.249857092,0.01754066,0.746229774,28,4,4.709757916,0.132465012,1,27.76371308,2.145112652,22.80410852,0.002843972,0.110913533,27.51855313,3.380937209,18.89982909,4.989881286,0.26401727,24.57241886,21.60384658,23.49162344,13.28718344,14.43090523,19.80422444,20.95040411,25.08932477,19.38376305,20.48000302,14.25915162,9.482016849,D3YYM6,Rps5,ribosomal protein S5 [Source:MGI Symbol;Acc:MGI:1097682]
Q8BJY1,0.028576319,0.236389664,21.81420765,8.80044525,2.975866991,0.008979903,0.668553793,24,8,3.446156682,0.188105516,1,23.41637011,6.075138861,35.5208049,0.002912024,0.110913533,23.07685925,7.664108883,32.5734933,3.350285661,0.102853128,31.66580507,37.04826365,35.81932916,31.64830339,32.34584217,30.84252628,35.63058583,37.5777495,32.24837794,30.99627455,27.91974707,26.71848775,Q8BJY1,Psmd5,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 5 [Source:MGI Symbol;Acc:MGI:1914248]"
P68254-2,0.008708934,0.203068821,20.16161616,7.327246742,15.51569045,0.032458965,0.792318006,24,6,13.79855202,0.174693054,1,22.45733788,4.081885988,97.71205791,0.002966844,0.110913533,22.20631802,5.866404061,88.08398106,16.47473197,0.187034371,93.48053537,120.5334179,101.6751848,83.75391918,61.98850091,98.83224039,95.33743794,99.93517206,83.33453065,66.79006329,79.82853855,77.58616394,P68254,Ywhaq,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide [Source:MGI Symbol;Acc:MGI:891963]"
D3Z7D5,0.012197924,0.203730712,23.34502924,4.661008472,7.575882288,0.032458965,0.792318006,24,6,7.92887133,0.126850614,1,23.41637011,5.248475861,20.9088542,0.003008141,0.110913533,23.58713312,5.297580964,17.83320654,8.597913927,0.482129442,28.76934922,28.26362216,25.95419396,8.384231018,6.377282401,19.39368136,21.82496178,17.54157719,20.57930508,10.58457281,7.582135096,19.2384252,D3Z7D5,Col6a2,"collagen, type VI, alpha 2 [Source:MGI Symbol;Acc:MGI:88460]"
Q8BWT1,0.025943227,0.231261157,23.90419162,21.96984759,4.554691671,0.008979903,0.668553793,20,2,4.451046092,0.219612552,1,20.24615385,1.76606197,16.06045568,0.003054033,0.110913533,21.38344849,0.81856676,10.21396718,4.750035588,0.465052952,13.62592237,10.63747102,4.887801294,5.194465535,14.93068899,21.38730004,9.820005151,8.216679922,7.081373209,10.77551217,10.7687705,10.38642783,Q8BWT1,Acaa2,acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase) [Source:MGI Symbol;Acc:MGI:1098623]
Q9JIF7,0.003553095,0.202598481,21.46236559,13.93589337,22.12746907,0.096845539,1,24,12,14.58052662,0.172656971,1,21.71617162,14.11824978,204.4269138,0.003450467,0.120807987,22.39284574,13.47108273,187.8023976,22.0922593,0.117635662,173.3133221,163.9005715,220.457639,202.5101899,210.5817183,165.2678528,176.8746123,175.269534,210.2204749,192.4789916,179.7919089,165.186375,Q9JIF7,Copb1,"coatomer protein complex, subunit beta 1 [Source:MGI Symbol;Acc:MGI:1917599]"
O35074,0.005410564,0.202598481,21.57837838,11.68826057,30.81702753,0.057269646,0.897626344,24,12,23.57591549,0.196398878,1,21.29449838,11.5265616,155.321942,0.003518707,0.120807987,22.29095892,11.76266591,130.8133344,30.31559592,0.231746986,105.2355319,92.67296841,177.2109658,136.6999318,118.206268,102.8573457,130.9555204,154.309987,173.0944837,131.5289986,125.0397131,96.89811828,O35074,Ptgis,prostaglandin I2 (prostacyclin) synthase [Source:MGI Symbol;Acc:MGI:1097156]
Q9CVB6,0.005352863,0.202598481,22.68181818,5.419877361,16.29011618,0.057269646,0.897626344,24,6,13.74083122,0.202065622,1,22.30508475,7.569108656,145.0071685,0.00356988,0.120807987,22.99563431,6.339509168,132.1367364,17.83094244,0.134943112,130.7620631,155.0490811,124.8027861,113.0724078,118.4051313,119.8373431,154.0908005,140.5510589,140.4361569,124.4624845,121.061138,144.1593694,Q9CVB6,Arpc2,"actin related protein 2/3 complex, subunit 2 [Source:MGI Symbol;Acc:MGI:1923959]"
Q9JKF1,0.000824631,0.190558869,20.16161616,12.73608908,89.37114035,0.377646329,1,20,14,80.64113729,0.22067384,1,20,11.73914311,797.636176,0.003884564,0.125673901,20.05387205,12.82209769,709.9100858,89.58271283,0.126188815,577.8357846,608.1569026,695.5117087,772.8267026,673.4648243,623.6044905,717.3474473,817.5594286,841.3631389,713.7153133,697.1457132,645.3712289,Q9JKF1,Iqgap1,IQ motif containing GTPase activating protein 1 [Source:MGI Symbol;Acc:MGI:1352757]
P49442,0.005470487,0.202598481,23.34502924,4.210759297,7.295261653,0.096845539,1,24,4,7.468516768,0.132539183,1,23.0877193,6.919967414,54.67888299,0.003953147,0.125673901,23.47758285,5.037835653,50.69144258,8.185637191,0.161479665,59.2013834,59.60743805,47.03694668,43.31498515,42.05201747,45.19747619,55.35738505,54.63762276,54.21673534,43.56472193,48.33549159,56.56789102,P49442,Inpp1,inositol polyphosphate-1-phosphatase [Source:MGI Symbol;Acc:MGI:104848]
Q9DBF1-2,0.011516831,0.203730712,22.68181818,5.389971523,8.024240536,0.032458965,0.792318006,24,6,7.770966851,0.189013655,1,22.45733788,7.594560035,75.07160161,0.003973243,0.125673901,23.04638536,6.33463859,69.53768934,8.739235622,0.125676244,76.1682319,76.67638359,69.32566272,62.98340395,60.19192056,58.03111574,80.99129377,76.50205934,66.85418749,68.14542251,64.70720628,74.3240111,Q9DBF1,Aldh7a1,"aldehyde dehydrogenase family 7, member A1 [Source:MGI Symbol;Acc:MGI:108186]"
Q561N5,0.006180029,0.202598481,20.57731959,14.30485374,20.70978237,0.032458965,0.792318006,20,16,12.50492153,0.360775681,1,20.37151703,13.924774,146.4295133,0.004051274,0.125673901,20.31627887,14.74084513,121.8323015,20.67860277,0.169730051,114.5009501,104.6811363,146.3257939,168.3950948,135.3594024,111.5626328,97.91170759,111.487581,122.3657659,112.2489627,105.4146869,100.5848641,Q561N5,Rps18,ribosomal protein S18 [Source:MGI Symbol;Acc:MGI:98146]
Q8BWY3,0.010432692,0.203068821,21.69565217,12.13753978,3.46143161,0.032458965,0.792318006,24,12,2.878560363,0.222180836,1,22.15488215,10.55761609,14.70621725,0.004181053,0.127052809,22.61684478,11.57663442,12.53560081,3.472436306,0.277005974,8.564608788,14.00133099,14.65819337,14.01115524,15.35659783,8.281774794,13.70827295,12.70398275,18.17415678,12.28419904,9.490430481,6.842118164,Q8BWY3,Etf1,eukaryotic translation termination factor 1 [Source:MGI Symbol;Acc:MGI:2385071]
Q0VEE0,0.005452461,0.202598481,25.58974359,12.55408609,43.54712124,0.096845539,1,28,12,51.97023468,0.15716284,1,25.01901141,14.02222553,253.3077173,0.004526793,0.133830172,26.20291833,12.92144601,216.7585799,44.40057882,0.204838853,156.5771485,218.91456,272.8452764,247.5673309,263.4708793,163.7864102,207.4670402,202.6505789,218.003628,262.8119204,232.8590513,197.0546572,Q0VEE0,Nt5e,"5' nucleotidase, ecto [Source:MGI Symbol;Acc:MGI:99782]"
P62830,0.012984482,0.203730712,24,16.65310093,14.48969881,0.032458965,0.792318006,28,16,16.12233261,0.209429543,1,23.75451264,17.5496581,125.8090374,0.004758252,0.133830172,25.25150421,16.90053818,108.3963791,16.60574265,0.153194625,105.5137469,90.88477043,104.6705254,133.4370405,132.0474173,104.2518683,99.81367233,88.63378886,111.0259323,107.5056956,112.6543665,112.390524,P62830,Rpl23,ribosomal protein L23 [Source:MGI Symbol;Acc:MGI:1929455]
Q3UBT1,0.006151146,0.202598481,27.34246575,11.44042368,7.504644537,0.057269646,0.897626344,28,12,7.729496929,0.253951539,1,27.0781893,10.79515567,58.04956659,0.004810192,0.133830172,27.47355168,11.4076027,51.51800541,7.596435165,0.147452043,49.48646645,52.88821493,64.00643191,61.71309898,50.56135079,42.14411314,49.71242331,49.49297059,49.53081105,54.59734099,59.51238821,46.42479836,Q3UBT1,Ybx1,Y box protein 1 [Source:MGI Symbol;Acc:MGI:99146]
P70195,0.004486134,0.202598481,20.26395939,6.518692068,11.88914421,0.096845539,1,20,8,9.465329854,0.214019807,1,20,6.767972806,47.84724413,0.004962618,0.133830172,20.08798646,7.095370368,39.43880796,11.86638699,0.300880975,35.50765151,52.62815211,37.71598109,32.20602036,16.77290719,48.27213601,46.05531297,49.79371928,38.8931332,29.36768397,47.28708804,49.13076318,P70195,Psmb7,"proteasome (prosome, macropain) subunit, beta type 7 [Source:MGI Symbol;Acc:MGI:107637]"
Q8BH24,0.007873974,0.203068821,20.57731959,13.79211773,8.235237209,0.057269646,0.897626344,20,16,6.780746836,0.207401901,1,20,13.66314902,33.23441487,0.004985968,0.133830172,20.19243986,14.47529686,26.43664848,8.342213075,0.315554866,22.44747742,16.05560069,28.11093256,27.24218949,32.99367456,12.71167069,25.87156939,31.28266759,38.48744567,30.7395454,21.8271074,16.42121012,Q8BH24,Tm9sf4,transmembrane 9 superfamily protein member 4 [Source:MGI Symbol;Acc:MGI:2139220]
Q3UC02,0.002665834,0.202598481,21.34759358,15.80894773,14.17835824,0.096845539,1,20,16,9.084358239,0.366353716,1,20.75709779,16.70368494,125.7110447,0.005031413,0.133830172,20.70156379,16.18597397,108.2624553,14.07164813,0.129977175,105.8906661,94.79307229,117.2348692,132.9759971,129.0983871,107.2730657,95.11184611,96.56839666,107.9590687,103.2277539,103.097306,91.00510098,Q3UC02,Rps11,ribosomal protein S11 [Source:MGI Symbol;Acc:MGI:1351329]
P32921-2,0.013062286,0.203730712,24,1.544563044,4.522190091,0.032458965,0.792318006,24,2,5.211455253,0.223939204,1,23.58422939,2.501022926,15.59132786,0.005047056,0.133830172,23.8614098,2.01808526,12.0535551,4.671469522,0.387559478,17.66116122,13.23205837,9.675406214,5.799570443,6.521883008,17.28525256,15.2870477,15.38724177,6.44997652,13.54251213,10.06105439,14.03790624,P32921,Wars,tryptophanyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:104630]
Q9Z110-2,0.025394443,0.23056296,24,6.215302508,3.918871728,0.032458965,0.792318006,28,4,4.970206568,0.119094042,1,28,3.382641254,42.55916377,0.005184629,0.133830172,26.66666667,4.619331022,37.92887669,5.046005243,0.133038616,41.74442426,38.8676453,38.3336259,31.25032508,34.23912071,33.13645585,40.25173405,43.36649339,42.7499659,39.8083741,36.86822178,35.4801067,Q9Z110,Aldh18a1,"aldehyde dehydrogenase 18 family, member A1 [Source:MGI Symbol;Acc:MGI:1888908]"
Q922B2,0.019499599,0.215073354,24,6.007596369,13.37659252,0.032458965,0.792318006,28,2,13.12697014,0.156150031,1,24.1025641,5.929161251,245.8143039,0.005212995,0.133830172,25.36752137,4.876631157,230.3361826,15.43232424,0.066999132,234.1217983,243.2219049,229.8668367,223.6991822,223.3543572,214.6031496,244.7223174,253.2567785,233.029442,233.1498886,204.6336701,226.1137778,Q922B2,Dars,aspartyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:2442544]
P06745,0.014520657,0.210681022,21.93406593,5.741231693,44.25000344,0.032458965,0.792318006,24,4,34.47632234,0.220222881,1,21.86046512,7.760376611,687.9434873,0.005422934,0.13686014,22.59817702,5.902112864,660.0867274,48.10211989,0.072872424,691.7713411,688.4545677,677.5724504,626.214534,592.8057351,632.1223493,733.8399392,648.4319464,688.2093001,618.6071998,637.5087407,696.3793885,P06745,Gpi,NA
