PROBES_ID	CDS_ID_II
Ot15g01260	Ot16g01630
Ot15g01630	Ot16g02100
Ot15g01960	Ot16g02550
Ot15g02340	Ot16g00320
Ot15g01650	Ot16g02120
Ot15g01980	Ot16g02580
Ot15g02360	Ot16g00300
Ot15g01320	Ot16g01980
Ot15g01720	Ot16g02150
Ot15g02000	Ot16g02600
Ot16g00070	Ot17g02660
Ot18g00980	Ot19g01310
Ot19g00350	Ot20g00380
Ot00g00380	Ot12g00350
Ot18g01040	Ot19g01370
Ot19g00380	Ot20g00410
Ot19g00720	Ot20g00890
Ot00g00440	Ot01g00500
Ot19g00030	Ot20g00030
Ot13g02660	Ot14g02480
Ot13g01690	Ot13g00930
Ot13g02020	Ot14g01490
Ot13g02340	Ot14g01740
Ot13g01720	Ot13g00930
Ot13g02040	Ot14g01510
Ot13g02360	Ot14g01750
Ot13g02720	Ot14g02550
Ot13g01750	Ot13g00880
Ot13g02060	Ot14g01530
Ot13g02400	Ot14g01950
Ot13g02770	Ot14g02630
Ot15g01180	Ot16g01540
Ot15g01530	Ot16g01770
Ot15g01880	Ot16g02470
Ot15g02260	Ot16g03090
Ot15g01200	Ot16g01560
Ot15g01560	Ot16g01800
Ot15g01910	Ot16g02490
Ot15g02290	Ot16g00370
Ot15g01230	Ot16g01610
Ot15g01590	Ot16g01840
Ot11g02510	Ot11g03140
Ot12g00140	Ot13g00150
Ot12g00470	Ot13g00540
Ot12g00860	Ot12g00610
Ot11g02550	Ot11g03170
Ot12g00160	Ot13g00170
Ot12g00500	Ot13g00570
Ot12g00900	Ot12g00650
Ot11g02630	Ot11g03230
Ot12g00180	Ot13g00190
Ot12g00540	Ot13g00610
Ot12g00950	Ot12g00870
Ot13g01610	Ot13g01630
Ot13g01960	Ot14g01350
Ot13g02280	Ot14g01670
Ot13g02610	Ot14g02410
Ot13g01630	Ot13g01610
Ot13g01980	Ot14g01440
Ot13g02300	Ot14g01690
Ot13g02640	Ot14g02450
Ot13g01670	Ot13g00950
Ot13g02000	Ot14g01470
Ot13g02320	Ot14g01720
Ot10g00470	Ot10g00640
Ot10g00860	Ot10g01000
Ot10g01180	Ot10g01580
Ot10g00180	Ot10g00170
Ot10g00510	Ot10g00660
Ot10g00880	Ot10g01020
Ot10g01210	Ot10g01610
Ot10g00200	Ot10g00200
Ot10g00540	Ot10g00710
Ot10g00900	Ot10g01030
Ot10g01230	Ot10g01630
Ot11g02390	Ot11g02900
Ot12g00060	Ot13g00060
Ot12g00410	Ot13g00490
Ot12g00770	Ot12g00520
Ot11g02460	Ot11g03090
Ot04g02160	Ot04g02290
Ot04g02440	Ot04g02550
Ot04g01570	Ot04g01710
Ot04g01880	Ot04g01990
Ot04g02180	Ot04g03060
Ot04g02510	Ot04g02720
Ot05g01470	Ot05g03630
Ot05g01790	Ot05g03370
Ot05g02130	Ot05g03080
Ot05g02440	Ot05g02400
Ot05g01500	Ot05g03600
Ot05g02160	Ot05g03050
Ot05g02470	Ot05g02360
Ot05g01520	Ot05g03590
Ot05g01850	Ot05g03310
Ot05g02180	Ot05g03020
Ot05g02510	Ot05g02810
Ot05g01540	Ot05g03590
Ot05g01870	Ot05g03300
Ot05g02200	Ot05g02990
Ot05g02530	Ot05g02800
Ot05g01560	Ot05g03570
Ot03g02070	Ot03g02430
Ot03g01160	Ot03g01610
Ot03g01460	Ot03g01910
Ot03g02100	Ot03g02450
Ot04g01440	Ot04g01500
Ot04g02070	Ot04g02160
Ot04g02350	Ot04g02450
Ot04g01480	Ot04g01600
Ot04g02090	Ot04g02220
Ot04g02380	Ot04g02480
Ot04g01820	Ot04g01920
Ot04g02110	Ot04g02240
Ot04g02400	Ot04g02500
Ot04g01520	Ot04g01670
Ot04g01840	Ot04g01930
Ot04g02140	Ot04g02250
Ot04g02420	Ot04g02530
Ot04g01550	Ot04g01690
Ot04g01860	Ot04g02620
Ot02g02540	Ot02g03780
Ot02g03000	Ot02g04220
Ot02g03520	Ot02g04650
Ot03g01050	Ot03g01470
Ot03g01350	Ot03g01810
Ot03g01650	Ot03g02070
Ot03g01080	Ot03g01500
Ot03g01370	Ot03g01840
Ot03g01670	Ot06g00830
Ot03g02010	Ot03g02370
Ot03g01100	Ot03g01530
Ot03g01400	Ot03g01860
Ot03g01720	Ot01g00510
Ot03g02030	Ot03g02390
Ot03g01120	Ot03g01550
Ot03g01730	Ot01g00520
Ot03g02050	Ot03g02410
Ot03g01140	Ot03g01570
Ot03g01440	Ot03g01890
Ot03g01750	Ot01g00550
Ot01g03030	Ot01g03140
Ot01g03340	Ot01g03420
Ot01g03670	Ot01g03860
Ot02g01980	Ot02g02930
Ot02g02420	Ot02g03620
Ot02g03310	Ot02g04470
Ot02g02020	Ot02g02970
Ot02g02440	Ot02g03640
Ot02g02800	Ot02g04020
Ot02g03360	Ot03g04580
Ot02g02060	Ot02g03000
Ot02g02460	Ot02g03660
Ot02g02870	Ot02g04100
Ot02g03390	Ot02g04560
Ot02g02080	Ot02g03020
Ot02g02480	Ot02g03700
Ot02g02910	Ot02g04130
Ot02g02110	Ot02g03070
Ot02g02500	Ot02g03730
Ot02g02930	Ot02g04160
Ot02g03450	Ot02g04590
Ot00g09610	Ot09g03580
Ot01g02600	Ot01g02780
Ot01g02900	Ot01g03020
Ot01g03190	Ot01g03290
Ot01g03540	Ot01g03710
Ot01g02620	Ot01g02800
Ot01g02920	Ot01g03040
Ot01g03210	Ot01g03310
Ot01g03580	Ot01g03760
Ot01g02650	Ot01g02830
Ot01g02950	Ot01g03050
Ot01g03240	Ot01g03350
Ot01g03600	Ot01g03770
Ot01g02670	Ot01g02850
Ot01g02980	Ot01g03090
Ot01g03300	Ot01g03400
Ot01g03620	Ot01g03790
Ot01g02690	Ot01g02870
Ot01g03010	Ot01g03120
Ot01g03320	Ot01g03410
Ot01g02720	Ot01g02890
Ot00g03200	Ot01g04400
Ot00g07870	Ot04g04300
Ot00g08270	Ot05g01510
Ot00g09260	Ot17g00550
Ot00g07960	Ot04g04380
Ot00g08350	Ot14g02060
Ot00g07980	Ot14g02940
Ot00g08370	Ot14g01360
Ot00g08830	Ot04g04670
Ot00g08000	Ot16g02650
Ot00g08420	Ot14g01410
Ot00g08020	Ot16g02670
Ot00g08460	Ot04g05330
Ot00g09530	Ot01g04670
Ot00g08040	Ot16g02690
Ot00g08490	Ot10g03490
Ot00g01840	Ot15g01040
Ot00g02270	Ot03g01010
Ot00g02660	Ot10g03005
Ot00g03050	Ot09g03590
Ot00g01860	Ot15g01050
Ot00g02290	Ot03g00990
Ot00g02720	Ot04g04290
Ot00g03090	Ot03g01030
Ot00g01890	Ot08g01550
Ot00g02330	Ot07g04560
Ot00g02750	Ot14g00400
Ot00g03120	Ot16g02750
Ot00g01920	Ot14g02760
Ot00g02370	Ot15g01060
Ot00g03160	Ot03g05260
Ot00g01990	Ot13g00310
Ot00g02400	Ot14g02730
Ot00g02810	Ot06g00820
Ot00g03180	Ot03g05240
Ot00g02010	Ot06g04010
Ot00g02450	Ot06g04070
Ot00g02880	Ot06g01090
Ot18g00560	Ot19g00170
Ot00g07420	Ot13g02380
Ot04g04820	Ot04g05390
Ot13g02460	Ot14g03380
Ot18g00670	Ot19g00270
Ot00g09930	Ot01g02760
Ot15g01150	Ot17g01440
Ot18g00940	Ot19g01260
Ot06g00280	Ot06g00340
Ot16g01670	Ot17g00630
Ot18g00960	Ot19g01280
Ot02g00530	Ot19g01040
Ot06g01190	Ot06g01490
Ot17g00650	Ot18g01390
Ot19g00160	Ot20g00170
Ot02g02050	Ot02g02990
Ot02g03550	Ot02g04680
Ot03g04510	Ot03g05140
Ot02g02210	Ot02g03250
Ot02g03760	Ot02g04800
Ot02g06480	Ot02g07760
Ot03g04810	Ot03g05960
Ot02g02300	Ot02g03450
Ot02g03900	Ot02g04910
Ot03g00190	Ot03g00860
Ot03g05090	Ot07g02760
Ot03g00910	Ot03g01310
Ot03g05160	Ot07g02740
Ot02g02570	Ot02g03820
Ot04g00160	Ot04g00150
Ot00g04280	Ot16g01160
Ot04g02500	Ot04g02620
Ot13g01880	Ot13g00740
Ot13g02930	Ot14g02930
Ot14g00480	Ot15g00480
Ot14g01260	Ot15g01430
Ot13g01940	Ot13g00680
Ot13g03000	Ot14g03210
Ot14g00710	Ot15g00570
Ot14g01440	Ot15g01680
Ot13g02090	Ot14g01800
Ot13g03150	Ot14g03090
Ot14g00750	Ot15g00610
Ot14g01480	Ot15g01710
Ot13g03190	Ot14g03280
Ot14g00820	Ot15g00790
Ot14g01510	Ot15g01730
Ot13g02200	Ot14g01610
Ot14g00020	Ot15g00740
Ot14g00870	Ot15g00840
Ot14g01670	Ot15g02020
Ot02g03480	Ot02g04620
Ot03g03870	Ot03g04280
Ot09g03480	Ot09g03220
Ot09g04490	Ot09g04260
Ot09g01370	Ot09g01500
Ot09g02460	Ot09g02620
Ot09g03590	Ot02g06490
Ot09g04570	Ot09g04340
Ot09g01460	Ot09g01560
Ot09g02580	Ot09g02710
Ot09g03700	Ot09g03510
Ot09g04640	Ot09g03690
Ot09g01550	Ot09g01640
Ot09g02670	Ot09g02800
Ot09g03860	Ot09g03910
Ot09g04670	Ot09g03720
Ot09g01610	Ot09g01750
Ot09g02900	Ot09g03010
Ot09g03900	Ot09g03940
Ot09g04760	Ot09g03870
Ot13g01770	Ot13g00850
Ot14g00360	Ot15g00360
Ot14g01230	Ot15g01390
Ot13g01840	Ot13g00790
Ot05g01780	Ot05g03380
Ot05g03030	Ot05g02130
Ot05g04230	Ot05g00610
Ot05g01820	Ot05g03350
Ot05g04370	Ot05g00750
Ot06g00220	Ot06g00270
Ot05g01920	Ot05g03260
Ot05g03210	Ot05g01880
Ot05g04410	Ot07g02260
Ot06g00290	Ot06g00340
Ot05g01970	Ot05g03220
Ot05g03240	Ot05g01840
Ot05g04460	Ot05g00830
Ot06g00360	Ot06g00390
Ot09g01270	Ot09g01420
Ot09g02350	Ot09g02450
Ot09g03400	Ot14g00430
Ot09g04470	Ot09g04240
Ot09g01290	Ot09g01430
Ot09g02420	Ot09g02580
Ot02g01100	Ot19g00190
Ot02g02940	Ot02g04170
Ot02g04920	Ot02g05960
Ot02g01230	Ot07g04110
Ot02g05110	Ot02g06130
Ot01g06080	Ot01g06400
Ot02g01290	Ot07g04050
Ot02g05380	Ot02g06380
Ot02g05640	Ot02g06680
Ot05g01670	Ot05g03470
Ot05g02840	Ot05g02600
Ot05g03950	Ot05g00310
Ot06g00020	Ot06g00040
Ot05g01730	Ot05g03420
Ot05g02930	Ot05g02260
Ot05g03990	Ot03g01170
Ot00g05190	Ot18g00850
Ot00g05970	Ot14g02700
Ot00g06720	Ot08g01180
Ot00g04540	Ot03g01120
Ot00g05260	Ot01g00090
Ot00g06000	Ot14g02710
Ot00g06750	Ot08g01150
Ot00g04680	Ot16g01710
Ot00g05340	Ot14g00070
Ot00g06100	Ot11g02210
Ot00g06800	Ot08g01090
Ot00g04700	Ot08g00690
Ot00g05430	Ot12g03120
Ot00g06210	Ot14g00240
Ot00g06860	Ot13g02710
Ot01g05750	Ot01g06110
Ot02g00930	Ot02g00770
Ot02g02650	Ot02g03900
Ot02g04620	Ot02g05730
Ot01g05780	Ot01g06140
Ot02g02770	Ot02g04000
Ot17g00400	Ot18g01730
Ot17g00740	Ot18g01290
Ot16g01760	Ot17g00380
Ot16g02200	Ot17g00040
Ot17g00760	Ot18g01270
Ot16g02220	Ot17g00020
Ot17g00810	Ot18g01230
Ot16g01810	Ot17g00450
Ot17g00010	Ot18g02150
Ot17g00480	Ot18g01820
Ot17g00830	Ot18g01210
Ot00g05010	Ot02g07470
Ot00g05810	Ot03g04850
Ot00g06660	Ot09g00130
Ot00g04270	Ot09g03330
Ot00g05140	Ot01g05620
Ot00g06690	Ot16g01010
Ot00g04510	Ot03g01130
Ot14g02310	Ot15g02800
Ot14g01250	Ot15g01420
Ot14g01570	Ot15g01790
Ot14g01980	Ot15g02430
Ot14g02350	Ot15g02840
Ot14g01290	Ot15g01450
Ot14g01590	Ot15g01800
Ot14g02010	Ot15g02450
Ot14g02370	Ot15g02860
Ot14g01610	Ot15g01830
Ot14g02050	Ot15g02490
Ot14g02390	Ot15g02870
Ot16g01690	Ot05g00820
Ot16g02140	Ot17g00100
Ot17g00320	Ot18g01920
Ot17g00680	Ot18g01360
Ot16g01720	Ot17g00340
Ot16g02160	Ot17g00080
Ot17g00370	Ot18g01870
Ot17g00720	Ot18g01320
Ot16g01740	Ot17g00360
Ot16g02180	Ot17g00060
Ot12g02630	Ot12g02450
Ot12g03010	Ot12g02780
Ot12g03390	Ot14g00780
Ot12g03720	Ot14g01010
Ot12g02660	Ot12g02470
Ot12g03030	Ot12g02810
Ot12g03420	Ot14g00750
Ot12g03740	Ot14g01040
Ot12g02680	Ot12g02500
Ot12g03050	Ot12g02920
Ot12g03470	Ot14g01080
Ot13g00020	Ot13g03040
Ot14g01090	Ot15g01270
Ot14g01470	Ot15g01700
Ot14g01890	Ot15g02230
Ot14g02250	Ot15g02680
Ot14g01170	Ot15g01350
Ot14g01530	Ot15g01740
Ot14g01930	Ot15g02280
Ot14g02290	Ot15g02770
Ot14g01200	Ot15g01360
Ot14g01550	Ot15g01760
Ot14g01960	Ot15g02410
Ot11g00010	Ot11g00010
Ot11g00370	Ot11g00400
Ot11g00680	Ot11g00710
Ot10g02940	Ot10g03160
Ot11g00040	Ot11g00040
Ot11g00390	Ot11g00420
Ot11g00720	Ot11g00750
Ot10g02970	Ot10g03420
Ot11g00060	Ot11g00060
Ot11g00410	Ot11g00440
Ot11g00740	Ot11g00780
Ot12g02550	Ot12g02360
Ot12g02920	Ot12g02710
Ot12g03270	Ot14g00610
Ot12g03650	Ot14g00930
Ot12g02570	Ot12g02390
Ot12g02940	Ot12g02730
Ot12g03670	Ot14g00970
Ot12g02590	Ot12g02410
Ot12g02970	Ot12g02750
Ot12g03370	Ot14g00800
Ot12g03700	Ot14g01010
Ot09g03010	Ot16g00990
Ot09g03350	Ot17g00610
Ot09g02290	Ot09g02400
Ot09g02700	Ot09g02840
Ot09g03390	Ot14g00420
Ot09g02330	Ot09g02440
Ot09g02720	Ot09g02850
Ot09g03070	Ot04g00390
Ot09g03430	Ot14g00450
Ot10g02810	Ot10g03020
Ot10g03210	Ot10g03560
Ot11g00240	Ot11g00290
Ot11g00600	Ot11g00600
Ot10g02850	Ot10g03070
Ot10g03260	Ot10g03620
Ot11g00270	Ot11g00320
Ot11g00630	Ot11g00640
Ot10g02880	Ot10g03090
Ot10g03290	Ot10g03640
Ot11g00660	Ot11g00690
Ot08g01670	Ot08g02000
Ot08g00660	Ot08g00830
Ot08g01010	Ot08g01280
Ot08g01370	Ot08g01760
Ot08g01720	Ot08g02050
Ot08g00690	Ot08g00860
Ot08g01050	Ot08g01640
Ot08g01390	Ot08g01790
Ot08g01750	Ot08g02070
Ot09g02190	Ot09g02300
Ot09g02590	Ot09g02720
Ot09g02890	Ot09g03000
Ot05g04120	Ot05g00500
Ot05g04480	Ot05g00830
Ot05g04820	Ot05g01090
Ot05g04140	Ot05g00530
Ot05g04500	Ot05g00840
Ot05g04860	Ot05g01150
Ot06g00140	Ot06g00190
Ot05g04170	Ot05g00550
Ot03g04870	Ot03g05460
Ot03g03780	Ot03g04220
Ot03g04130	Ot03g04530
Ot03g04490	Ot03g05120
Ot03g04890	Ot03g05480
Ot04g04130	Ot04g04510
Ot04g04540	Ot04g04980
Ot04g04950	Ot04g05510
Ot04g04150	Ot04g04530
Ot04g04560	Ot04g05030
Ot04g04980	Ot04g05530
Ot04g05310	Ot12g00190
Ot04g04180	Ot04g04620
Ot04g04580	Ot04g05140
Ot04g05000	Ot04g05550
Ot04g05330	Ot12g00170
Ot04g04250	Ot04g04700
Ot04g04640	Ot04g05100
Ot04g05020	Ot04g05570
Ot04g05370	Ot12g00130
Ot04g04270	Ot04g04710
Ot04g04680	Ot04g05070
Ot02g05080	Ot02g06100
Ot02g05390	Ot02g06390
Ot02g06100	Ot02g07240
Ot03g03620	Ot03g04020
Ot03g04310	Ot03g04730
Ot03g04740	Ot03g06060
Ot03g03640	Ot03g04110
Ot03g04030	Ot03g04460
Ot03g04340	Ot03g04740
Ot03g04770	Ot03g06020
Ot03g03660	Ot03g04130
Ot03g04050	Ot03g04480
Ot03g04410	Ot03g04910
Ot03g04800	Ot03g05970
Ot03g03700	Ot03g04170
Ot03g04070	Ot03g04490
Ot03g04430	Ot03g04930
Ot03g04830	Ot03g05420
Ot03g03720	Ot03g04180
Ot03g04100	Ot03g04490
Ot03g04470	Ot03g05100
Ot01g05540	Ot01g05920
Ot01g05970	Ot01g06290
Ot02g04960	Ot02g05980
Ot02g05240	Ot02g06260
Ot02g05540	Ot02g06570
Ot02g05950	Ot02g07060
Ot02g04980	Ot02g06000
Ot02g05260	Ot02g06280
Ot02g05570	Ot02g06600
Ot02g05970	Ot02g07080
Ot02g05000	Ot02g06020
Ot02g05290	Ot02g06300
Ot02g05620	Ot02g06670
Ot02g05990	Ot02g07100
Ot02g05030	Ot02g06050
Ot02g05330	Ot02g06340
Ot02g05650	Ot02g06690
Ot02g06050	Ot02g07150
Ot02g05050	Ot02g06070
Ot02g05360	Ot02g06360
Ot02g05690	Ot02g06730
Ot02g06080	Ot02g07230
Ot01g00750	Ot01g01170
Ot01g01100	Ot01g01560
Ot01g05160	Ot01g05700
Ot01g05430	Ot01g05810
Ot01g05840	Ot01g06190
Ot01g06140	Ot01g06510
Ot01g05190	Ot01g05720
Ot01g05450	Ot01g05830
Ot01g05880	Ot01g06210
Ot01g06170	Ot01g06530
Ot01g05220	Ot01g05750
Ot01g05470	Ot01g05850
Ot01g05910	Ot01g06230
Ot01g06190	Ot01g06550
Ot01g05240	Ot01g05460
Ot01g05490	Ot01g05880
Ot01g06210	Ot01g06570
Ot01g05260	Ot01g05480
Ot01g05510	Ot01g05900
Ot01g05950	Ot01g06280
Ot02g00040	Ot02g00030
Ot01g05280	Ot01g05500
Ot00g06110	Ot11g02210
Ot00g11560	Ot01g04460
Ot01g00290	Ot01g00450
Ot01g00590	Ot01g00740
Ot01g00950	Ot01g01430
Ot00g11580	Ot01g04410
Ot01g00310	Ot01g00460
Ot01g00610	Ot01g00760
Ot01g00970	Ot01g01440
Ot00g11630	Ot06g03850
Ot01g00350	Ot01g00590
Ot01g00640	Ot01g00790
Ot01g01000	Ot01g01470
Ot00g11700	Ot14g01190
Ot01g00380	Ot01g00610
Ot01g01030	Ot01g01500
Ot01g00030	Ot01g00120
Ot01g00400	Ot01g00630
Ot01g00680	Ot01g00840
Ot01g01080	Ot01g01550
Ot01g00050	Ot01g00140
Ot01g00420	Ot01g00650
Ot00g04790	Ot03g00480
Ot00g05160	Ot01g05600
Ot00g05580	Ot13g01790
Ot00g05960	Ot14g02690
Ot00g04830	Ot03g00500
Ot00g05180	Ot01g05580
Ot00g06020	Ot10g02800
Ot00g04870	Ot05g00060
Ot00g05220	Ot01g00040
Ot00g05630	Ot08g03810
Ot00g06040	Ot10g02770
Ot00g04890	Ot05g00030
Ot00g05250	Ot01g00080
Ot00g05690	Ot08g00620
Ot00g06060	Ot11g02170
Ot00g04920	Ot02g07370
Ot00g05280	Ot01g00110
Ot00g05750	Ot17g01620
Ot00g06080	Ot11g02190
Ot00g04950	Ot02g07410
Ot00g05320	Ot14g00100
Ot00g05780	Ot02g00980
Ot12g00720	Ot12g00300
Ot09g00080	Ot09g00110
Ot09g03620	Ot09g03410
Ot11g00580	Ot11g00590
Ot12g00920	Ot12g00670
Ot09g00430	Ot09g00520
Ot09g03830	Ot09g03890
Ot11g00940	Ot11g00970
Ot12g01540	Ot12g01350
Ot09g04630	Ot09g03680
Ot12g01740	Ot12g01560
Ot09g00860	Ot09g00960
Ot10g00430	Ot10g00470
Ot11g01600	Ot14g01300
Ot12g02160	Ot12g01950
Ot09g01440	Ot09g01540
Ot10g00580	Ot15g02350
Ot11g01710	Ot11g01960
Ot12g02480	Ot12g02290
Ot16g01560	Ot17g00760
Ot17g00350	Ot18g01890
Ot17g01380	Ot17g02420
Ot18g00910	Ot19g01230
Ot16g01730	Ot17g00350
Ot17g00390	Ot18g01730
Ot17g01480	Ot18g00520
Ot19g00020	Ot20g00020
Ot16g01880	Ot17g00540
Ot17g00540	Ot18g01510
Ot17g01630	Ot18g00360
Ot19g00080	Ot20g00090
Ot16g01950	Ot17g00290
Ot17g00570	Ot18g01480
Ot17g01680	Ot18g00310
Ot16g02040	Ot17g00200
Ot17g00690	Ot18g01350
Ot17g01720	Ot18g00290
Ot19g00170	Ot20g00180
Ot08g03500	Ot08g03770
Ot09g03020	Ot16g00980
Ot11g02410	Ot11g03030
Ot12g00510	Ot13g00580
Ot12g01280	Ot12g01100
Ot11g01490	Ot11g01680
Ot11g02430	Ot11g03070
Ot12g00560	Ot13g00640
Ot12g01310	Ot12g01110
Ot11g02480	Ot11g03100
Ot12g00660	Ot12g00260
Ot12g01480	Ot12g01300
Ot11g01800	Ot11g02060
Ot11g02560	Ot11g03180
Ot12g00680	Ot12g00270
Ot12g01680	Ot12g01500
Ot11g01870	Ot11g02140
Ot11g02590	Ot11g03200
Ot12g00750	Ot12g00500
Ot12g01780	Ot12g01600
Ot16g01540	Ot17g00770
Ot17g00310	Ot18g01930
Ot17g01150	Ot18g00720
Ot18g00860	Ot19g01190
Ot07g03060	Ot07g03410
Ot08g00630	Ot08g00810
Ot07g01230	Ot07g01960
Ot07g02130	Ot07g01400
Ot08g00740	Ot08g00940
Ot07g01270	Ot07g01930
Ot07g02240	Ot07g01270
Ot07g03300	Ot07g03780
Ot08g00760	Ot08g00960
Ot07g01330	Ot07g00430
Ot07g02280	Ot07g01230
Ot07g03350	Ot07g03730
Ot08g00790	Ot08g00980
Ot07g02310	Ot07g01210
Ot07g03530	Ot07g03490
Ot08g00890	Ot08g01250
Ot11g01360	Ot11g01560
Ot11g02330	Ot11g03000
Ot12g00370	Ot13g00450
Ot12g01140	Ot12g00940
Ot04g02680	Ot04g02890
Ot03g04850	Ot03g05440
Ot04g00690	Ot04g00700
Ot04g01600	Ot04g01740
Ot04g02710	Ot04g02920
Ot03g04960	Ot03g05820
Ot04g01680	Ot04g01810
Ot03g05030	Ot03g05880
Ot04g00800	Ot04g00830
Ot04g01780	Ot04g01870
Ot04g03030	Ot04g03380
Ot03g05080	Ot03g05630
Ot04g00910	Ot04g01000
Ot04g01900	Ot04g02010
Ot04g03080	Ot04g03430
Ot07g00960	Ot07g00350
Ot07g02060	Ot07g01480
Ot07g02910	Ot07g04330
Ot07g01130	Ot07g02060
Ot07g02100	Ot07g01440
Ot00g09920	Ot01g05750
Ot00g10640	Ot13g02880
Ot00g11260	Ot10g00590
Ot01g00130	Ot01g00320
Ot00g10690	Ot05g00790
Ot00g11280	Ot11g02790
Ot01g00210	Ot01g00250
Ot00g10030	Ot11g03230
Ot00g10730	Ot02g07490
Ot00g11310	Ot05g02090
Ot01g00270	Ot01g00430
Ot00g10070	Ot20g00560
Ot00g10820	Ot18g01540
