Transcript.ID	Ensembl.Genome.Protein.ID	UniProt.ID	protein_LD6.5	protein_LD9.5	protein_LD11.5	protein_LD12.5	protein_LD14.5	protein_LD17.5	protein_LD21.5	protein_LD23.5	protein_LD24.5	protein_LD26.5	protein_LD30.5	protein_LD33.5	protein_LD35.5	protein_LD36.5	protein_LD38.5	protein_LD41.5	protein_LD45.5	protein_LD47.5	protein_LD48.5	protein_LD50.5	protein_mean.level	protein_max.level	protein_rhythm.pvalue	Ensemble.Genome.ID	protein.length	aa.synthesis.average.cost	RNA_LL4	RNA_LL8	RNA_LL12	RNA_LL16	RNA_LL20	RNA_LL24	RNA_LL28	RNA_LL32	RNA_LL36	RNA_LL40	RNA_LL44	RNA_LL48	RNA_LL52	RNA_LL56	RNA_LL60	RNA_LL64	RNA_LL68	RNA_LL72	RNA_LL76	RNA_LL80	RNA_LL84	RNA_LL88	RNA_mean.level	RNA_max.level	RNA_rhythm.pvalue
syc0011-m_at	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	140.8144468	123.4833043	110.2046902	126.5351841	131.8231681	133.6929233	117.5333006	115.1645019	135.6083223	99.45714778	127.1547111	149.8647282	163.6714491	147.1870145	129.9443464	134.656667	166.5321664	180.8409491	146.1039298	149.3708858	197.2877499	175.8193657	141.034134199091	197.2877499	0.473371463000482
syc0012-h_at	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1817.690303	1635.247699	1652.68025	1830.083708	2065.781661	1885.071682	1858.042486	1569.229313	1597.168886	1760.412753	1758.595803	2045.329992	1487.65153	1591.250151	1690.786907	1795.824965	1992.793068	1783.372935	1692.430063	1673.326894	1625.290951	1903.155771	1759.60080777273	2065.781661	1.94963105065389e-06
syc0013-m_at	ABB57585	Q31MY4	0.92939429	0.953235044	1.005773063	0.910122812	0.992201776	1.070039969	1.072012872	1.034903844	1.005541502	1.14419488	0.898048931	0.902609707	0.815079556	0.826799109	0.881251765	1.066596121	1.095216555	1.083178422	1.1137815	1.206979795	1.00034807565	1.206979795	0.0304028164451746	Synpcc7942_1555	280	18.68	2260.014982	2243.856929	2331.127113	2366.991095	2614.690619	2581.043254	2235.63349	1945.070527	2415.027983	2251.870948	2406.845732	2805.815309	1779.189976	2086.299444	2556.247302	2351.767577	2655.060501	2895.951632	2150.90046	2235.031351	2767.617878	2398.845518	2378.85907363636	2895.951632	0.0308615678054323
syc0014-m_at	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	342.2565813	953.9135631	1103.499501	667.3425495	316.2105874	301.7620331	344.8597575	878.8562048	1168.495798	708.3403534	277.5965381	311.2699478	615.5880501	1297.392394	1205.663749	630.3920533	335.2154215	408.5597231	597.1027925	1283.350408	1472.132225	820.6969989	729.113510472727	1472.132225	1.61625161168863e-06
syc0015-h_at	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2250.911852	7978.391107	5574.77626	4641.477784	1257.504091	1112.574517	3367.096563	7945.085414	5341.751217	4564.009227	1583.017347	1272.199209	3776.168954	6124.925695	3463.470667	2629.803812	1161.003417	1186.40913	4223.783628	5674.973184	3421.96869	3197.47715	3715.85358704545	7978.391107	1.14085637482254e-06
syc0016-m_at	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	139.0035389	161.6428854	171.5202835	171.6468937	144.5585294	149.4671994	166.217587	176.5118977	189.9884789	136.4712113	117.5222287	153.3544329	190.2113168	181.9225082	189.0282106	147.8515476	132.2836647	127.2550857	142.960152	209.4229448	211.3246411	148.054877	161.737277968182	211.3246411	0.00654709598360206
syc0017-m_at	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	367.2736014	476.7884785	466.8519182	396.5655999	347.2698629	318.6178703	358.3476931	473.8921895	438.9820014	373.1636651	297.081627	325.6388682	418.2325476	457.9501895	465.8130031	399.0555987	366.5477834	326.051523	371.9037478	475.3745852	502.9433934	424.7967615	402.233750395455	502.9433934	0.00387930624888533
syc0018-m_at	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40.98534561	69.45701107	78.35346143	67.69821428	48.62441122	45.18642958	54.73940913	86.25321069	58.92843815	57.78054023	58.92263585	40.25258219	95.75980998	56.47565318	79.67869725	61.54428687	52.2854599	54.38460554	81.74879966	103.0766074	105.1946935	80.5918466	67.1782795140909	105.1946935	0.0202470125728088
syc0019-h_at	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	841.6750338	1455.64861	1277.724243	1136.477004	1125.399302	1160.417113	1020.197867	1404.759362	1435.089128	1307.972383	1366.5864	1310.962768	1403.207112	1388.643593	1383.791903	1265.46703	1352.417545	1265.766276	1469.621169	1599.766347	1347.368624	1446.366694	1307.51479576364	1599.766347	0.111615556661656
syc0020-h_at	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	637.8547618	916.3125971	870.9453348	811.9576573	737.3538013	829.9987743	822.1965742	985.4976736	962.4165403	943.4179507	771.3906668	1036.10148	781.151482	987.9433702	985.026662	939.6719559	1000.482191	987.4454445	1060.978352	1035.268177	975.7831679	1059.758452	915.406957577273	1060.978352	0.499314210951681
syc0021-h_at	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	92.39487408	89.22547886	61.63717387	68.80790196	70.26302701	49.34950808	92.0068586	76.14427624	73.40346534	81.41719578	74.89328802	101.5040327	85.62102983	79.8611238	83.66260122	81.26459819	72.65435439	80.20738362	88.99199423	61.94069714	82.1270807	84.09768602	78.7034377127273	101.5040327	0.203353648907695
syc0022-m_at	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	82.00994454	49.79890873	55.87245266	64.61558309	82.2573426	84.21712148	50.29584874	59.1656277	63.88727358	77.19879868	65.66460535	69.32446623	82.3298577	69.54092289	65.63054324	82.2178068	63.32051699	71.01311953	74.90245421	69.75047334	103.5466115	66.45624385	70.5916601559091	103.5466115	0.3748133515687
syc0023-m_at	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	368.0636999	230.6162565	252.9987581	293.3675492	315.2488151	359.7594776	336.5294388	247.1335725	239.3918645	253.052913	304.5874985	325.1752264	411.5099377	282.3747218	283.9868846	357.6569374	381.0878124	406.9462893	348.863497	308.3436414	294.4672216	342.0370786	315.599958722727	411.5099377	0.00706027057353921
syc0024-m_at	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	108.0170258	107.2445208	130.902974	103.9007984	125.8418203	109.7034604	87.24206057	92.42098352	136.3599999	112.7846272	124.7492495	105.8220428	150.1402801	114.9376785	165.8123892	106.117059	124.6697543	158.9709282	86.46766308	109.7871543	155.055408	147.8266287	121.126113935	165.8123892	0.173230880814779
syc0025-h_at	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	145.2453135	170.3729553	199.0104419	151.8677331	141.5853358	176.3865419	190.9329721	232.1405316	172.5558804	126.2283978	109.1547016	197.9133058	221.9636819	273.3253942	235.5284871	190.2321028	211.295973	249.607849	248.6186055	307.4497224	223.2022906	201.8434634	198.930076395455	307.4497224	0.0376579144264925
syc0026-h_at	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	155.5899988	291.1441826	290.2349431	205.5610253	233.0204926	248.3507962	331.2065966	535.3083459	354.6612914	265.2463671	194.8941092	244.1317133	146.262066	315.5122751	256.4444842	170.0180188	227.7253781	255.3575373	262.3104556	357.0028253	312.7408566	251.6679936	268.381443304545	535.3083459	0.046621535950052
syc0027-h_at	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	200.650976	391.534356	421.3096983	300.804606	295.2047886	381.802498	405.6775591	610.5942755	449.1845541	276.3006796	277.9035191	378.7192772	235.0809514	489.8103049	407.0003037	262.339311	335.2210855	406.6864727	448.6127792	627.0142109	438.3763082	371.4577326	382.331193072727	627.0142109	1.29159272333637e-06
syc0028-m_at	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.11086716	27.53922785	34.97191453	19.65787484	21.61930574	30.52744068	25.92456108	39.10974069	30.93986028	26.20547705	14.32208209	17.36744659	27.55473655	43.596103	36.40298376	21.09567872	24.40046017	7.936537434	33.5269463	37.79598603	43.36578807	28.54960658	27.9782102360909	43.596103	1.36634686142056e-06
syc0029-m_at	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	57.3415409	416.9437008	513.0702877	178.1947721	78.13974265	73.95670974	85.08469586	590.0960235	584.6158992	212.0203012	97.81150299	67.44344178	138.2572235	599.0814946	488.7167021	102.9265069	64.84338645	84.58518574	103.8770719	523.1947593	590.3206244	230.3158867	267.310793636818	599.0814946	0.0130950115089527
syc0030-m_at	ABB57603	Q8KPV3	0.872971368	0.938642037	0.908657049	0.883486667	1.130316325	1.14130048	1.164126029	1.087927613	1.069547311	1.197567496	0.930893505	0.997470361	1.085675407	0.870362157	0.921085615	1.226591639	1.184131679	1.173005369	1.091691679	1.194263062	1.0534856424	1.226591639	0.0250689014062922	Synpcc7942_1573	266	19.12	135.3060437	535.2098898	659.0118966	227.1781375	91.65443953	103.1916714	130.1067994	669.7490708	729.5431856	322.4883672	107.6038295	165.5845796	243.8379091	742.5109034	682.7749893	208.3590457	131.5595563	133.4196806	302.7941748	716.9838241	612.9751863	276.3878421	360.374137378636	742.5109034	1.34147711600064e-06
syc0031-m_at	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	61.59768168	238.0647467	270.5299487	120.2497816	36.81527284	56.09441697	52.00086534	277.9420719	302.5747208	141.6309218	51.70549749	60.58615106	114.4098727	318.6904052	250.8348688	44.96011878	82.14890324	40.75574528	91.77141763	291.6534368	288.7741392	189.2827289	153.776077882273	318.6904052	7.6489486147725e-05
syc0032-m_at	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	54.75276189	106.1764228	109.2046952	58.04645691	45.24968154	52.0965456	50.3880512	114.1218651	110.9108776	63.80290701	28.83652679	44.057835	92.54883648	160.3461075	155.1299601	68.53240315	75.84121524	39.40397739	74.38692223	148.6196197	140.7817805	115.877656	86.7778684059091	160.3461075	1.92442594697073e-06
syc0033-m_at	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36.57409496	59.16057952	87.04615528	59.08444807	34.47994833	45.35603141	47.54603724	79.94863407	99.4401308	51.15419435	40.91139379	33.32911911	61.58281294	100.82123	100.4694495	54.97440299	50.56393239	60.81731886	63.07309772	105.3825817	120.7793663	70.95976659	66.52066936	120.7793663	1.27923043258303e-06
syc0034-h_at	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	222.6054925	157.7635385	181.9103819	224.9229687	246.5336733	243.3781759	250.1560945	144.8143837	192.1017048	252.4708484	263.5934156	316.9165391	319.7106331	219.6595214	270.2300548	280.8168764	314.9183123	314.2561547	262.179135	187.2722691	189.7808831	257.9592337	241.543195022727	319.7106331	1.2975036920252e-06
syc0035-h_at	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	423.0777522	404.1912001	502.1804373	422.0930644	441.0582942	526.4908001	477.6035078	451.991752	513.1070244	479.7501952	431.028236	554.3885154	520.4730957	489.2893359	546.9806717	530.5732633	574.5519792	503.547791	527.1221762	537.6992975	542.7384517	537.8550266	497.172357631818	574.5519792	0.872604573396129
syc0036-m_at	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	53.57389704	46.68513373	65.14976036	64.38950413	45.74729404	59.92088927	50.75484957	65.32343999	73.12322494	61.68753975	35.98999548	59.32641887	76.38641916	86.41425651	80.85180699	52.80611459	67.87133752	54.15228605	71.94607658	83.64833955	84.82931172	82.02787272	64.6638985709091	86.41425651	0.0423654951786321
syc0037-h_at	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	147.1529428	97.34837961	166.8165429	181.3528387	114.9680687	168.6899291	128.9184741	100.1006792	156.8874767	146.9612975	90.4970225	177.7315838	186.1004364	158.9343417	182.3247883	139.9012275	165.1104585	147.9635872	188.2508727	109.026507	186.6362187	160.9076669	150.117333659545	188.2508727	0.917734365747705
syc0038-m_at	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	150.9391566	112.8659079	123.0985755	118.1404747	122.5443738	119.3887363	124.5011142	131.8141026	110.7637439	141.2059059	131.0529044	154.9388785	244.1291665	169.7728553	159.0378198	121.507164	172.0192802	155.5027242	165.9321817	142.3534483	151.1264064	152.9852775	144.346372645455	244.1291665	0.527752720958832
syc0039-h_at	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98.7599552	114.1859334	88.70631995	110.405573	126.0898461	159.2193276	135.1196508	119.8370662	119.0714388	149.7920011	143.6408597	159.3888225	209.7071382	100.4792978	141.4447958	145.0299944	176.2103076	151.5529577	150.344752	145.7044789	196.3752761	191.896482	142.407376129545	209.7071382	0.253283235361913
syc0040-m_at	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	117.3715939	127.063643	124.8570443	124.9652121	107.2205706	123.5321371	114.0295655	178.3696242	136.5154248	118.4360509	107.5663425	102.5590166	167.5299675	189.9082184	133.9026427	197.5849123	193.769486	165.8801915	205.5253644	191.8078032	161.9526165	152.8080676	147.416158890909	205.5253644	0.425381521784118
syc0041-h_at	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	178.5946244	172.146904	202.553571	207.6233494	198.318121	222.2963956	189.5349769	146.0854104	196.4762241	154.7022973	189.3702246	193.8626694	181.5872648	205.6320286	212.4041936	216.9041134	219.4774211	200.3333839	193.9298682	216.0723208	243.3751291	207.478033	197.670842027273	243.3751291	0.30043618646425
syc0042-h_at	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	247.0086141	225.5067807	184.4535103	224.3055021	209.2505005	227.8781552	219.8152815	190.7789327	193.7820355	210.6348516	190.5567598	248.374534	254.0598931	235.9132275	209.6652125	206.5987409	228.8724208	262.519841	233.4291212	246.8520364	264.7752261	247.7371809	225.580379927273	264.7752261	0.136912358119547
syc0043-m_at	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	134.0283579	155.4215319	161.6913358	130.4679855	137.3600362	145.122077	147.812135	192.9133925	168.1950542	151.6782398	141.6714746	142.0333959	245.2649588	378.545604	258.1811624	217.9263017	244.6151305	241.1910349	249.5452857	330.5774983	215.7163392	179.2616482	198.600908181818	378.545604	0.246410360628935
syc0044-h_at	ABB57617	Q8KPT7	1.190693547	1.237086307	1.209762171	1.607681447	0.586948504	0.992201776	0.846252569	0.829850768	1.050751455	1.036096007	1.110708256	0.975663369	0.847422518	0.958958913	0.937562007	1.129275744	1.001382506	1.064143018	1.092194537	0.964272986	1.03344542025	1.607681447	0.249423870597595	Synpcc7942_1587	146	20.92	3128.633024	4495.632033	3166.038224	3370.240226	3146.798034	3258.658187	3620.114572	4937.615528	3310.697836	3264.778377	2877.014204	3651.602589	4287.982569	4136.027319	3117.938379	3215.607996	2840.741597	2834.851746	4025.099532	3699.636491	2442.919757	3004.587719	3446.96436086364	4937.615528	1.96424477643249e-05
syc0045-h_at	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	248.4741342	209.6187447	153.7158581	178.8343099	192.7672345	204.3156175	178.4050864	207.0007187	137.330682	174.1424329	173.4266547	217.1674371	309.4296666	223.0567794	209.9562432	250.0777378	261.3188878	271.6033476	258.205853	251.6921076	188.4631573	293.7677455	217.853201659091	309.4296666	0.155135441267106
syc0046-h_at	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	219.2699906	166.5216039	176.2371447	240.8247742	222.7435144	239.2831065	189.1387352	181.938224	193.6672878	218.2043889	270.4286206	273.0486558	369.8509385	164.3259194	278.2645094	262.2256803	337.8018764	294.8352631	266.6362168	281.1669305	382.6378502	381.7207856	255.035091672727	382.6378502	0.154826641964323
syc0047-h_at	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	468.0890046	329.2592529	404.9473606	395.0833315	361.6301514	549.5625964	371.0166195	318.1330493	450.8017934	475.1632628	445.312348	503.6691326	439.1021359	414.9422348	499.3427008	587.2346732	519.0543749	490.9555998	412.1612342	557.0565017	631.3735573	538.5941307	461.931138468182	631.3735573	0.296875141712066
syc0048-h_at	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	860.9062116	579.7810185	863.2315199	895.1117626	894.7714066	933.7495485	765.5294149	653.2054474	900.4642315	927.2740046	1014.243189	937.3175588	858.5693721	682.4003917	951.735707	900.2576016	991.7005002	913.2410235	853.3932438	730.5548315	986.6391725	961.2008324	866.148999554545	1014.243189	0.00418820362831959
syc0049-m_at	ABB57622	O33699	0.49226618	1.14709662	0.717629032	0.796892978	1.318256739	1.260085459	1.212550961	1.166003892	1.184404367	1.036096007	0.901363567	1.056087738	0.592515888	1.042797545	0.722603399	1.137889264	1.061451121	1.252564215	1.10407862	1.175709426	1.0189171509	1.318256739	0.0528791089700079	Synpcc7942_1592	271	19.77	163.7832645	125.4673061	155.2003516	132.7755805	161.4873499	145.0422554	129.4150058	102.8310722	141.6381627	128.635753	154.4207444	155.9038734	185.240326	127.5460096	162.1231223	162.0278702	193.6154241	171.423955	175.1979964	150.2363415	190.0926275	193.6705439	154.898860727273	193.6705439	0.294973890084055
syc0050-m_at	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2430.22667	2467.93353	2449.200164	2367.765401	2525.573317	2675.007356	2416.979143	2291.045841	2429.28076	2254.798481	2260.244775	2530.45976	2284.731077	2338.953628	2477.009331	2457.315595	2617.378405	2619.999021	2490.298801	2402.992134	2028.92578	2094.715769	2405.03794268182	2675.007356	0.097613109387663
