Gene.ID	Gene.Name	DN	DS	Rat.homology.type
ENSMUSG00000020102	Slc16a7	0.0781	0.2496	ortholog_one2one
ENSMUSG00000115145	Gm35166			
ENSMUSG00000026388	3110009E18Rik	0.0264	0.2087	ortholog_one2one
ENSMUSG00000037536	Fbxo34	0.0621	0.2469	ortholog_one2one
ENSMUSG00000002661	Alkbh7	0.0193	0.1523	ortholog_one2one
ENSMUSG00000073406	H2-Bl			
ENSMUSG00000023333	Gcm1	0.0591	0.2534	ortholog_one2one
ENSMUSG00000094559	Cyp2d34	0.1061	0.2731	ortholog_one2many
ENSMUSG00000024076	Vit	0.0429	0.2131	ortholog_one2one
ENSMUSG00000091812	Ear-ps5			
ENSMUSG00000105089	Gm43717			
ENSMUSG00000106704	Gm42799			
ENSMUSG00000054892	Txk	0.0343	0.2078	ortholog_one2one
ENSMUSG00000106689	Gm18345			
ENSMUSG00000062148	Ear6	0.277	0.3402	ortholog_many2many
ENSMUSG00000062148	Ear6	0.2646	0.3766	ortholog_many2many
ENSMUSG00000062148	Ear6	0.277	0.3402	ortholog_many2many
ENSMUSG00000083055	Gm14140			
ENSMUSG00000055817	Mta3	0.0288	0.2982	ortholog_one2one
ENSMUSG00000002664	Pspn	0.0618	0.124	ortholog_one2one
ENSMUSG00000022043	Trim35	0.0104	0.2156	ortholog_one2one
ENSMUSG00000103219	Gm37787			
ENSMUSG00000086621	Gm13348			
ENSMUSG00000053925	Gm9929			
ENSMUSG00000086194	Gm16329			
ENSMUSG00000115908	Cyp2d35-ps			
ENSMUSG00000107386	Gm42800			
ENSMUSG00000118516	AC118710.1			ortholog_one2many
ENSMUSG00000070524	Fcrlb	0.0313	0.2514	ortholog_one2one
ENSMUSG00000025498	Irf7	0.099	0.3003	ortholog_one2one
ENSMUSG00000080227	Gm13343			
ENSMUSG00000031250	Tnmd	0.0074	0.0936	ortholog_one2one
ENSMUSG00000068134	Zfp120	0.0503	0.2102	ortholog_one2one
ENSMUSG00000022913	Psmg1	0.0428	0.1997	ortholog_one2one
ENSMUSG00000073963	Olfr572			
ENSMUSG00000021945	Zmym2	0.0299	0.2012	ortholog_one2one
ENSMUSG00000043415	Otud1	0.0277	0.2111	ortholog_one2one
ENSMUSG00000116130	Gm49431			
ENSMUSG00000094436	Gm16327			
ENSMUSG00000006014	Prg4			ortholog_one2one
ENSMUSG00000052785	Olfr573-ps1	0.0503	0.1443	ortholog_one2one
ENSMUSG00000083893	Gm13347			
ENSMUSG00000095332	Gm9821			
ENSMUSG00000087246	Gm13346			
ENSMUSG00000085984	1700001G11Rik			
ENSMUSG00000028747	Htr6			
ENSMUSG00000110639	Gm6831			
ENSMUSG00000096276	Gm2042			
ENSMUSG00000032564	Cpne4	0	0	ortholog_one2one
ENSMUSG00000089838	Gm2962			
ENSMUSG00000050445	Cyp8b1	0.0532	0.3791	ortholog_one2one
ENSMUSG00000038421	Fcrla	0.1204	0.1928	ortholog_one2one
ENSMUSG00000103979	Gm20305			
ENSMUSG00000029649	Pomp	0.0172	0.1906	ortholog_one2many
ENSMUSG00000029649	Pomp	0.0172	0.1906	ortholog_one2many
ENSMUSG00000052794	1700030K09Rik	0.1445	0.2402	ortholog_one2one
ENSMUSG00000038806	Sde2	0.0812	0.2241	ortholog_one2one
ENSMUSG00000111141	Gm47115			
ENSMUSG00000103213	Gm38289			
ENSMUSG00000112716	4930471E19Rik			
ENSMUSG00000107326	Gm43038			
ENSMUSG00000109803	Gm45604			
ENSMUSG00000112510	Gm47566			
ENSMUSG00000066677	Ifi208	0.3927	0.5899	ortholog_one2many
ENSMUSG00000021886	Gpr65	0.0629	0.345	ortholog_one2one
ENSMUSG00000041722	Khdc1c	0.2015	0.3285	ortholog_one2many
ENSMUSG00000020481	Ankrd36	0.0981	0.263	ortholog_one2one
ENSMUSG00000000552	Zfp385a	0.0104	0.0717	ortholog_one2one
ENSMUSG00000050199	Lgr4	0.0109	0.1255	ortholog_one2one
ENSMUSG00000112895	Gm47567			
ENSMUSG00000081243	Gm14037			
ENSMUSG00000045824	Olfr574	0.0247	0.1761	ortholog_one2one
ENSMUSG00000107241	Gm43129			
ENSMUSG00000075141	Olfr1160	0.036	0.1988	ortholog_one2many
ENSMUSG00000083879	Gm14038			
ENSMUSG00000006398	Cdc20	0.012	0.2276	ortholog_one2one
ENSMUSG00000116841	Gm49737			
ENSMUSG00000103105	Gm18752			
ENSMUSG00000116990	Gm49738			
ENSMUSG00000045150	Olfr1161	0.0665	0.1738	ortholog_one2one
ENSMUSG00000053205	Styx	0.0062	0.109	ortholog_one2many
ENSMUSG00000060166	Zdhhc8	0.0074	0.1252	ortholog_one2one
ENSMUSG00000026959	Grin1	0.0073	0.2278	ortholog_one2one
ENSMUSG00000115570	Gm48986			
ENSMUSG00000017204	Gsdma	0.0349	0.2127	ortholog_one2one
ENSMUSG00000026389	Steap3	0.0127	0.2644	ortholog_one2one
ENSMUSG00000109739	Gm17949			
ENSMUSG00000107079	Gm35648			
ENSMUSG00000075140	Olfr73	0.0461	0.2146	ortholog_one2one
ENSMUSG00000091415	Ak9	0.076	0.324	ortholog_one2one
ENSMUSG00000029306	Ibsp	0.0536	0.2596	ortholog_one2one
ENSMUSG00000060512	0610040J01Rik	0.0685	0.1603	ortholog_one2one
ENSMUSG00000007670	Khsrp	0.0007	0.1081	ortholog_one2one
ENSMUSG00000028560	Usp1	0.0343	0.2155	ortholog_one2one
ENSMUSG00000105335	Gm42423			
ENSMUSG00000038085	Cnbd2	0.1443	0.3109	ortholog_one2one
ENSMUSG00000075139	Olfr1162	0.0581	0.3112	ortholog_many2many
ENSMUSG00000075139	Olfr1162	0.0596	0.3052	ortholog_many2many
ENSMUSG00000047417	Rexo1	0.0252	0.2089	ortholog_one2one
ENSMUSG00000103083	A630035G10Rik			
ENSMUSG00000006390	Elovl1	0.0189	0.1831	ortholog_one2one
ENSMUSG00000106090	Gm43704			
ENSMUSG00000110822	Gm18305			
ENSMUSG00000103137	Gm37981			
ENSMUSG00000048988	Elfn1	0.0068	0.2796	ortholog_one2one
ENSMUSG00000111601	Gm18986			
ENSMUSG00000103017	Gm37505			
ENSMUSG00000111315	Gm47473			
ENSMUSG00000083707	Gm13592			
ENSMUSG00000112757	Gm10743			
ENSMUSG00000110296	Gm45533			
ENSMUSG00000080766	Gm13593			
ENSMUSG00000085507	Gm2709			
ENSMUSG00000101400	Gm29596			
ENSMUSG00000044544	4921513I03Rik			
ENSMUSG00000075137	Olfr1163	0.038	0.2399	ortholog_many2many
ENSMUSG00000075137	Olfr1163	0.0394	0.2359	ortholog_many2many
ENSMUSG00000066269	Olfr575			
ENSMUSG00000103051	Gm7871			
ENSMUSG00000057346	Apol9a	0.139	0.1978	ortholog_one2many
ENSMUSG00000111907	Gm48202			
ENSMUSG00000002477	Snrpd1	0	0	ortholog_one2one
ENSMUSG00000075136	Olfr1164	0.0425	0.1928	ortholog_one2one
ENSMUSG00000094926	Gm16533			
ENSMUSG00000050530	Fam171a1	0.0758	0.3491	ortholog_one2one
ENSMUSG00000015355	Cd48	0.2193	0.1679	ortholog_one2one
ENSMUSG00000023993	Treml1	0.1271	0.1684	ortholog_one2one
ENSMUSG00000043354	Olfr577	0.0115	0.1991	ortholog_one2one
ENSMUSG00000032735	Ablim3	0.0059	0.1814	ortholog_one2one
ENSMUSG00000081691	Gm11965			
ENSMUSG00000081021	Gm11964			
ENSMUSG00000104386	Gm37030			
ENSMUSG00000073962	Olfr576	0.0298	0.1552	ortholog_one2many
ENSMUSG00000073962	Olfr576	0.0369	0.1893	ortholog_one2many
ENSMUSG00000086015	4833417C18Rik			
ENSMUSG00000029660	Tex26	0.133	0.3702	ortholog_one2one
ENSMUSG00000110410	4933421D24Rik			
ENSMUSG00000046070	Igfals	0.0358	0.3284	ortholog_one2one
ENSMUSG00000085578	Gm11527			
ENSMUSG00000110258	Gm45406			
ENSMUSG00000029344	Tpst2	0.0069	0.1815	ortholog_one2one
ENSMUSG00000041120	Nbl1	0.0128	0.2046	ortholog_one2one
ENSMUSG00000086255	Gm11534			
ENSMUSG00000103883	Gm37010			
ENSMUSG00000013418	B4galnt2			
ENSMUSG00000030173	Klra5	0.2328	0.4334	ortholog_many2many
ENSMUSG00000030173	Klra5	0.2295	0.3347	ortholog_many2many
ENSMUSG00000030173	Klra5	0.2364	0.2899	ortholog_many2many
ENSMUSG00000030173	Klra5	0.2476	0.302	ortholog_many2many
ENSMUSG00000030173	Klra5	0.2438	0.3991	ortholog_many2many
ENSMUSG00000030173	Klra5	0.221	0.3251	ortholog_many2many
ENSMUSG00000030173	Klra5	0.2476	0.302	ortholog_many2many
ENSMUSG00000021541	Trpc7	0.0026	0.2016	ortholog_one2one
ENSMUSG00000020257	Wdr82	0.0153	0.2976	ortholog_one2one
ENSMUSG00000085079	Khdc1b	0.1927	0.3682	ortholog_one2many
ENSMUSG00000108575	Gm35665			
ENSMUSG00000085546	Gm14252			
ENSMUSG00000097888	Gm26682			
ENSMUSG00000085679	Gm16328			
ENSMUSG00000082321	Gm14253			
ENSMUSG00000081751	Gm14251			
ENSMUSG00000046229	Scand1			ortholog_one2one
ENSMUSG00000045792	Olfr578	0.0112	0.1686	ortholog_one2one
ENSMUSG00000037722	Gnpnat1	0.0025	0.1469	ortholog_one2one
ENSMUSG00000059409	Ppp2r5d	0.0085	0.2151	ortholog_one2one
ENSMUSG00000013701	Timm23	0.0093	0.1458	ortholog_one2one
ENSMUSG00000112817	Gm48122			
ENSMUSG00000032224	Fam81a	0.0137	0.2233	ortholog_one2one
ENSMUSG00000116384	Gm35912			
ENSMUSG00000110033	AC161520.1			
ENSMUSG00000116247	Vmn1r-ps137			
ENSMUSG00000053863	Mepe	0.2071	0.3922	ortholog_one2one
ENSMUSG00000018899	Irf1	0.0318	0.3205	ortholog_one2one
ENSMUSG00000018412	Kansl1	0.0195	0.1098	ortholog_one2one
ENSMUSG00000079009	Gm14139	0.2049	0.5916	ortholog_one2many
ENSMUSG00000085693	Gm13371			
ENSMUSG00000083120	Gm15854			
ENSMUSG00000103044	Gm37307			
ENSMUSG00000104251	Gm18036			
ENSMUSG00000026656	Fcgr2b	0.1074	0.2203	ortholog_one2one
ENSMUSG00000058838	Rps27a-ps2			
ENSMUSG00000020698	Cct6b	0.0206	0.179	ortholog_one2one
ENSMUSG00000032258	Lca5	0.075	0.2339	ortholog_one2one
ENSMUSG00000047261	Gap43	0.0045	0.0524	ortholog_one2one
ENSMUSG00000061769	Klra6	0.2327	0.4336	ortholog_many2many
ENSMUSG00000061769	Klra6	0.2237	0.3254	ortholog_many2many
ENSMUSG00000061769	Klra6	0.2381	0.3132	ortholog_many2many
ENSMUSG00000061769	Klra6	0.2509	0.3621	ortholog_many2many
ENSMUSG00000061769	Klra6	0.246	0.3934	ortholog_many2many
ENSMUSG00000061769	Klra6	0.2127	0.3409	ortholog_many2many
ENSMUSG00000061769	Klra6	0.2509	0.3621	ortholog_many2many
ENSMUSG00000046590	Olfr1165-ps			
ENSMUSG00000060336	Zfp937			
ENSMUSG00000111664	Gm48865			
ENSMUSG00000063450	Syne2			
ENSMUSG00000000295	Hddc2	0.0332	0.204	ortholog_one2one
ENSMUSG00000107164	4933425D22Rik			
ENSMUSG00000073490	Ifi207			
ENSMUSG00000110694	Gm45782			
ENSMUSG00000079008	Gm14124	0.1898	0.5271	ortholog_one2many
ENSMUSG00000069925	4932416K20Rik			
ENSMUSG00000030345	Dyrk4	0.0941	0.2289	ortholog_one2one
ENSMUSG00000084320	Gm14125			
ENSMUSG00000063576	Klhdc3	0.0024	0.1975	ortholog_one2one
ENSMUSG00000033854	Kcnk10	0.0204	0.194	ortholog_one2one
ENSMUSG00000066652	Lefty2	0.04	0.2143	ortholog_one2one
ENSMUSG00000086425	F730016J06Rik			
ENSMUSG00000087553	5730412P04Rik			
ENSMUSG00000079563	Pglyrp2	0.0897	0.2146	ortholog_one2one
ENSMUSG00000112100	Gm9102			
ENSMUSG00000094326	Gm10045			
ENSMUSG00000105483	4930553I04Rik			
ENSMUSG00000059900	Tmem40	0.0557	0.2926	ortholog_one2one
ENSMUSG00000029423	Piwil1	0	0	ortholog_one2one
ENSMUSG00000073489	Ifi204	0.2839	0.3351	ortholog_one2many
ENSMUSG00000028558	Calr4	0.0476	0.2799	ortholog_one2one
ENSMUSG00000052712	BC004004	0.0233	0.1392	ortholog_one2one
ENSMUSG00000116781	Gm49712			
ENSMUSG00000116778	Gm49713			
ENSMUSG00000084217	Gm15488			
ENSMUSG00000071203	Naip5	0.1162	0.2211	ortholog_one2many
ENSMUSG00000022770	Dlg1	0.019	0.2692	ortholog_one2one
ENSMUSG00000028675	Pnrc2	0.0279	0.1162	ortholog_one2one
ENSMUSG00000063364	3300002I08Rik	0.0566	0.0408	ortholog_one2many
ENSMUSG00000063364	3300002I08Rik	0.0655	0.144	ortholog_one2many
ENSMUSG00000063364	3300002I08Rik	0.0655	0.144	ortholog_one2many
ENSMUSG00000063364	3300002I08Rik	0.0895	0.0426	ortholog_one2many
ENSMUSG00000022360	Atad2	0.0378	0.2218	ortholog_one2one
ENSMUSG00000095315	Gm10130	0.1842	0.4708	ortholog_one2many
ENSMUSG00000083077	Gm14126			
ENSMUSG00000083964	Gm14122			
ENSMUSG00000085955	Gm12356			
ENSMUSG00000017221	Psmd3	0.0009	0.1889	ortholog_one2one
ENSMUSG00000068130	Zfp442			
ENSMUSG00000024077	Strn	0.0102	0.2162	ortholog_one2one
ENSMUSG00000033819	Ppp1r16a	0.0298	0.179	ortholog_one2one
ENSMUSG00000111596	Gm8058			
ENSMUSG00000086480	Gm15287			
ENSMUSG00000113613	Gm40893			
ENSMUSG00000026520	Pycr2	0.0042	0.208	ortholog_one2one
ENSMUSG00000083430	Gm13006			
ENSMUSG00000113927	5330409N07Rik			
ENSMUSG00000107964	4930447C11Rik			
ENSMUSG00000062585	Cnr2	0.0396	0.2947	ortholog_one2one
ENSMUSG00000026315	Serpinb8	0.0434	0.1734	ortholog_one2one
ENSMUSG00000060534	Dcc	0.0097	0.203	ortholog_one2one
ENSMUSG00000099718	Gm2087			
ENSMUSG00000116441	Gm49554			
ENSMUSG00000050608	Micos10	0.032	0.126	ortholog_one2one
ENSMUSG00000002768	Mea1	0	0	ortholog_one2one
ENSMUSG00000030292	Smco2	0.1783	0.3609	ortholog_one2one
ENSMUSG00000082740	Gm14127			
ENSMUSG00000083203	Gm11421			
ENSMUSG00000083371	Gm11422			
ENSMUSG00000081828	Gm11420			
ENSMUSG00000110143	Olfr580-ps1			
ENSMUSG00000025401	Myo1a	0.0255	0.2326	ortholog_one2one
ENSMUSG00000116246	Gm4106			
ENSMUSG00000054405	Dnajc8	0.0597	0.2257	ortholog_one2one
ENSMUSG00000109845	Olfr581-ps1			
ENSMUSG00000116150	Gm3711			
ENSMUSG00000116388	Gm3749			
ENSMUSG00000116521	Gm4111			
ENSMUSG00000027298	Tyro3	0.0144	0.1394	ortholog_one2one
ENSMUSG00000114618	Gm41183			
ENSMUSG00000067377	Tspan6	0.0057	0.1375	ortholog_one2one
ENSMUSG00000083238	Hspe1-ps4			
ENSMUSG00000046962	Zbtb21	0.0141	0.0972	ortholog_one2one
ENSMUSG00000056167	Cnot10	0.0103	0.209	ortholog_one2one
ENSMUSG00000111750	Gm47886			
ENSMUSG00000049680	Urgcp	0.0171	0.2389	ortholog_one2one
ENSMUSG00000087323	Gm14170			
ENSMUSG00000047844	Bex4	0.0558	0.1688	ortholog_one2many
ENSMUSG00000117872	A530088E08Rik			
ENSMUSG00000086391	1700042O10Rik			
ENSMUSG00000036907	C1ql2	0.0053	0.1719	ortholog_one2one
ENSMUSG00000084017	Rpl21-ps9			
ENSMUSG00000059058	Tma7-ps			
ENSMUSG00000103676	Gm38204			
ENSMUSG00000104224	Gm37693			
ENSMUSG00000102869	2900097C17Rik			
ENSMUSG00000104440	Gm19030			
ENSMUSG00000116679	Gm49739			
ENSMUSG00000020182	Ddc	0.0202	0.2269	ortholog_one2one
ENSMUSG00000083782	Gm11660			
ENSMUSG00000101275	1700012E03Rik			
ENSMUSG00000061272	Gm14173			
ENSMUSG00000111157	Gm47887			
ENSMUSG00000052142	Rasal3	0.0434	0.1664	ortholog_one2one
ENSMUSG00000110667	Gm45720			
ENSMUSG00000117285	Gm49863			
ENSMUSG00000110662	Gm45722			
ENSMUSG00000087480	Gm15910			
ENSMUSG00000110548	Gm45721			
ENSMUSG00000038195	Rilp	0.0691	0.1841	ortholog_one2one
ENSMUSG00000117192	Gm18649			
ENSMUSG00000110793	Gm7395			
ENSMUSG00000031841	Cdh13	0.0097	0.1798	ortholog_one2one
ENSMUSG00000086444	Gm15961			
ENSMUSG00000051236	Msrb3	0.0207	0.187	ortholog_one2one
ENSMUSG00000063415	Cyp26b1	0.0026	0.2071	ortholog_one2one
ENSMUSG00000086548	Gm12972			
ENSMUSG00000099928	Gm29202			
ENSMUSG00000013415	Igf2bp1	0.0031	0.2732	ortholog_one2one
ENSMUSG00000093722	Gm20612			
ENSMUSG00000032089	Il10ra	0.108	0.2073	ortholog_one2one
ENSMUSG00000034063	4930590J08Rik	0.0759	0.1761	ortholog_one2one
ENSMUSG00000045975	C2cd2	0.0489	0.1702	ortholog_one2one
ENSMUSG00000019810	Fuca2	0.0494	0.3156	ortholog_one2one
ENSMUSG00000039414	Heatr5b	0.0153	0.2548	ortholog_one2one
ENSMUSG00000103222	Gm37729			
ENSMUSG00000026715	Serpinc1	0.0285	0.1576	ortholog_one2one
ENSMUSG00000085398	4931406G06Rik			
ENSMUSG00000108625	Gm44711			
