Protein Name,CycID,ARS_pvalue,ARS_BH.Q,ARS_period,ARS_adjphase,ARS_amplitude,JTK_pvalue,JTK_BH.Q,JTK_period,JTK_adjphase,JTK_amplitude,LS_pvalue,LS_BH.Q,LS_period,LS_adjphase,LS_amplitude,meta2d_pvalue,meta2d_BH.Q,meta2d_period,meta2d_phase,meta2d_Base,meta2d_AMP,meta2d_rAMP,CT3,CT7,CT11,CT15,CT19,CT23,CT27,CT31,CT35,CT39,CT43,CT47
Myosin-11,Myh11,0.594330888,0.802049088,27.53103448,7.052984349,0.713507742,1,1,20,19,0.918160348,0.964422823,1,20,14.72911019,0.362637892,0.980959837,0.999999999,22.51034483,21.24041889,-0.55910619,0.288752897,0.288752897,0,-0.940739759,-0.70126344,-1.355707905,-1.236509917,0.962565301,-1.298474816,-2.430252054,3.515131251,0.330408325,-1.674797603,-1.989308663
Myelin P2 protein,Pmp2,0.546465911,0.768598046,24,5.816689263,0.454892232,1,1,24,9,0.533228285,0.791750869,1,27.53138075,2.972512295,0.117137553,0.946990641,0.999999999,25.17712692,6.089335702,-0.543316679,0.539764898,0.539764898,0,0.863758377,-1.761701703,0.147134266,-0.49858523,0.15499984,-0.292558683,-0.275115169,0.487908425,-1.137531623,-3.044532002,-1.165843542
Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2 (G gamma-I),Gng2,0.48813069,0.731947748,24,6.086863733,0.313926732,1,1,24,3,0.33939416,0.936804975,1,23.75451264,6.992228321,0.462386604,0.955067193,0.999999999,23.91817088,5.400159064,0.155705243,0.35683899,0.35683899,0,1.420767873,-0.598758645,0.090949618,0.584655641,-0.023023957,0.015946825,0.612009997,0.818667923,-0.636737263,-0.60575174,0.196200447
Caveolin (Fragment),Cav1,0.035803101,0.248932879,23.07514451,1.346384013,0.242427475,1,1,24,1,0.131998327,0.526562035,1,23.25088339,0.498174425,0.483988619,0.242367523,0.884281506,23.4420093,0.948999067,-0.019523203,0.244610844,0.244610844,0,0.007858648,-0.773448117,-0.233118669,0.067900293,-0.015583754,0.074815914,0.108013488,-0.194259821,0.112008654,0.1457007,0.536245778
Tpp2 protein (Tripeptidyl-peptidase 2),Tpp2,0.232989167,0.534931514,24,8.399807193,0.122282475,0.558904371,1,28,7,0.191704824,0.421828489,1,26.21513944,4.395912471,-0.09081435,0.445570736,0.999999999,26.07171315,6.662422303,-0.149697381,0.155643789,0.155643789,0,0.178764622,0.109867499,-0.428506259,-0.092092264,-0.161498738,-0.134935602,-0.048084648,-0.17079525,-0.029878092,-0.44631562,-0.52644639
Lactadherin (MFGM) (Milk fat globule-EGF factor 8) (MFG-E8) (SED1) (Sperm surface protein SP47) (MP47),Mfge8,0.960538557,0.981854253,24,20.74663228,0.02176698,1,1,28,21,0.08983575,0.998709118,1,27.76371308,19.23622813,0.491904379,0.999988409,0.999999999,26.58790436,20.42248275,0.245741273,0.026956094,0.026956094,0,0.393179212,-0.011492432,0.28832685,0.224577061,0.117130524,0.350573272,0.013979688,0.460740502,0.114302838,0.530851628,0.450754504
Aminoacyl tRNA synthase complex-interacting multifunctional protein 1,Aimp1,0.407690457,0.674765454,24,23.4662402,0.076494163,0.558904371,1,20,9,0.047888699,0.910189437,1,20,15.85220957,0.033671603,0.790279411,0.999999999,21.33333333,17.2396176,0.000377534,0.069999967,0.069999967,0,-0.134720455,0.190234449,-0.013029948,-0.047548627,0.115352541,0.016018733,0.051159294,-0.199243674,-0.202445302,0.155194158,0.13195842
AP-1 complex subunit mu-1,Ap1m1,0.019972696,0.209404998,21.93406593,17.02727534,0.261065853,0.15763919,0.798488541,24,19,0.09926935,0.235071403,1,22.15488215,17.81592349,0.031958558,0.025305647,0.227442222,22.69631603,17.94610839,-0.069233011,0.272542314,0.272542314,0,-0.546673295,0.104049776,0.077709869,0.136537665,-0.32128016,-0.260921143,-0.326181158,0.095442126,0.144238456,0.260529081,-0.262474718
Long-chain-fatty-acid--CoA ligase 1,Acsl1,0.348651834,0.636232959,20.26395939,19.89041136,0.158478245,1,1,28,7,0.219580593,0.999264002,1,20,3.000056412,-0.251295572,0.909421675,0.999999999,22.75465313,2.968582843,-0.808279313,0.009435313,0.009435313,0,-1.027991872,-0.425372275,-0.87688244,-0.692733889,-0.782322111,-1.013400862,-0.962086555,-0.995300753,-0.717206963,-1.045130715,-1.166866374
"MCG116562, isoform CRA_a (Versican core protein)",Vcan,0.064804016,0.302282022,24,17.53553315,0.196269389,0.004320437,0.472727761,28,19,0.268761922,0.197293536,1,26.21513944,19.07821055,0.754672561,0.003251429,0.088751976,26.07171315,18.57317618,0.579441767,0.236922066,0.236922066,0,0.069500629,0.644321454,0.731762738,0.72870907,0.713279368,0.504464995,0.588603422,0.463244356,0.685728743,1.019662748,0.798651228
Band 4.1-like protein 2,Epb41l2,0.904367157,0.954604276,24,19.31365624,0.051526487,1,1,28,21,0.237546896,0.999854659,1,28,19.24675067,0.444697556,0.999842318,0.999999999,26.66666667,19.931594,0.298779523,0.093318309,0.093318309,0,0.633453202,-0.063271352,0.588839735,0.536419207,0.220230545,0.494574312,0.020187643,0.335569644,0.302735076,-0.006163715,0.478349221
Fcgrt protein (IgG receptor FcRn large subunit p51),Fcgrt,0.013865067,0.19056701,21.57837838,8.613431926,0.426690139,0.057269646,0.629966104,24,7,0.498358306,0.14119386,1,22.92682927,7.672069993,0.300313934,0.005769923,0.106310824,22.83506922,7.802352828,-0.099640327,0.473356551,0.473356551,0,0.442093664,0.079823486,-0.076968981,-0.497380253,-0.519781394,0.629134202,0.232344679,0.106369895,-0.723042302,-0.38280367,-0.479874943
Ras suppressor protein 1,Rsu1,0.257419713,0.555265718,24,13.5197719,0.137965924,0.558904371,1,24,17,0.135418925,0.762751419,1,21.29449838,16.30390871,0.647717531,0.620128015,0.999999999,23.09816613,15.73576038,0.426764006,0.145074777,0.145074777,0,0.309588437,0.198847445,0.286946778,0.564424643,0.528364546,0.279573739,0.357224855,0.941097244,0.745025579,0.437774793,0.416958785
Extracellular matrix protein 1,Ecm1,0.307296604,0.593938993,21.46236559,10.22624973,0.107997312,1,1,20,11,0.164860191,0.94082383,1,20,10.92849359,0.466838998,0.87048977,0.999999999,20.4874552,10.7452899,0.336283441,0.113889538,0.113889538,0,0.507999412,0.168718685,0.448478895,0.344191907,0.160116382,0.577339425,0.47404007,0.388610109,0.270109407,0.320645071,0.316931563
ATP-dependent RNA helicase DDX3X (EC 3.6.4.13) (D1Pas1-related sequence 2) (DEAD box RNA helicase DEAD3) (mDEAD3) (DEAD box prot... <Preview truncated at 128 characters>,Ddx3x D1Pas1-rs2 Ddx3 Dead3 Erh,0.469209881,0.721183904,24,17.33498363,0.091495301,1,1,28,17,0.201053757,0.734897411,1,28,21.19339178,0.650356,0.907415378,0.999999999,26.66666667,18.57245652,0.476344244,0.11574375,0.11574375,0,0.300315677,0.477060097,0.545330952,0.622655962,0.751040727,0.47473107,0.598791372,0.360099183,0.571809322,0.544978817,0.460879108
Sepiapterin reductase,Spr,0.776650157,0.886054436,24,14.96316862,0.038507101,1,1,24,21,0.086629373,0.936428857,1,27.0781893,19.92175191,0.633134085,0.995753063,0.999999999,25.0260631,18.60980714,0.430636112,0.035941575,0.035941575,0,0.431768498,0.33792396,0.339263808,0.568642324,0.429660297,0.311764638,0.580002543,0.482363368,0.438893847,0.623286487,0.624701976
Transcriptional activator protein Pur-alpha (Purine-rich single-stranded DNA-binding protein alpha),Pura,0.360596121,0.640740739,24,18.27117373,0.202931626,0.096845539,0.706684773,28,17,0.428956716,0.340115693,1,27.76371308,17.22368671,0.820958709,0.181243418,0.735958121,26.58790436,17.58205911,0.70065243,0.323745291,0.323745291,0,-0.070521791,0.955707601,0.780066465,0.782291278,0.701806598,0.524726067,0.60308382,0.526438306,0.969182052,0.970807529,1.738222211
"Cytoplasmic dynein 1 heavy chain 1 (Cytoplasmic dynein heavy chain 1) (Dynein heavy chain, cytosolic)",Dync1h1,0.897774232,0.952028214,24,8.30703171,0.034387487,1,1,28,23,0.204324735,0.999997454,1,28,27.60248293,0.423583833,0.999807182,0.999999999,26.66666667,25.85461274,0.28698386,0.035583207,0.035583207,0,0.291095631,0.225394969,-0.00069204,0.398477606,0.513641507,0.363433579,0.283939677,0.572669165,0.330531694,0.249287419,0.170888097
Ubiquitin carboxyl-terminal hydrolase isozyme L1 (UCH-L1) (EC 3.4.19.12) (EC 6.-.-.-) (Neuron cytoplasmic protein 9.5) (PGP 9.5)... <Preview truncated at 128 characters>,Uchl1,0.440721682,0.697021201,24,8.769276393,0.464663519,1,1,24,13,0.521397949,0.828985149,1,24.2804428,6.563689535,0.543886228,0.918426023,0.999999999,24.09348093,9.35982747,-0.105806843,0.510868585,0.510868585,0,1.082264635,-0.775290524,0.67494342,0.194636266,-0.101523075,0.217317275,0.146934779,1.019270782,-0.323134523,-2.431891564,-0.958410276
Zinc-alpha-2-glycoprotein,Azgp1,0.719398882,0.858147954,24,9.606747512,0.062904686,1,1,20,15,0.23544461,0.999822342,1,26.42570281,20.5742384,0.919557732,0.995332848,0.999999999,23.47523427,16.02077995,0.641418593,0.003951383,0.003951383,0,0.421122766,0.471505167,0.431350331,0.804474128,0.444159937,0.706755568,1.095868263,0.711570427,0.779131414,0.864111396,0.967775783
Myelin protein P0,Mpz,0.180677504,0.481588863,24,6.015673817,0.670713393,0.377646329,1,28,7,0.205204175,0.420355599,1,25.21072797,5.395231204,0.064410878,0.311428099,0.999999999,25.73690932,6.131636448,-0.690578041,0.709943904,0.709943904,0,0.934689058,-1.475442744,-0.313098399,-0.765519598,-0.673936111,-0.094123657,-0.160975774,0.120515597,-1.460135203,-3.157170088,-1.175838798
Extracellular superoxide dismutase [Cu-Zn] (EC-SOD) (EC 1.15.1.1),Sod3,0.395938504,0.667749834,24,17.79735748,0.126544676,0.377646329,1,28,17,0.03077386,0.504700909,1,27.53138075,15.91640535,0.506180779,0.522432798,0.999999999,26.51046025,16.98476617,0.459357232,0.181193335,0.181193335,0,0.486829699,0.248986767,0.731398552,0.459530699,0.272080277,0.601544815,0.289395844,0.213543362,0.695307843,0.841418988,0.744111039
STE20-like serine/threonine-protein kinase (STE20-like kinase) (mSLK) (EC 2.7.11.1) (Etk4) (STE20-related kinase SMAK) (STE20-re... <Preview truncated at 128 characters>,Slk Kiaa0204 Stk2,0.18782729,0.489147396,25.26582278,15.29004213,0.148818641,0.247873828,0.966576777,28,17,0.150664033,0.563793081,1,26.63967611,15.85513561,0.812341391,0.295703787,0.976540439,26.6351663,16.04752466,0.730494763,0.170227857,0.170227857,0,0.674919794,0.648955846,0.85281175,0.770322328,0.790581205,0.567380647,0.888353694,0.64030277,0.984456557,1.045085059,1.015113679
ATP-citrate synthase,Acly,0.506798971,0.741828881,24,9.858990837,0.197872191,1,1,24,13,0.313229713,0.924743855,1,24.46096654,6.310251024,0.449959609,0.958440899,0.999999999,24.15365551,9.774518894,0.186428141,0.216064234,0.216064234,0,0.84953792,-0.133464186,0.435542839,0.336037441,0.378240845,0.330541223,0.161681248,0.838031874,0.008593835,-0.462732792,-0.493011743
Fibroleukin (Cytotoxic T-lymphocyte-specific protein) (Fibrinogen-like protein 2) (Prothrombinase),Fgl2 Fiblp,0.575437039,0.790488533,24,19.27216331,0.107073287,0.558904371,1,28,21,0.323226062,0.501472849,1,28,19.26383166,0.785947658,0.7240228,0.999999999,26.66666667,19.92180511,0.593870043,0.183441361,0.183441361,0,0.512092806,0.329560622,0.827055949,0.775092566,0.798250039,0.514112509,0.574708232,0.71984288,0.305806262,0.760372952,0.922715141
DnaJ homolog subfamily C member 1,Dnajc1,0.431162379,0.690047065,24,23.56176812,0.66658855,1,1,28,27,1.102932807,0.980473557,1,24.46096654,20.22349935,-1.722722425,0.943411772,0.999999999,25.48698885,23.59718172,-1.790220197,0.69470666,0.388056543,0,-3.138784202,-2.994441317,-0.192490109,-2.694899993,-2.287359895,-0.953860811,-2.044087302,-3.315340327,-1.453080794,-2.483832998,-0.419394903
"Flotillin 2, isoform CRA_a (Flotillin-2)",Flot2,0.541688715,0.766725267,24,5.325869003,0.059017892,1,1,28,3,0.128246973,0.987190549,1,20.62695925,5.746036044,0.081371543,0.974243024,0.999999999,24.20898642,4.927504909,0.00333555,0.066511943,0.066511943,0,0.290089575,-0.179558875,-0.027219342,-0.094561577,-0.137559409,0.058119531,-0.057997608,0.049428462,0.004211762,0.031777842,0.099829237
S-phase kinase-associated protein 1 (Cyclin-A/CDK2-associated protein p19) (S-phase kinase-associated protein 1A) (p19A) (p19skp... <Preview truncated at 128 characters>,Skp1 Skp1a,0.064259094,0.30069176,20.16161616,15.32931065,0.430125381,0.096845539,0.706684773,24,17,0.349545077,0.339706591,1,22.92682927,17.26883503,1.208938211,0.055233448,0.368680431,22.36281514,16.56361046,0.683615724,0.512479349,0.512479349,0,0.533525061,0.519735433,1.728197574,1.002452406,0.926452177,-0.120175389,0.316329748,1.112379086,0.694799391,0.531292585,0.652231614
Myosin VIIa isoform 2 (Unconventional myosin-VIIa),Myo7a,0.543079126,0.767496291,24,10.24498129,0.125001294,1,1,24,9,0.111261103,0.906800537,1,28,6.193987224,0.163273615,0.964836755,0.999999999,25.33333333,8.704995247,-0.010768138,0.151005679,0.151005679,0,0.024423778,0.309273994,-0.435491955,0.112881063,0.183696122,0.036104433,0.073281654,0.211711172,0.177997457,-0.152371861,-0.606678184
"C-type lectin domain family 3, member b (Tetranectin)",Clec3b Tna,0.31150137,0.596357095,24,22.52505158,0.157744369,1,1,24,1,0.206501016,0.853972843,1,23.41637011,22.99545239,-0.025475607,0.851501929,0.999999999,23.8054567,23.50348878,-0.099474538,0.157259392,0.157259392,0,-0.484176656,0.186697437,-0.423266281,0.001690411,-0.07806739,0.066007552,-0.173344331,-0.504702603,-0.071333999,0.230748511,0.070843118
Tensin 1,Tns1,0.190245883,0.492833799,27.53103448,9.294160081,0.099647127,1,1,20,17,0.163303517,0.932243368,1,20,18.18247964,0.224424624,0.749389997,0.999999999,22.51034483,20.71268374,0.074927834,0.043403046,0.043403046,0,0.0692669,-0.122473131,0.11664974,0.084606459,-0.18276722,0.067098073,0.025736975,0.351245892,0.256683024,0.104067858,0.116924665
Reticulocalbin-1,Rcn1 Rca1 Rcn,0.932946904,0.970475467,24,23.42193596,0.043599581,1,1,28,23,0.366425107,0.971316537,1,28,26.96779215,0.692417859,0.999851994,0.999999999,26.66666667,24.58231968,0.51074074,0.08443201,0.08443201,0,0.06710276,0.73936213,0.136837555,0.758560922,0.559040282,0.594671675,0.759658722,0.565243631,0.191447424,0.892346385,0.755831515
Vesicle-fusing ATPase (EC 3.6.4.6) (N-ethylmaleimide-sensitive fusion protein) (NEM-sensitive fusion protein) (Suppressor of K(+... <Preview truncated at 128 characters>,Nsf,0.381535566,0.658695865,24,21.76377725,0.06010596,1,1,28,23,0.097317174,0.901408737,1,28,22.70336877,0.255269227,0.906903052,0.999999999,26.66666667,22.56000305,0.121039109,0.078727975,0.078727975,0,0.21607639,0.06441384,0.107354169,0.240303009,0.337822622,0.124264601,0.110579842,-0.023348469,0.076600214,0.074230521,0.038628948
Alpha-soluble NSF attachment protein,Napa,0.350676443,0.636521057,23.76190476,16.30285499,0.103443212,1,1,28,17,0.14731,0.990266884,1,22.15488215,16.91370117,0.419194599,0.908790478,0.999999999,24.63892897,16.89190603,0.243032644,0.1120258,0.1120258,0,0.388536352,0.307526647,0.265780767,0.521506544,0.46696384,0.09651505,0.258632517,0.108755495,0.370696271,0.129987864,0.019233142
Epidermal growth factor receptor substrate 15-like 1,Eps15l1,0.085131298,0.3337328,20.26395939,11.97766398,0.188445836,0.558904371,1,20,13,0.130012495,0.624231874,1,20,10.86022803,0.645618505,0.317793158,0.999999999,20.08798646,11.94487635,0.44630291,0.189109386,0.189109386,0,0.503131827,0.449911741,0.44633792,0.591196199,0.24417806,0.728231548,0.566578597,0.72751375,0.262472487,0.266139058,0.391281965
Epidermal growth factor receptor pathway substrate 15 isoform B (Epidermal growth factor receptor substrate 15),Eps15,0.046802548,0.267391302,20.06030151,15.35445112,0.273449603,0.377646329,1,20,15,0.308631999,0.551012082,1,21.43322476,16.81228375,0.817927511,0.159306586,0.688615564,20.49784209,15.71371891,0.66080024,0.268230489,0.268230489,0,0.538971617,0.441689001,0.890936433,1.16754934,0.271308723,0.621077877,0.640432133,0.944862878,0.807045136,0.539399658,0.674315408
Cytochrome c oxidase subunit 6C (Cytochrome c oxidase polypeptide VIc),Cox6c,0.138825825,0.421653791,24,20.33463904,0.170550407,0.558904371,1,24,23,0.097981046,0.486165994,1,28,18.18567718,0.171376374,0.363961637,0.999999999,25.33333333,20.88126902,0.04402324,0.197968079,0.197968079,0,0.084498321,-0.076107689,0.421785337,-0.018896583,0.169957487,-0.068270746,-0.151645641,-0.370084514,-0.029942434,0.247999922,0.248477187
Dystonin,Dst,0.887564886,0.946927361,24,6.318420129,0.065105126,1,1,28,23,0.293764861,0.999941237,1,20,5.121243725,0.961436755,0.999740957,0.999999999,24,4.937851175,0.756578239,0.069478496,0.069478496,0,1.102692325,0.771744991,0.353378305,0.907735261,1.002641182,1.045939189,0.658778782,0.934416735,0.762668016,0.685256683,0.8536874
"Tryptophan--tRNA ligase, cytoplasmic",Wars,0.8161266,0.907750762,24,15.44448379,0.045085106,1,1,28,19,0.114598818,0.999998826,1,22.30508475,16.67054205,0.401485286,0.998798582,0.999999999,24.76836158,17.08084171,0.273378489,0.047501055,0.047501055,0,0.51071347,0.245660101,0.316001063,0.394923685,0.516292708,0.220052865,0.132392856,0.429594043,0.168346454,0.181890027,0.172707792
G-utrophin (Predicted protein) (Utrophin),Utrn,0.086722088,0.334342799,24,16.19384611,0.188131936,0.057269646,0.629966104,24,17,0.199417045,0.296720902,1,22.30508475,19.22921075,0.683794222,0.042405295,0.317615878,23.43502825,17.48125998,0.479928265,0.220036991,0.220036991,0,0.150642798,0.177013414,0.61562781,0.732972024,0.708577545,0.264041906,0.449781611,0.777043658,0.793610571,0.544888071,0.516960863
"Capping protein (Actin filament) muscle Z-line, beta, isoform CRA_a (F-actin-capping protein subunit beta)",Capzb,0.330362002,0.616820617,24,4.696442651,0.098685988,0.057269646,0.629966104,20,9,0.170592153,0.166082544,1,20,7.101309974,0.1729663,0.07342734,0.419503485,21.33333333,7.174153239,0.077410943,0.164139702,0.164139702,0,0.285997618,0.134176085,0.21050497,-0.151105913,0.072189541,0.249556673,0.204842019,-0.036411718,-0.217002725,0.12588439,0.157306329
Plasma membrane calcium-transporting ATPase 1 (Fragment),Atp2b1,0.217092556,0.518322986,24,6.582871386,0.114828062,0.247873828,0.966576777,24,7,0.084905709,0.727842412,1,23.92727273,7.101171782,0.112565085,0.371631188,0.999999999,23.97575758,6.894983176,-0.008091383,0.137583791,0.137583791,0,0.227787343,-0.150811356,0.106557118,-0.32257979,-0.041849119,0.207380615,-0.040713542,0.153218319,-0.075829089,-0.114509128,-0.045691588
Alpha-mannosidase 2 (EC 3.2.1.114) (Golgi alpha-mannosidase II) (AMan II) (Man II) (Mannosidase alpha class 2A member 1) (Mannos... <Preview truncated at 128 characters>,Man2a1,0.407718398,0.674765454,24,16.47618443,0.274692044,0.247873828,0.966576777,28,19,0.65738411,0.768748022,1,28,19.56645408,1.954592829,0.52978278,0.999999999,26.66666667,18.34558331,1.481356952,0.309543364,0.208959335,0,0.993716108,1.463775914,1.578427632,1.926314672,2.283654481,1.353129473,1.520785294,1.812756078,1.557407162,1.677515663,1.607644201
Hepatocyte growth factor-regulated tyrosine kinase substrate,Hgs,0.180140027,0.481588863,20.36734694,16.31507025,0.705958992,1,1,28,17,1.319307295,0.702955449,1,22.15488215,18.20213187,1.925792199,0.65868806,0.999999999,23.5074097,17.58240486,1.023922039,0.731402033,0.714314181,0,-0.50714422,2.353109243,1.236943299,2.067809156,1.903517545,0.525062249,0.870054418,1.733676112,0.670084373,1.510295544,-0.151783144
Crk-like protein,Crkl Crkol,0.04245418,0.258718797,21.12169312,11.09397815,0.134778021,1,1,20,11,0.142738169,0.593221764,1,20.24615385,15.33272005,0.334910434,0.28857435,0.966716923,20.45594899,12.37356044,0.237603673,0.126765394,0.126765394,0,0.341756937,0.250356141,0.201862254,0.250251756,-0.07737419,0.247508391,0.452807379,0.326460364,0.197289371,0.285674615,0.230329494
T-complex protein 1 subunit delta,Cct4,0.212765194,0.513838442,24,7.319143452,0.200358356,1,1,24,9,0.230629619,0.629466148,1,25.60311284,2.93468222,0.411725259,0.673848124,0.999999999,24.53437095,6.628339853,0.193364977,0.242307923,0.242307923,0,0.608737087,0.383116904,-0.32487291,0.109867119,0.42090585,0.335104702,0.361893133,0.380405191,0.283623932,-0.088315887,-0.149582419
T-complex protein 1 subunit gamma,Cct3,0.954245492,0.978815488,24,13.73221336,0.014714759,1,1,24,13,0.025995309,0.999999999,1,23.58422939,15.5295634,0.224302286,0.999983469,0.999999999,23.8614098,14.08657169,0.16837514,0.01473261,0.01473261,0,0.373712383,0.121982377,0.229994708,0.131132223,0.358837176,0.158599057,0.149355886,0.144748318,0.162988239,0.145922105,0.042197922
Peptidyl-prolyl cis-trans isomerase FKBP10 (PPIase FKBP10) (EC 5.2.1.8) (65 kDa FK506-binding protein) (65 kDa FKBP) (FKBP-65) (... <Preview truncated at 128 characters>,Fkbp10,0.519439651,0.749172256,24,18.33500198,0.133598812,1,1,24,21,0.258123575,0.801145357,1,25.60311284,20.37696173,0.28557942,0.940921894,0.999999999,24.53437095,19.90446824,0.271938003,0.146128712,0.146128712,0,-0.32121588,0.478759425,0.184879791,0.210378551,0.337853403,0.23308354,0.3206609,-0.167412689,0.861149765,0.488323501,0.626108865
