"mRNAs identified in Ito et. al and analyzed by Pearson correlation: column headers show the transcript codes as identified by Ito et al. (Transcript accession); the names of the proteins as seen in Uniprot database (Protein name); gene names as seen in the Cyanobase (Gene names); the Uniprot accession numbers of all proteins (Uniprot Accession); the log2-mean-ratio normalized retrieved from GEO (GSE14225) from each time-point X (hours in LL) (LL.X); the Pearson correlation value (Pearson); the p-value for the significance of the Pearson correlation (p-value); the cluster number corresponding to each significant protein (Cluster nr); categorization of the protein corresponding to this mRNA, as cyclic (TRUE) and not-cyclic (FALSE), as determined by the Pearson correlation (Cyclic protein); the subjective phase, light (L) or dark (D), at which the mRNA profile shows a maximum abundance (Peak phase (subjective)); the phase, light (L) or dark (D), at which the protein profile shows a maximum abundance (Peak phase protein); the relationship between the mRNA peak phase and the protein peak phase, being in-phase (in), out of phase (out) or anti-phase (out (anti)); the delay between the maximum abundance observed at the mRNA level comparing to the maximum abundance at the protein level (delay (h)) (average delays account for different delays between the 2 days); the functional category at which the protein belongs to, based on the Cyanobase (Function category); the pathway to which the protein belongs, according to KEGG (KEGG); and the biological process in which the protein is involved, according to Gene Ontology (GO_BP).",,,,,,,,,,,,,,,,,,,,,,,,,,
(av) average delay based on 2 numbers,,,,,,,,,,,,,,,,,,,,,,,,,,
Light,,,,,,,,,,,,,,,,,,,,,,,,,,
Transcript accession,protein name,gene name,Accession,LL.4,LL.8,LL.12,LL.16,LL.20,LL.24,LL.28,LL.32,LL.36,LL.40,LL.44,LL.48,Pearson corr,p-value,Cluster nr,Cyclic protein,Peak phase (subjective),Peak phase protein,in/out phase,delay (h),Function category,KEGG,GO_BP
syc0049-m_at,creatinine amidohydrolase,Synpcc7942_1592,O33699,0.15647857,-0.30494988,0.02149634,-0.09149859,0.17819302,0.01290649,-0.05361891,-0.33035945,0.07034181,0.01433361,0.1272539,0.0523617,0.79338865,0.0403,6,FALSE,-,-,-,-,-,-,-
syc0053-m_at,probable short-chain dehydrogenase,Synpcc7942_1596,Q54767,-0.09548984,-0.23592681,0.04740325,0.05334071,0.09554405,-0.08466909,-0.08987205,-0.34554827,0.06384475,0.15194027,0.19252042,0.1627398,0.85486902,0.0165,6,FALSE,-,-,-,-,-,-,-
syc0054-m_at,GTP cyclohydrolase I,Synpcc7942_1597,Q54769,-0.14721341,-0.25834098,0.07863704,0.13478182,0.08107049,0.12804378,-0.0664682,-0.26724497,0.13098708,0.03825401,0.00591652,0.13032224,0.90738059,0.0050,6,FALSE,-,-,-,-,-,-,-
syc0061-m_at,hypothetical protein,Synpcc7942_1604,Q31MT5,0.17967546,0.06693106,-0.24752494,0.04297525,0.12219774,0.11175638,0.03938696,0.01364093,-0.31598951,-0.01599428,-0.0040598,-0.00694955,0.97229983,0.0002,4,FALSE,-,-,-,-,-,-,-
syc0065-m_at,mannose-1-phosphate guanylyltransferase,Synpcc7942_1608,Q31MT1,0.38664329,-0.01868276,-0.33565947,0.00482223,0.15242298,0.08087366,0.13943006,-0.14622255,-0.31311089,-0.1563059,-0.03399578,0.0082358,0.96673757,0.0003,4,FALSE,-,-,-,-,-,-,-
syc0066-m_at,ribonucleoside triphosphate reductase B,Synpcc7942_1609,Q31MT0,-0.06029114,-0.23087785,0.18718565,0.29623643,0.0894426,-0.30160442,-0.28973535,-0.25096578,0.1147581,0.33504686,0.14978463,-0.1066675,0.82753931,0.0257,6,FALSE,-,-,-,-,-,-,-
syc0067-h_at,pyridine nucleotide transhydrogenase beta subunit,Synpcc7942_1610,Q31MS9,-2.47418574,0.79278122,1.43101714,-0.5524413,-3.42287245,-3.67222586,-2.08315807,1.07957133,1.38678441,0.123338,-3.38942114,-3.45304998,0.99301832,0.0000,1,TRUE,L/D,D,out,2.5,Metabolism of cofactors and vitamins,"syf00760:Nicotinate and nicotinamide metabolism,","GO:0055114~oxidation reduction,"
syc0068-h_at,NAD(P) transhydrogenase subunit alpha,Synpcc7942_1611,Q31MS8,-2.18172768,0.80514653,1.46330373,-0.60944473,-3.46577571,-3.93129658,-2.00029138,1.10723516,1.39632557,-0.08621125,-3.65263086,-3.66598555,0.99365611,0.0000,1,FALSE,-,-,-,-,-,-,-
syc0069-h_at,pyridine nucleotide transhydrogenase alpha subunit,Synpcc7942_1612,Q31MS7,-2.69663116,1.01564551,1.43038197,-0.65202966,-3.72442715,-3.88000129,-2.19489922,1.03691767,1.36398133,0.1519915,-3.44141761,-3.93064935,0.98883025,0.0000,1,TRUE,L/D,D,out (anti),9.5,Energy production and conversion/Metabolism of cofactors and vitamins,"syf00760:Nicotinate and nicotinamide metabolism,",0
syc0072-m_at,ribonuclease P,Synpcc7942_1615,Q31MS4,0.00942795,-0.17234945,0.08034127,0.02075239,0.00349475,0.06835761,-0.0671953,-0.282894,0.08925742,0.01179491,-0.08144935,0.18084138,0.93195364,0.0021,6,FALSE,-,-,-,-,-,-,-
syc0073-m_at,hypothetical protein,Synpcc7942_1616,Q31MS3,0.2155397,-0.31924064,-0.36200928,0.02573149,0.20992076,0.27022439,0.09398023,-0.38922853,-0.38180996,-0.12253329,0.16019412,0.26637887,0.97968306,0.0001,2,FALSE,-,-,-,-,-,-,-
syc0074-m_at,preprotein translocase YidC subunit  60Kd inner membrane protein,Synpcc7942_1617,Q31MS2,-0.14621717,-0.27107391,-0.02584654,0.01857364,0.03947654,0.15474286,-0.02521602,-0.25753097,-0.00866692,0.04304631,0.09061852,0.30708406,0.95619137,0.0006,6,FALSE,-,-,-,-,-,-,-
syc0075-m_at,hypothetical protein,Synpcc7942_1618,Q31MS1,-0.00734965,-0.3553983,-0.1178537,0.02858635,0.20352312,0.11958971,-0.08243272,-0.3414372,-0.09101612,0.03275402,0.30224044,0.29003429,0.95259828,0.0008,6,FALSE,-,-,-,-,-,-,-
syc0076-m_at,Uncharacterized protein,syc0076_d,Q5N601,-0.08872085,-0.29753339,-0.08098548,0.08568646,0.07825109,0.02885855,-0.07856133,-0.35568798,0.02314505,0.11298911,0.07167905,0.34996138,0.84270478,0.0203,6,FALSE,-,-,-,-,-,-,-
syc0079-h_at,similar to Fe-S oxidoreductase,Synpcc7942_1621,Q31MR8,0.11866191,0.27823514,-0.29202562,0.06501755,-0.20778924,-0.4163071,0.18758495,0.41278899,-0.31992071,0.132134,-0.26824006,-0.18370619,0.93133384,0.0022,4,FALSE,-,-,-,-,-,-,-
syc0081-m_at,Uncharacterized protein,Synpcc7942_1623,Q31MR6,0.40419466,0.28680403,-0.20549853,-0.02762264,-0.054406,-0.13765205,0.19961793,0.1201625,-0.50027212,-0.22057312,-0.39262784,0.02043668,0.79284838,0.0406,4,FALSE,-,-,-,-,-,-,-
syc0082-h_at,riboflavin synthase alpha chain,Synpcc7942_1624,Q31MR5,0.07124092,-0.16811777,0.00260258,0.02683339,0.03067887,0.01300279,0.03740404,-0.16932057,-0.09060006,0.02809157,0.13135233,0.05278929,0.79781079,0.0382,2,FALSE,-,-,-,-,-,-,-
syc0084-h_at,Uncharacterized protein,Synpcc7942_1626,Q31MR3,-0.3102532,0.12823622,0.12527782,0.06523606,-0.07899904,-0.28974835,-0.16262824,0.35505301,0.19180301,0.17313616,-0.14997522,-0.23218092,0.91379304,0.0041,1,FALSE,-,-,-,-,-,-,-
syc0087-m_at,hypothetical protein,Synpcc7942_1628,Q31MR1,0.30649862,-0.61649361,-0.30491053,0.15285349,0.224877,0.18441893,-0.01411311,-0.64182005,-0.44898917,0.12612182,0.26521798,0.28869258,0.92132505,0.0032,2,FALSE,-,-,-,-,-,-,-
syc0089-m_at,cytochrome c553,Synpcc7942_1630,P25935,0.29498614,0.20964676,-0.26468391,-0.06387093,-0.09074158,0.02861855,0.27191305,0.20999651,-0.4271862,-0.26835802,-0.31685984,-0.12497234,0.9823858,0.0000,4,FALSE,-,-,-,-,-,-,-
syc0090-m_at,CytB protein,Synpcc7942_1631,Q31MQ8,0.11279996,0.20923854,-0.13952175,-0.08086515,-0.02139727,0.05527626,0.21673879,0.27405487,-0.37741147,-0.16553859,-0.26361816,-0.17639607,0.90589445,0.0052,4,FALSE,-,-,-,-,-,-,-
syc0093-h_at,hypothetical protein,Synpcc7942_1634,Q31MQ5,0.13508507,0.16987505,-0.11760342,-0.1116468,-0.11595393,-0.05227129,0.13937021,0.15150588,-0.15261056,-0.06160212,-0.08074734,-0.12563885,0.94085457,0.0014,4,FALSE,-,-,-,-,-,-,-
syc0097-m_at,hypothetical protein,Synpcc7942_1460,Q31N79,-0.18347797,0.39571068,0.02357928,-0.14701848,-0.36675373,-0.28127606,-0.17462288,0.4958979,0.30680367,-0.05754572,-0.14627421,-0.26600979,0.93172105,0.0022,1,TRUE,L,D,out (anti),15 (av),putative uncharacterized,putative uncharacterized,0
syc0101-h_at,malonyl coenzyme A-acyl carrier,Synpcc7942_1456,Q31N83,0.14577299,-0.52665438,-0.01507005,0.16307021,0.11520511,0.06573783,-0.15235134,-0.41911751,-0.00966741,0.08371513,0.20823937,0.14685421,0.8083993,0.0334,6,FALSE,-,-,-,-,-,-,-
syc0102-h_at,3-oxoacyl-[acyl-carrier-protein] synthase III,Synpcc7942_1455,Q31N84,0.12928219,-0.35587098,-0.07827249,0.14673715,0.12086251,0.03950414,0.01827702,-0.47151118,-0.03489331,0.13259863,0.05348335,0.13002349,0.93144478,0.0022,6,FALSE,-,-,-,-,-,-,-
syc0103-h_at,fatty acid/phospholipid synthesis protein PlsX,Synpcc7942_1454,Q31N85,0.10387051,-0.27578842,-0.20768674,0.05485734,0.10564317,0.08580158,0.11264645,-0.34285882,-0.12118936,-0.01537136,0.14061336,0.20495451,0.92727224,0.0026,2,FALSE,-,-,-,-,-,-,-
syc0110-h_at,carbonic anhydrase,Synpcc7942_1447,P27134,0.04083213,-0.47712228,-0.30060898,0.07370765,0.21637492,0.19190409,0.09517637,-0.35320539,-0.30401303,-0.00560278,0.11323172,0.34090577,0.92959987,0.0023,2,FALSE,-,-,-,-,-,-,-
syc0111-m_at,Uncharacterized protein,Synpcc7942_1446,Q31N93,-0.41863405,0.31111548,0.41549126,-0.07108678,-0.39945466,-0.3867627,-0.02374551,0.51699422,0.410111,-0.04683346,-0.52852692,-0.53767399,0.88460084,0.0090,1,FALSE,-,-,-,-,-,-,-
syc0112-m_at,Uncharacterized protein,Synpcc7942_1445,Q31N94,-0.32096839,0.15600765,0.38875912,-0.04188228,-0.32032561,-0.32377591,-0.0482931,0.35254111,0.34707279,-0.13017887,-0.40498044,-0.31985365,0.88082532,0.0098,1,FALSE,-,-,-,-,-,-,-
syc0113-h_at,fructose-bisphosphate aldolase class II,Synpcc7942_1443,Q8VW88,-0.01081931,-0.1708459,-0.09486913,0.09776427,0.1358209,0.14096036,-0.01682762,-0.20687275,-0.05967281,0.1024368,0.21156437,0.03708209,0.9027578,0.0057,2,FALSE,-,-,-,-,-,-,-
syc0122-m_at,hypothetical protein,Synpcc7942_1434,Q31NA5,-0.08464712,-0.24384861,-0.13897603,0.09656329,0.16127153,0.16633729,-0.01304756,-0.19985139,-0.0667078,0.04069107,0.22179643,0.18579187,0.95984672,0.0005,6,FALSE,-,-,-,-,-,-,-
syc0123-h_at,N-acetyl-gamma-glutamyl-phosphate reductase,Synpcc7942_1433,Q31NA6,0.20811445,-0.58363655,-0.38151047,0.12487083,0.27025827,0.21610703,0.16108318,-0.41949925,-0.35484757,-0.04126418,0.01201242,0.31289497,0.90596674,0.0052,2,FALSE,-,-,-,-,-,-,-
syc0125-h_at,peptidyl-prolyl cis-trans isomerase (PPIase) (Rotamase),Synpcc7942_1431,P29820,-0.38812168,-0.03814996,0.27945052,-0.0348699,-0.18154671,-0.09932258,-0.16063596,0.06023944,0.46132055,0.05568731,-0.03817596,-0.03555942,0.95909878,0.0005,3,FALSE,-,-,-,-,-,-,-
syc0126-m_at,Uncharacterized protein,Synpcc7942_1430,Q31NA9,-0.63556295,-0.07249658,0.31266956,-0.0713302,-0.31111216,-0.13318303,-0.17342742,0.18214569,0.47503467,0.19959059,-0.25435977,-0.15411853,0.83854806,0.0217,3,TRUE,L/D,D,out (anti),10 (av),putative uncharacterized,putative uncharacterized,0
syc0129-h_at,"ribulose 1,5-bisphosphate carboxylase/oxygenase small subunit",Synpcc7942_1427,Q31NB2,0.11453103,-0.39476781,-0.32285815,0.10342661,0.14350573,0.19588621,0.12852572,-0.39423824,-0.32547223,0.07150079,0.31745077,0.17960743,0.96721015,0.0003,2,FALSE,-,-,-,-,-,-,-
syc0130-h_at,"ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit",Synpcc7942_1426,Q31NB3,0.04287186,-0.24863033,-0.19856016,0.08020414,0.16043015,0.20523307,0.1150224,-0.22880557,-0.22572234,0.04361849,0.2383429,0.08704278,0.92314272,0.0030,2,FALSE,-,-,-,-,-,-,-
syc0132-h_at,carbon dioxide concentrating mechanism protein CcmN,Synpcc7942_1424,P46204,-0.02063728,-0.56459376,-0.08139263,0.13446121,0.17009847,0.11454017,-0.10797256,-0.44106623,-0.07783966,0.15261466,0.19315748,0.31730666,0.93130805,0.0022,6,FALSE,-,-,-,-,-,-,-
syc0133-h_at,"carbon dioxide concentrating mechanism protein CcmM, putative carboxysome structural protein",Synpcc7942_1423,Q03513,-0.06671782,-0.51820632,-0.06492192,0.28077002,0.21467785,0.15771329,-0.05768641,-0.45095587,-0.27456569,0.15482229,0.22257725,0.22551266,0.92381622,0.0029,6,FALSE,-,-,-,-,-,-,-
syc0134-h_at,"carbon dioxide concentrating mechanism protein CcmL, putative carboxysome assembly protein",Synpcc7942_1422,Q03512,0.23546693,-0.53990826,-0.17562756,0.26879619,0.19169882,0.14406392,0.03942708,-0.44016829,-0.37753001,0.09086216,0.14652314,0.09109194,0.93397299,0.0020,2,FALSE,-,-,-,-,-,-,-
syc0135-h_at,"carbon dioxide concentrating mechanism protein CcmK, putative carboxysome assembly protein",Synpcc7942_1421,Q03511,0.18335758,-0.33168725,-0.21704773,0.13775223,0.12349648,0.10580382,0.07571018,-0.26513525,-0.26185469,0.00845575,0.27605496,0.07760723,0.8758395,0.0110,2,FALSE,-,-,-,-,-,-,-
syc0136-h_at,light-independent protochlorophyllide reductase subunit N,Synpcc7942_1420,P54208,-0.58298522,0.19752444,0.57671341,-0.0520787,-0.4231066,-0.40712556,-0.37404347,0.35752477,0.54196377,0.07988426,-0.37045635,-0.17844722,0.98084784,0.0001,1,FALSE,-,-,-,-,-,-,-
syc0137-h_at,Light-independent protochlorophyllide reductase subunit L,Synpcc7942_1419,P54207,-0.36350093,0.16544235,0.5704846,-0.2243122,-0.40910329,-0.4827856,-0.25695069,0.26121824,0.45137096,0.04722828,-0.16153445,-0.28247288,0.9677698,0.0003,1,FALSE,-,-,-,-,-,-,-
syc0138-h_at,hypothetical protein,Synpcc7942_1417,Q31NC2,-0.51634273,-0.17068625,0.46642947,-0.06894835,-0.22148359,-0.15979376,-0.40582528,0.0080453,0.64180647,0.08063186,-0.31758509,0.21852429,0.91946296,0.0034,3,FALSE,-,-,-,-,-,-,-
syc0140-m_at,NADH dehydrogenase subunit 2,Synpcc7942_1415,P29801,-0.01704642,-0.36643446,-0.04385529,0.01504354,0.04274782,0.09109739,0.00853888,-0.29261218,-0.01444186,0.11695034,0.1013292,0.23916943,0.96812168,0.0002,6,FALSE,-,-,-,-,-,-,-
syc0141-m_at,ATP-binding protein of ABC transporter,Synpcc7942_1414,Q31NC5,0.00362073,-0.37206798,-0.4097946,-0.24746913,0.37561584,0.31620868,0.04005457,-0.31221129,-0.2242712,-0.15160667,0.10235818,0.39276104,0.90175659,0.0059,2,FALSE,-,-,-,-,-,-,-
syc0144-m_at,hypothetical protein,Synpcc7942_1412,Q31NC7,-0.51261557,0.28651928,0.50681198,-0.13142408,-0.26811508,-0.35705812,-0.26514368,0.37337303,0.56341242,-0.0497093,-0.6785911,-0.27947025,0.87289439,0.0117,1,FALSE,-,-,-,-,-,-,-
syc0145-m_at,hypothetical protein,Synpcc7942_1411,Q31NC8,-0.68542362,0.26919224,0.49234512,-0.14190936,-0.50913233,-0.38227605,-0.43187385,0.42622337,0.78915288,0.05999566,-0.73517389,-0.20381554,0.95133607,0.0008,1,FALSE,-,-,-,-,-,-,-
syc0153-m_at,hydroxyacylglutathione hydrolase,Synpcc7942_1403,Q31ND6,-0.08721833,-0.15263308,0.00707116,0.04519539,-0.31147689,-0.18639511,-0.0594639,0.14058122,0.19157431,0.28635213,-0.15677507,0.05234996,0.8245749,0.0268,3,FALSE,-,-,-,-,-,-,-
syc0154-h_at,hypothetical protein,Synpcc7942_1402,Q31ND7,-0.43286464,0.73514771,0.63058376,-0.25859454,-1.00048053,-1.07075774,-0.52159358,0.75253572,0.66232686,0.03441959,-1.01375244,-0.88254589,0.98326686,0.0000,1,FALSE,-,-,-,-,-,-,-
syc0159-h_at,Uncharacterized protein,Synpcc7942_1397,Q31NE2,-0.05236278,0.55825959,0.15412459,-0.05811084,-0.49143447,-0.58787451,0.0104629,0.50549936,0.14182863,-0.05357052,-0.59505912,-0.50927725,0.98663272,0.0000,1,FALSE,-,-,-,-,-,-,-
syc0160-m_at,hypothetical protein,Synpcc7942_1396,Q31NE3,-0.18875518,0.3990441,0.47014422,-0.27513971,-0.63008583,-0.50961561,-0.29449025,0.46117963,0.53747319,-0.02615537,-0.63897098,-0.55270844,0.97110458,0.0002,1,FALSE,-,-,-,-,-,-,-
syc0165-h_at,competence protein ComM homolog,Synpcc7942_1391,Q31NE8,-1.71060891,1.20498625,0.92484169,-0.59945197,-2.06797993,-2.41167486,-1.31935004,1.07616563,1.09169329,-0.13622055,-2.11414549,-2.29545382,0.98865508,0.0000,1,FALSE,-,-,-,-,-,-,-
syc0166-m_at,protein kinase C inhibitor,Synpcc7942_1390,P32084,-0.02626232,-0.10255465,-0.27234613,0.01651447,0.20790508,0.04271726,-0.06555064,-0.12644938,-0.12092617,0.08268417,0.07817151,0.02746541,0.82998281,0.0248,2,FALSE,-,-,-,-,-,-,-
syc0167-m_s_at,photosystem II reaction center D1 protein,Synpcc7942_0893,P04997,-0.10463862,-0.16724368,-0.43329754,0.036975,0.26917043,0.16492685,0.03371185,-0.18166775,-0.29671855,0.00472744,0.30324717,0.24802148,0.95678959,0.0006,2,FALSE,-,-,-,-,-,-,-
syc0171-m_at,hypothetical protein,Synpcc7942_1385,Q31NF4,-0.09145659,-0.10919372,0.22633502,-0.01452871,-0.12158885,-0.05360293,-0.29932846,-0.15712683,0.34217954,0.12300361,-0.14232836,-0.04758216,0.90314302,0.0056,3,FALSE,-,-,-,-,-,-,-
syc0173-m_at,soluble inorganic pyrophosphatase,Synpcc7942_1383,Q31NF6,0.05745628,-0.57740428,-0.19193858,0.04755176,0.292537,0.31043084,0.11825406,-0.61003815,-0.31168088,-0.05446531,0.22772359,0.31783754,0.98181077,0.0000,2,FALSE,-,-,-,-,-,-,-
syc0177-h_at,high affinity sulfate transporter,Synpcc7942_1380,Q54756,0.01957814,0.06498026,0.28005093,-0.02349993,-0.09167353,-0.25540242,-0.09558149,0.07057929,0.27034617,-0.10166173,-0.29542873,-0.18409233,0.87195342,0.0119,1,FALSE,-,-,-,-,-,-,-
