UniProt.ID	protein_LD6.5	protein_LD9.5	protein_LD11.5	protein_LD12.5	protein_LD14.5	protein_LD17.5	protein_LD21.5	protein_LD23.5	protein_LD24.5	protein_LD26.5	protein_LD30.5	protein_LD33.5	protein_LD35.5	protein_LD36.5	protein_LD38.5	protein_LD41.5	protein_LD45.5	protein_LD47.5	protein_LD48.5	protein_LD50.5	protein_mean.level	protein_max.level	protein_rhythm.pvalue	Ensemble.Genome.ID	Ensembl.Genome.Protein.ID	Transcript.ID	protein.length	aa.synthesis.average.cost_Akashi	aa.synthesis.average.cost_Wagner
O34126	0.866961876	1.033237119	1.005773063	1.015313124	0.94667302	0.837143674	0.832146901	0.778215721	0.791042833	0.936698878	1.059985685	1.139724804	0.952796164	1.185495746	1.022115561	0.797443642	0.935405674	0.788860118	1.032048246	1.277320846	0.96172013475	1.277320846	0.0602774535784745	Synpcc7942_2526	ABB58556	NA	449	22.41	24.2
O34209	1.025888119	1.031810635	0.985144643	0.969616506	1.111475771	0.96094825	1.031335578	1.052446432	0.978813611	0.786321227	0.921509889	1.051719679	0.944713236	1.029674601	0.991744955	1.150005719	1.002536054	1.015546936	1.057547785	0.9132717	1.0006035663	1.150005719	0.131945718047818	Synpcc7942_0637	ABB56669	NA	895	21.71	23.24
O50208	1.050993427	0.93454453	0.97229936	0.99655208	1.126159747	0.939506956	1.027542988	1.057060878	0.987870462	0.697428997	0.846447448	1.009020524	1.016248693	1.055601503	1.110964035	1.211713649	1.077953433	1.040159644	1.058034916	0.890635496	1.0053369383	1.211713649	0.000128575850982187	Synpcc7942_2159	ABB58189	NA	310	24.48	25.95
O50209	0.868160456	0.94667302	0.972747224	0.861192026	1.147624999	1.072506666	1.028963572	1.00716355	0.99884937	1.230268771	1.029437537	0.863376056	0.799650108	0.743875063	0.797076491	1.006004677	1.166809617	1.236516739	1.182224622	1.28913975	1.0124130157	1.28913975	0.0443225973298309	NA	NA	NA	169	21.78	24.17
O68523	1.063653075	1.083178422	1.067578945	0.951480736	1.193438379	1.096983259	1.026124365	0.891661469	1.015079367	1.220112847	0.93648322	0.969616506	0.793779722	0.927256743	0.98107001	0.918755602	0.899911911	1.066841742	1.091440336	1.155846068	1.0175146362	1.220112847	0.510664854379097	Synpcc7942_2305	ABB58335	NA	228	23.18	25.23
O85785	0.925124111	0.962498364	0.994031163	0.873574604	1.121243659	1.031098132	1.058034916	1.034903844	1.040399177	1.266776505	1.048817681	0.930893505	0.892894196	0.813017699	0.8830799	1.089933497	1.20503594	1.181408252	1.177063791	1.16815373	1.0348991333	1.266776505	0.0341039710212632	Synpcc7942_2378	ABB58408	NA	393	20.51	22.6
P04996	1.408639946	0.984917831	1.05535847	1.227156635	0.574513185	1.125122993	0.989008445	0.99884937	0.980166827	0.786864587	0.683439381	1.098499845	1.138413402	1.085425449	1.512516078	1.609162859	0.902194136	0.959400632	0.930036515	0.765420342	1.0407553464	1.609162859	9.41827626244194e-07	NA	NA	NA	360	25.37	28.14
P06539	0.979715547	1.017888013	0.99655208	0.918121167	0.995176243	1.078449963	1.053416217	1.056330939	0.980392545	1.096730699	1.005541502	0.934759742	0.864370626	0.906775965	0.971180603	1.057791322	1.033475059	1.090184492	1.125900469	1.123052348	1.01429027705	1.125900469	0.0603368309739262	Synpcc7942_1047	ABB57077	NA	173	21.09	23.92
P0A2Z8	0.917909786	0.944060876	1.031098132	0.921085615	1.079940927	1.027069896	1.038245363	0.989691864	1.06708742	1.280265375	1.065368864	0.882673321	0.813954259	0.764363605	0.816018491	0.951699848	1.158510569	1.19894704	1.237941152	1.323122333	1.0254527368	1.323122333	0.0249637369570975	NA	NA	NA	137	21.13	23.05
P0A3D2	1.141037716	1.27262368	1.226591639	1.210319415	0.05869485	1.16573544	1.063408188	0.586003217	1.176792793	1.327700137	0.968500836	0.801862678	0.594976757	0.593608348	0.595799316	1.656532649	1.426264261	1.641723444	1.298673564	1.290624782	1.0548736855	1.656532649	0.324024016729427	NA	NA	NA	99	20.93	23.86
P0A3F4	0.871364776	0.990831945	1.002074475	0.895983475	1.086926056	1.036334604	1.0167168	0.990603824	1.107898565	1.251411092	1.012744749	0.920025787	0.852511017	0.837143674	0.933039436	1.036096007	1.197016123	1.257766432	1.190693547	1.177877159	1.03325297715	1.257766432	0.0242944958986642	Synpcc7942_0321	ABB56353	NA	112	22.67	25.06
P0A4H0	1.022821857	0.895570955	0.980618314	0.972075506	0.841588902	1.08742672	1.113268703	1.098752813	1.058034916	0.751103871	0.709904616	0.97701223	0.920661538	1.013211242	1.201987635	1.248245474	0.965161523	0.928324901	1.018591388	0.862382629	0.98333728665	1.248245474	0.0089165815271134	NA	NA	NA	439	23.35	26.58
P10340	0.861588711	0.962276766	1.038006325	0.972971233	1.138675562	0.977237221	0.938858192	0.862382629	0.985144643	1.159311116	1.349895035	0.810774349	0.819785061	0.780548691	0.867361218	0.996322642	1.107388477	1.21338885	1.133704838	1.19371321	1.00846673845	1.349895035	0.289515168304733	Synpcc7942_1541	ABB57571	syc0001-h_at	170	22.96	25.94
P11004	1.021880237	0.95191901	0.934114256	1.052204125	1.098246935	1.023764345	1.108153698	1.095216555	0.999309463	0.740457267	0.765420342	1.089180858	0.982652583	1.065859597	1.331067256	1.363326888	1	0.914955559	1.000230285	0.934329368	1.02361443135	1.363326888	0.00776241247033911	NA	NA	NA	461	25	27.88
P11005	1.038245363	0.97588805	0.904690438	1.08292904	1.275851122	1.010648184	1.062429204	1.045442136	0.991744955	0.783971004	0.707782793	1.084675923	1.00855596	1.09774129	1.385160186	1.368989131	0.914113241	0.857630071	0.955652499	0.79652608	1.0174333335	1.385160186	0.00333250464038194	NA	NA	NA	352	26.22	29.09
P11472	0.972971233	0.956753369	0.934759742	1.051235455	1.228853187	1.015546936	1.095973366	1.048093433	1.002074475	0.761552766	0.773927003	1.049784123	0.889201118	1.074236736	1.174356619	1.232820933	1.051477539	0.888996395	1.096225752	0.94863687	1.0123738525	1.232820933	0.00415830837426139	NA	NA	NA	277	21.64	24.53
P12243	0.890635496	1.009252886	1.047852129	0.912641052	1.16385801	1.044720219	1.051961874	0.971627952	1.062184599	1.208648452	0.978813611	0.87821328	0.781627805	0.804822298	0.837336456	0.994947122	1.240223625	1.245374589	1.197291778	1.195914138	1.02589736855	1.245374589	0.0302369365996173	NA	NA	NA	107	22.64	25.09
P13530	0.94667302	1.050993427	1.002536054	0.955652499	1.017419366	1.086425624	1.055115493	1.062673865	0.977237221	1.064143018	0.962941713	0.991060119	0.90740256	0.93799387	1.029437537	1.123828393	1.059009851	1.108919448	1.09774129	1.088178147	1.02626912575	1.123828393	0.0377146039324249	Synpcc7942_1048	ABB57078	NA	163	21.92	25.17
P14788	0.658263842	1.192065173	1.093956366	1.066841742	0.881454704	1.098246935	1.119953522	1.14051237	1.103316213	1.003459849	0.869961433	0.932609854	0.865565624	0.869360693	1.025415788	1.233104833	1.029437537	1.091691679	1.057060878	1.142352141	1.0237315588	1.233104833	0.0577696439145012	Synpcc7942_1680	ABB57710	NA	344	22.98	24.7
P16891	1.032523631	1.034427363	0.998619403	0.947981801	1.134227049	1.054629706	1.086175494	1.059985685	0.997700064	0.970286525	0.998619403	0.987870462	0.920025787	0.976562402	0.972075506	1.052688794	1.034427363	1.019999597	1.106878623	1.124087193	1.02548959255	1.134227049	0.188942463378315	Synpcc7942_1086	ABB57116	syc0468-h_at	354	23.38	25.36
P16954	1.08517555	1.014378417	0.999539589	1.015079367	1.109174815	1.097235878	1.089682559	1.139200062	1.013911386	0.795609573	0.941239187	0.981521913	0.860795524	0.921722099	0.963829024	1.205313442	1.15425031	1.136056681	1.111475771	1.044960803	1.0340075975	1.205313442	0.0368310222382297	Synpcc7942_1085	ABB57115	syc0469-h_at	774	25.66	27.48
P18655	0.932395138	0.962720013	1.038484455	0.932395138	1.111731727	1.041118108	1.054386896	0.995863924	1.045442136	1.304067285	0.980166827	0.854869849	0.800386952	0.808723383	0.918332596	0.952796164	1.167347076	1.183041556	1.168960941	1.302566786	1.0277898475	1.304067285	0.0399019023182415	NA	NA	NA	201	24.15	27.05
P21577	1.122793785	1	0.990603824	0.975214163	1.036334604	1.07969229	1.139200062	1.194263062	1.044239219	0.795060175	0.946455066	1.060229783	0.966941055	1.108919448	0.995405417	1.116349032	1.096983259	1.044239219	0.995405417	0.855066713	1.02816977965	1.194263062	0.0996241404942913	Synpcc7942_0039	ABB56071	syc1473-h_at	471	22.61	25.13
P22879	0.875386813	0.902609707	0.962276766	0.890430444	1.04761088	1.028489826	1.037767343	1.121501865	1.131878994	1.276438809	0.810774349	0.883893622	0.814516713	0.936052053	0.940372673	1.156378478	1.239938086	1.182224622	1.265610298	1.292706701	1.0398429521	1.292706701	0.0242523778063252	Synpcc7942_2313	ABB58343	NA	544	21.08	23.47
P22880	0.821674861	0.932395138	0.954992586	0.87821328	1.139987266	0.990375755	1.062184599	0.974989638	1.131618399	1.307073471	0.952357486	0.812082216	0.762605617	0.823379405	0.794328235	0.956312869	1.314014023	1.29807564	1.384522443	1.372144977	1.0331663952	1.384522443	0.0236388954003233	Synpcc7942_2314	ABB58344	NA	103	20.87	23.87
P25935	0.868160456	1.041357862	1.022350939	0.93282462	1.153453258	0.989236199	0.944713236	0.850746165	1.031335578	1.107388477	0.993802306	0.888996395	0.800386952	0.803711162	0.811708325	1.009485302	1.228287409	1.280265375	1.226026903	1.146568484	1.00654027015	1.280265375	0.116485621388838	NA	NA	NA	111	21.08	23.97
P26294	0.935836544	0.985144643	0.978137704	0.900948569	1.036811964	0.946891025	1.031573079	1.050509538	0.965161523	1.266193268	1.084426196	0.925976575	1.320383231	1.01227847	0.793414257	0.944930789	1.010182871	0.890225438	0.905107159	1.077953433	1.0031043138	1.320383231	0.311318479520051	Synpcc7942_1983	ABB58013	NA	474	23.82	26.1
P27134	1.013211242	1.029437537	0.975663369	0.877000821	1.120727426	1.127457033	1.1956388	1.061206741	1.00855596	1.089682559	0.935190314	1.088679387	0.997700064	0.923421538	0.988325498	1.208926785	1.017653663	1.084925707	0.96738645	0.906567196	1.0308679045	1.208926785	0.0541884216842311	Synpcc7942_1447	ABB57477	syc0110-h_at	272	23.02	24.82
P27366	0.889610704	0.966941055	0.922146665	1.047369686	1.177877159	1.01227847	1.046164551	1.025651926	0.995634644	0.805378441	0.644169266	1.064633187	0.789768849	1.003922066	1.20364939	1.24566138	1.036811964	0.987188301	1.146832521	1.073742146	1.00427161855	1.24566138	0.000797497518098059	NA	NA	NA	350	22.5	24.78
P27477	0.969616506	1.054629706	1.171925489	1.295090149	1.175168116	0.964050979	0.854673031	0.842558375	0.880035112	1.104587184	0.929608316	1.011113712	0.969839794	1.020939484	1.031810635	0.984464364	0.988780744	0.916642522	0.905941178	1.138413402	1.0104944399	1.295090149	0.150864526791559	Synpcc7942_1689	ABB57719	NA	320	23.14	25.62
P29283	0.964050979	1.017653663	1.065859597	1.050751455	0.979039017	1.14709662	1.093200949	1.153453258	1.041118108	0.870362157	0.998619403	0.97543874	0.733837667	0.998619403	0.945148392	1.372777018	1.211992689	1.1012857	1.222081022	1.066841742	1.05046137895	1.372777018	0.0456574063823984	Synpcc7942_0127	ABB56159	NA	222	23.57	26.08
P29686	1.082679715	0.969170084	0.999309463	1.003690931	1.144721922	1.035857465	1.096478196	1.188228596	1.034189204	0.767538201	0.915377008	1.044239219	0.898048931	1.027542988	1.005773063	1.203372271	1.076961058	1.041597671	1.101032149	0.905941178	1.02708746565	1.203372271	0.031004761170896	NA	NA	NA	511	23.68	25.53
P29820	0.870763066	0.987188301	1.076217377	0.938858192	1.198119123	1.10713352	1.089180858	0.955212507	1.121243659	1.256319209	1.059253725	0.904482149	0.783249272	0.773748821	0.794877127	1.044239219	1.325256674	1.310991875	1.352383925	1.35675053	1.06527345645	1.35675053	0.03505371291784	Synpcc7942_1431	ABB57461	syc0125-h_at	145	22.58	24.53
P30008	0.991973339	1.003922066	1.011113712	1.088679387	0.995863924	1.11866487	1.142089135	1.16091387	1.063408188	0.817523038	0.726440419	0.877606841	0.825277491	0.931107875	0.931322296	1.084925707	0.903233424	0.920661538	0.992430265	0.939074397	0.9763115891	1.16091387	0.0314747557108421	NA	NA	NA	624	23.29	25.22
P30331	0.783971004	0.965828463	1.07176606	1.088930093	1.126419085	0.951699848	0.896602613	0.722936247	0.920449572	1.090937825	1.148682488	0.91748717	0.850550296	0.782528205	0.803711162	0.9525768	1.026360666	1.111219874	1.096478196	1.136579975	0.9722857821	1.148682488	0.612828636575363	NA	NA	NA	56	21.15	23.3
P31094	1.027779616	0.969839794	0.913482012	1.065859597	1.203372271	1.038484455	1.115578151	1.111219874	1.007859514	0.751622894	0.729625493	0.992201776	0.924485279	1.064633187	1.269989119	1.243368899	0.973195294	0.918755602	1.062673865	0.944930789	1.01644787405	1.269989119	0.00320983382532437	NA	NA	NA	508	25.14	27.72
P31160	1.155579955	1.178419716	1.125900469	1.170307532	0.423935709	1.150270548	1.107643492	1.167615899	1.137365368	0.827942164	0.861390346	0.92789749	0.835795445	0.902817565	0.925763385	1.222643941	1.08742672	1.172195366	1.210876916	1.055115493	1.03234517595	1.222643941	0.264325582975954	Synpcc7942_2215	ABB58245	NA	147	21.35	23.67
P32084	0.957194071	0.966050879	1.097488555	0.93799387	1.023528641	1.040878409	1.027542988	0.963163464	1.041597671	1.208091977	0.98107001	0.842170452	0.774996962	0.74576157	0.884504405	1.080438372	1.21310949	1.174897555	1.153984565	1.252275835	1.01833698705	1.252275835	0.038012936636702	NA	NA	NA	114	23.16	25.09
P33171	0.912010839	0.925976575	0.999309463	0.875991718	1.086425624	1.074484117	1.084426196	1.083926914	1.055601503	1.234525315	0.94080583	0.911171233	0.810027942	0.848203382	0.88838251	1.095468767	1.174897555	1.171385921	1.19894704	1.27203775	1.0322003097	1.27203775	0.0210888186997093	NA	NA	NA	409	22.22	24.28
P34185	0.900533763	0.970733461	0.937130343	0.98333161	1.142878335	1.069054879	1.067333154	1.117377701	1.047128548	0.805563908	0.817899608	0.975214163	0.924911118	1.020469432	1.082430448	1.190967746	0.949948366	1.01227847	1.050509538	0.930464911	0.9998079751	1.190967746	0.00551850571336081	Synpcc7942_1416	ABB57446	NA	883	22.32	24.04
P35086	1.46791193	1.30136763	1.317043138	1.399587323	0.396095583	0.890635496	0.790314591	0.661454537	0.877808941	1.234809608	1.305870166	0.838494079	0.74713658	0.753182117	0.693425806	0.770548537	1.074484117	1.044239219	1.195914138	1.683836813	1.02220801745	1.683836813	0.0236466339698818	NA	NA	NA	134	22.35	24.11
P35088	0.814891898	1.004847138	0.929180314	0.843140595	1.210598134	1.069547311	1.086675811	1.024707701	1.019060575	1.071025966	0.850354472	0.962055219	0.859409203	0.909913273	1.034189204	1.225462426	1.185222807	1.155579955	1.10357029	1.132400363	1.02459163275	1.225462426	0.00333737936520114	NA	NA	NA	191	21.38	23.76
P38023	0.844306242	1.024235914	0.986052413	0.902609707	0.984011106	0.946891025	0.985825392	1.002536054	1.059009851	1.167615899	0.788678497	0.957634977	1.009020524	1.021644967	0.923421538	1.026597022	0.881251765	0.851530092	0.999769768	1.313409037	0.9838025895	1.313409037	0.884716013160834	NA	NA	NA	399	22.53	24.23
P38043	0.794877127	2.579288964	1.780737892	1.109174815	0.477089655	1.334135683	0.902401898	0.733162089	0.67982949	0.547141932	0.751449846	1.019529978	0.983558056	1	1.16091387	1.206424088	0.944713236	0.962941713	0.938858192	0.921722099	1.04139753115	2.579288964	0.0194871669646005	Synpcc7942_1239	ABB57269	NA	443	23.11	25.76
P38045	1.14182619	1.039680743	0.97678729	0.97701223	1.123052348	0.853689618	0.989464005	1.091943079	0.827751545	0.717133483	0.882673321	1.131097389	0.979941161	1.119180153	1.070286383	1.182769182	0.985598423	1.004847138	0.954333128	0.949948366	0.99995075875	1.182769182	0.258917822486773	Synpcc7942_1237	ABB57267	NA	659	22.64	24.65
P39458	0.895570955	0.975663369	1.221518363	1.322208668	1.254584738	1.158777356	1.269112144	1.307073471	1.011346556	1.03086074	0.821296553	0.981295935	0.823569017	1.040159644	1.04592369	1.153187696	0.912430933	0.998159627	1.039202062	0.867560959	1.0564751238	1.322208668	0.0368709960174638	Synpcc7942_1235	ABB57265	NA	729	23.21	25.09
P39660	0.401883337	1.096983259	1.209483645	1.33505759	0.353264503	1.126678482	1.07969229	1.120727426	1.136841712	0.935836544	0.909703781	1.106623784	1.016950935	0.91075172	1.167884783	1.161716078	1.094712306	0.976112782	1.035142167	0.973867785	1.00749574545	1.33505759	0.0446509293544321	Synpcc7942_1488	ABB57518	NA	450	23.33	25.88
P39661	0.962941713	0.961612278	1.142352141	1.109941271	1.03086074	1.018825954	1.017888013	1.066105049	0.993802306	0.979264475	0.935190314	1.040159644	0.873172401	0.957194071	0.9525768	1.038962805	1.048093433	1.114807803	1.06708742	1.127976366	1.02194074985	1.142352141	0.365220676056006	Synpcc7942_1240	ABB57270	NA	512	22.82	24.75
P39663	1.005773063	0.991516624	1.002766923	0.907611521	1.178691088	1.11249995	1.068562675	1.006931669	0.964050979	1.193438379	0.99884937	0.958076086	0.938642037	0.902194136	0.880035112	0.980618314	1.081184971	1.009950294	1.058522271	1.32953569	1.0284725576	1.32953569	0.28631174156795	NA	NA	NA	257	22.99	25.08
P39665	1.127457033	1.137365368	1.026597022	1.259215323	1.06194005	0.93648322	0.87096359	0.851138038	0.92939429	0.872167702	1.066105049	0.979264475	0.852511017	0.953893743	0.966050879	1.010648184	1.036334604	1.022115561	1.051961874	1.031810635	1.00217088285	1.259215323	0.328248853745565	NA	NA	NA	337	22.28	25.14
P42079	1.052688794	1.003228821	1.017419366	1.051719679	1.181952436	1.056817509	1.124346054	1.125122993	1.06071815	0.764891791	0.920025787	1.011113712	0.894128628	1.011113712	1.015546936	1.190693547	0.980618314	1.050509538	1.105859619	0.991744955	1.03051301705	1.190693547	0.0339062327197742	Synpcc7942_1523	ABB57553	NA	624	23.44	25.13
P42451	1.050267677	1.002536054	1.016248693	0.923634188	1.125900469	1.045201441	1.124087193	1.120727426	0.999309463	0.980166827	1.224616199	1.133704838	0.86836038	1.024000102	1.181680313	1.043518133	1.226026903	1.210319415	1.072012872	1.210876916	1.0791597751	1.226026903	0.357500023161735	Synpcc7942_0271	ABB56303	NA	243	22.72	24.67
P42452	0.922996385	0.970957007	1.009020524	0.810401059	1.17543874	1.056574196	1.098752813	1.041597671	0.998159627	1.214227319	1.000921458	0.883486667	0.789405231	0.761202139	0.784332119	0.991744955	1.187134701	1.183041556	1.126419085	1.288546216	1.0147179734	1.288546216	0.0299945505066055	Synpcc7942_0272	ABB56304	syc1253-h_at	264	21.62	23.38
P42460	0.985598423	1.009252886	0.953893743	0.946891025	1.16573544	1.080936047	1.135272192	1.151860804	1.06708742	1.057304304	1.006931669	1.039680743	0.920873552	1.023057397	0.946019307	1.102808234	1.037767343	1.040399177	1.027779616	0.917909786	1.0308529554	1.16573544	0.0801654885752491	NA	NA	NA	403	22.45	24.14
P43087	1.090184492	0.998159627	0.960284679	0.991060119	1.173545682	1.032761406	1.087927613	1.08742672	0.949729657	0.818276351	0.854673031	0.961169542	0.886543398	0.974316371	1.076465214	1.224616199	1.054872571	1.065123582	1.083677359	1.055115493	1.0212964553	1.224616199	0.00672040378471473	Synpcc7942_1792	ABB57822	NA	326	22.72	25.09
P46204	1.374358396	1.375941596	1.085925421	1.043998801	1.57108615	1.319775312	1.351450054	1.134227049	1.118149825	1.231685986	0.650728758	1.086425624	1.011579454	0.83425727	0.899911911	1.223488805	1.648541939	1.283216691	1.315224832	1.468249968	1.2014111921	1.648541939	0.251651769452558	NA	NA	NA	161	20.6	22.58
P46205	0.971180603	0.997700064	0.984691071	0.939506956	0.542625251	0.993573501	0.984237709	0.944713236	0.973195294	1.022350939	0.917698454	0.99655208	0.931536765	1.048093433	1.073247783	1.076465214	1.010880921	1.011346556	1.042557459	1.13005609	0.97961046895	1.13005609	0.523704726231425	Synpcc7942_1425	ABB57455	NA	276	20.89	22.72
P50020	1.049059208	1.007859514	1.013911386	0.996093257	1.156112242	1.006236345	1.073000687	1.100018528	0.979489985	0.884911828	0.938209876	1.065123582	0.956533093	1.065123582	1.070532854	1.201987635	0.991516624	1.031335578	0.991744955	0.986279486	1.02825401225	1.201987635	0.0133818964058389	Synpcc7942_2073	ABB58103	NA	655	21.19	23.35
P50021	1.01648272	0.966495864	0.95873813	0.991516624	1.124863954	1.041837535	1.114807803	1.150800389	1.033713052	0.859607112	0.925124111	0.970733461	0.837915067	1.006699841	1.001382506	1.098752813	1.097488555	1.056574196	1.173545682	1.051961874	1.02395206445	1.173545682	0.0312572774576808	Synpcc7942_2468	ABB58498	NA	634	20.78	23.25
P50022	0.995634644	0.95345456	0.934759742	0.942540456	1.150005719	1.027306415	1.08517555	1.138675562	0.946455066	0.762254505	1.003922066	0.987188301	0.900741142	0.95411341	1.0167168	1.103062194	1.048817681	1.064878356	1.088930093	1.029674601	1.00671534315	1.150005719	0.0756505473724872	Synpcc7942_2580	ABB58610	NA	749	21.93	23.35
P50026	1.100525221	1.034665576	1.060473938	1.031098132	1.012744749	1.01344457	1.05535847	1.086675811	1.015546936	0.970957007	0.832721926	0.877404788	0.922359022	1.00716355	1.072506666	0.707945784	0.951042664	0.654937715	0.963829024	1.129015749	0.9750208649	1.129015749	0.919063837861081	Synpcc7942_2579	ABB58609	NA	287	21.53	23.07
P50590	0.933254301	0.999539589	1.028489826	0.89002048	1.112243817	1.030623403	1.00855596	1.01344457	1.015313124	1.204203818	1.015780801	0.924698174	0.823379405	0.854673031	0.866562717	1.007859514	1.164126029	1.215905996	1.140775013	1.247096327	1.02482729475	1.247096327	0.0342031548565901	Synpcc7942_2497	ABB58527	NA	149	23.71	25.57
P52023	0.828323533	0.911800865	0.890225438	0.793779722	1.133182868	1.100018528	1.137889264	1.08517555	1.038006325	1.210319415	0.899911911	0.863972661	0.853689618	0.790132635	0.844500673	1.070039969	1.096225752	1.125900469	1.105350469	1.184131679	0.9981288672	1.210319415	0.0295916721445274	Synpcc7942_0001	ABB56033	syc1510-h_at	375	21.07	23.35
P53533	1.054386896	0.96738645	0.967609225	0.991744955	1.025179705	1.034903844	1.119695673	1.183586492	1.074731554	0.889815568	0.92939429	0.945148392	0.801493491	0.89495253	0.955872572	1.174356619	1.13057662	1.14051237	1.179777203	1.075474209	1.0268299329	1.183586492	0.0209324986949271	Synpcc7942_1089	ABB57119	NA	874	22.47	24.36
P54208	0.781807802	0.83907349	0.838108027	0.989464005	1.167347076	1.089180858	1.217306665	1.468588084	1.040159644	0.994260074	0.522275917	1.122018454	1.206146331	1.41807761	1.157444032	1.406371316	1.091943079	1.119953522	0.862779862	0.729793515	1.05310496815	1.468588084	0.00333385002820938	Synpcc7942_1420	ABB57450	syc0136-h_at	466	23.2	25.14
P54415	0.857037845	0.936052053	0.893099816	0.783971004	1.059253725	1.067578945	1.066350557	1.039680743	1.034427363	1.299870237	0.961612278	0.920873552	0.817334818	0.834833754	0.858420341	0.967609225	1.067578945	1.10153931	1.096478196	1.283216691	0.9973409699	1.299870237	0.0839153018785103	Synpcc7942_1554	ABB57584	NA	197	22.45	24.7
P55020	0.882876587	0.987415636	1.038245363	0.922783882	1.081184971	1.042077455	0.983784555	0.932609854	1.12176013	1.244801205	0.951480736	0.879629934	0.811521443	0.79250133	0.838687171	1.041597671	1.318560313	1.265901749	1.23737119	1.186861385	1.028082628	1.318560313	0.0306934614114269	NA	NA	NA	125	22.78	25.22
