Transcript.Accession	Protein.Name	Gene.Name	Accession
syc0376-m_at	cytochrome b559 beta chain	Synpcc7942_1176	Q8KPP2
syc0377-m_at	photosystem II PsbL protein	Synpcc7942_1175	Q8KPP1
syc0386-h_at	hypothetical protein	Synpcc7942_1166	Q31P23
syc0388-h_at	Uncharacterized protein	Synpcc7942_1164	Q31P25
syc0391-h_at	hypothetical protein	Synpcc7942_1161	Q31P28
syc0392-h_at	hypothetical protein	Synpcc7942_1160	Q31P29
syc0394-m_at	hypothetical protein	Synpcc7942_1158	Q31P31
syc0395-h_at	hypothetical protein	Synpcc7942_1157	Q31P32
syc0396-h_at	hypothetical protein	Synpcc7942_1156	Q31P33
syc0399-m_at	hypothetical protein	Synpcc7942_1153	Q31P36
syc0402-m_at	hypothetical protein	Synpcc7942_1150	Q31P39
syc0403-m_at	dTDP-glucose 46-dehydratase	Synpcc7942_1149	Q31P40
syc0404-h_at	hypothetical protein	Synpcc7942_1148	Q31P41
syc0408-h_at	hypothetical protein	Synpcc7942_1144	Q31P45
syc0410-h_at	methionyl-tRNA synthetase	Synpcc7942_1142	Q31P47
syc0411-m_at	hypothetical protein	Synpcc7942_1141	Q31P48
syc0416-m_at	hypothetical protein (ycf23)	Synpcc7942_1137	Q31P52
syc0417-h_at	aminopeptidase	Synpcc7942_1136	Q31P53
syc0418-m_at	predicted cation transporter	Synpcc7942_1135	Q31P54
syc0421-h_at	ferredoxin-thioredoxin reductase variable subunit	Synpcc7942_1131	Q31P58
syc0423-h_at	hypothetical protein	Synpcc7942_1130	Q31P59
syc0428-h_at	two-component sensor histidine kinase	Synpcc7942_1125	Q31P64
syc0429-h_at	ribonuclease II	Synpcc7942_1124	Q31P65
syc0430-h_at	30S ribosomal protein S18	Synpcc7942_1123	Q31P66
syc0432-m_at	serine/threonine kinase	Synpcc7942_1121	Q31P68
syc0436-h_at	hypothetical protein	Synpcc7942_1117	Q31P72
syc0437-h_at	phosphoglycerate kinase	Synpcc7942_1116	Q31P73
syc0438-m_at	hypothetical protein	Synpcc7942_1115	Q31P74
syc0440-m_at	hypothetical protein	Synpcc7942_1113	Q31P76
syc0441-m_at	ribosomal large subunit pseudouridine synthase D	Synpcc7942_1112	Q31P77
syc0443-h_at	two-component response regulator, CheY subfamily	Synpcc7942_1110	Q31P79
syc0445-h_at	DNA binding protein HU	Synpcc7942_1108	Q31P81
syc0448-m_at	ATP-binding protein involved in chromosome partitioning	Synpcc7942_1105	Q31P84
syc0449-m_at	cell division protein FtsW	Synpcc7942_1104	Q31P85
syc0451-h_at	hypothetical protein	Synpcc7942_1102	Q31P87
syc0454-m_at	ubiquinone/menaquinone biosynthesis methyltransferase	Synpcc7942_1099	Q31P90
syc0457-m_at	thiamine biosynthesis protein ThiC	Synpcc7942_1096	Q31P93
syc0458-h_at	hypothetical protein	Synpcc7942_1095	Q31P94
syc0463-m_at	hypothetical protein	Synpcc7942_1090	Q31P99
syc0466-h_at	plastocyanin	Synpcc7942_1088	P55020
syc0467-h_at	hypothetical protein	Synpcc7942_1087	Q31PA2
syc0468-h_at	uroporphyrinogen decarboxylase	Synpcc7942_1086	P16891
syc0469-h_at	14-alpha-glucan branching enzyme	Synpcc7942_1085	P16954
syc0474-h_at	V-type sodium ATP synthase subunit J homolog	Synpcc7942_1080	Q31PA9
syc0476-h_at	hypothetical protein	Synpcc7942_1078	Q31PB1
syc0482-h_at	hypothetical protein	Synpcc7942_1073	Q31PB6
syc0484-m_at	hypothetical protein	Synpcc7942_1071	Q31PB8
syc0487-h_at	pyruvate dehydrogenase E2 component	Synpcc7942_1068	Q31PC1
syc0488-h_at	Uncharacterized protein	Synpcc7942_1067	Q31PC2
syc0489-h_at	hypothetical protein	Synpcc7942_1065	Q31PC4
syc0490-h_at	type I restriction-modification	Synpcc7942_1064	Q31PC5
syc0491-h_at	hypothetical protein	Synpcc7942_1063	Q31PC6
syc0492-h_at	hypothetical protein	Synpcc7942_1062	Q31PC7
syc0495-h_at	hypothetical protein	Synpcc7942_1059	Q31PD0
syc0496-h_at	hypothetical protein (YCF40)	Synpcc7942_1058	Q31PD1
syc0498-h_at	hypothetical protein	Synpcc7942_1056	Q31PD3
syc0499-h_at	phycocyanin alpha subunit phycocyanobilin lyase, CpcF subunit	Synpcc7942_1055	Q44116
syc0510-m_at	hypothetical protein	Synpcc7942_1044	Q31PE5
syc0511-m_at	phytol kinase	Synpcc7942_1043	Q31PE6
syc0512-h_at	hypothetical protein	Synpcc7942_1042	Q31PE7
syc0513-h_at	hypothetical protein	Synpcc7942_1040	Q31PE9
syc0519-h_at	hypothetical protein	Synpcc7942_1034	Q31PF5
syc0520-h_at	hypothetical protein	Synpcc7942_1033	Q31PF6
syc0521-h_at	hypothetical protein	Synpcc7942_1032	Q31PF7
syc0522-h_at	histidinol-phosphate amidotransferase	Synpcc7942_1030	Q31PF9
syc0523-h_at	branched-chain amino acid aminotransferase	Synpcc7942_1029	Q31PG0
syc0526-m_at	similar to fibronectin binding protein	Synpcc7942_1026	Q31PG3
syc0533-h_at	4-alpha-glucanotransferase	Synpcc7942_1019	Q31PH0
syc0534-h_at	hypothetical protein	Synpcc7942_1018	Q31PH1
syc0536-m_at	purine-binding chemotaxis protein CheW	Synpcc7942_1016	Q31PH3
syc0543-m_at	phosphoribosylglycinamide formyltransferase	Synpcc7942_1008	Q31PI1
syc0545-h_at	hypothetical protein	Synpcc7942_1006	Q31PI3
syc0550-m_at	aspartate kinase	Synpcc7942_1001	Q31PI8
syc0561-m_at	hypothetical protein	Synpcc7942_0989	Q31PK0
syc0572-h_at	ferredoxin-NADP oxidoreductase	Synpcc7942_0978	Q31PL1
syc0577-h_at	hypothetical protein	Synpcc7942_0972	Q31PL7
syc0581-h_at	hydroxymethylbilane synthase  porphobilinogen deaminase	Synpcc7942_0967	Q31PM2
syc0584-h_at	Uncharacterized protein	Synpcc7942_0964	Q31PM5
syc0585-m_at	probable methyltransferase	Synpcc7942_0963	Q31PM6
syc0586-m_at	sun protein  tRNA and rRNA cytosine-C5-methylases	Synpcc7942_0962	Q31PM7
syc0587-h_at	Cell envelope-related transcriptional attenuator	Synpcc7942_0961	Q31PM8
syc0591-h_at	cob(I) alamin adenosyltransferase	Synpcc7942_0957	Q31PN2
syc0595-m_at	hypothetical protein	Synpcc7942_0953	Q31PN6
syc0596-m_at	Uncharacterized protein	Synpcc7942_0952	Q31PN7
syc0598-m_at	hypothetical protein	Synpcc7942_0950	Q31PN9
syc0599-m_at	permease protein of sugar ABC transporter	Synpcc7942_0949	Q31PP0
syc0600-m_at	permease protein of sugar ABC transporter	Synpcc7942_0948	Q31PP1
syc0601-m_at	glucosylglycerol transport system ATP-binding protein	Synpcc7942_0947	Q31PP2
syc0606-m_at	cell division protein FtsH	Synpcc7942_0942	Q31PP7
syc0607-m_at	ATP-binding protein of ABC transporter	Synpcc7942_0941	Q31PP8
syc0609-h_at	adenylylsulfate kinase	Synpcc7942_0939	Q31PQ0
syc0615-m_at	Nitrate reductase-related protein	Synpcc7942_0933	Q31PQ6
syc0618-h_at	(3R)-hydroxymyristol acyl carrier protein dehydrase	Synpcc7942_0930	Q31PQ9
syc0620-h_at	chloroplastic outer envelope membrane protein homolog	Synpcc7942_0928	Q31PR1
syc0622-h_at	hypothetical protein	Synpcc7942_0926	Q31PR3
syc0623-m_at	glycinamide ribonucleotide synthetase	Synpcc7942_0925	Q31PR4
syc0624-m_at	two-component system histidine kinase, multi-signal sensor	Synpcc7942_0924	Q8RQ68
syc0625-m_at	5'-methylthioadenosine phosphorylase	Synpcc7942_0923	Q31PR6
syc0628-m_at	photosystem I reaction center subunit X	Synpcc7942_0920	Q31PR9
syc0630-h_at	long-chain-fatty-acid CoA ligase	Synpcc7942_0918	Q31PS1
syc0631-m_at	hypothetical protein	Synpcc7942_0917	Q31PS2
syc0641-h_at	Uncharacterized protein	Synpcc7942_0907	Q31PT2
syc0645-h_at	putative hydrolase	Synpcc7942_0901	Q31PT8
syc0652-m_at	shikimate kinase	Synpcc7942_0894	Q31PU5
syc0655-h_at	hypothetical protein	Synpcc7942_0891	Q31PU8
syc0659-m_at	30S ribosomal protein S12	Synpcc7942_0887	P63200
syc0666-m_at	hypothetical protein	Synpcc7942_0880	Q31PV9
syc0667-h_at	ribonuclease HII	Synpcc7942_0879	Q31PW0
syc0668-h_at	ribonuclease E	Synpcc7942_0878	Q31PW1
syc0670-h_at	alanyl-tRNA synthetase	Synpcc7942_0876	Q31PW3
syc0681-h_at	hypothetical protein	Synpcc7942_0865	Q31PX4
syc0684-h_at	hypothetical protein	Synpcc7942_0862	Q31PX7
syc0685-m_at	hypothetical protein	Synpcc7942_0861	Q31PX8
syc0686-h_at	hypothetical protein	Synpcc7942_0860	Q31PX9
syc0687-h_at	two-component hybrid sensor and regulator	Synpcc7942_0859	Q31PY0
syc0688-h_at	methyl-accepting chemotaxis protein	Synpcc7942_0858	Q31PY1
syc0689-h_at	hypothetical protein	Synpcc7942_0857	Q31PY2
syc0690-h_at	two-component response regulator CheY subfamily	Synpcc7942_0856	Q31PY3
syc0691-h_at	two-component response regulator PatA subfamily	Synpcc7942_0855	Q31PY4
syc0693-h_at	LL-diaminopimelate aminotransferase	Synpcc7942_0853	Q31PY6
syc0695-h_at	phosphoribosyl formylglycinamidine cyclo-ligase	Synpcc7942_0851	Q31PY7
syc0696-m_at	hypothetical protein	Synpcc7942_0850	Q31PY8
syc0698-m_at	excinuclease ABC subunit A	Synpcc7942_0848	Q31PZ0
syc0699-m_at	twitching mobility protein	Synpcc7942_0847	Q31PZ1
syc0703-m_at	Uncharacterized protein	Synpcc7942_0843	Q31PZ5
syc0706-m_at	hypothetical protein	Synpcc7942_0840	Q31PZ8
syc0712-h_at	holliday junction DNA helicase RuvB	Synpcc7942_0835	Q31Q03
syc0713-h_at	hypothetical protein	Synpcc7942_0834	Q31Q04
syc0714-h_at	conserved hypothetical protein	Synpcc7942_0833	Q31Q05
syc0718-m_at	hypothetical protein	Synpcc7942_0828	Q31Q09
syc0720-h_at	hypothetical protein	Synpcc7942_0826	Q31Q11
syc0724-h_at	permease protein of oligopeptide ABC	Synpcc7942_0822	Q31Q15
syc0727-h_at	phosphoribosyl formylglycinamidine synthase	Synpcc7942_0819	Q31Q18
syc0728-h_at	hypothetical protein	Synpcc7942_0818	Q31Q19
syc0733-h_at	histidyl tRNA synthetase	Synpcc7942_0813	Q55267
syc0734-h_at	similar to DnaJ protein	Synpcc7942_0812	Q31Q25
syc0735-h_at	Na+/H+ antiporter	Synpcc7942_0811	Q31Q26
syc0744-h_at	superoxide dismutase	Synpcc7942_0801	P18655
syc0745-m_at	phycocyanobilin lyase	Synpcc7942_0800	Q31Q37
syc0748-h_at	hypothetical protein	Synpcc7942_0796	Q31Q41
syc0749-m_at	Uncharacterized protein	Synpcc7942_0795	Q31Q42
syc0750-m_at	similar to chloroplast membrane-associated 30 kD protein	Synpcc7942_0794	Q31Q43
syc0755-m_at	Uncharacterized protein	Synpcc7942_0789	Q31Q48
syc0756-m_at	glutathione S-transferase	Synpcc7942_0788	Q31Q49
syc0758-h_at	hypothetical protein	Synpcc7942_0786	Q31Q51
syc0760-h_at	Uncharacterized protein	Synpcc7942_0784	Q31Q53
syc0761-m_at	ATP phosphoribosyltransferase	Synpcc7942_0783	Q31Q54
syc0764-m_at	serine/threonine kinase	Synpcc7942_0780	Q31Q57
syc0766-m_at	FolD bifunctional protein	Synpcc7942_0777	Q31Q60
syc0767-m_at	geranylgeranyl diphosphate synthase	Synpcc7942_0776	Q31Q61
syc0770-m_at	hypothetical protein YCF52	Synpcc7942_0773	Q31Q64
syc0773-h_at	hypothetical protein	Synpcc7942_0770	Q31Q67
syc0774-h_at	hypothetical protein	Synpcc7942_0769	Q31Q68
syc0775-h_at	hypothetical protein	Synpcc7942_0768	Q31Q69
syc0780-m_at	Uncharacterized protein	Synpcc7942_0762	Q31Q75
syc0781-m_at	hypothetical protein	Synpcc7942_0761	Q31Q76
syc0785-h_at	Uncharacterized protein	Synpcc7942_0755	Q31Q82
syc0800-h_at	Uncharacterized protein	syc0793_c	Q5N3Y7
syc0810-h_at	Uncharacterized protein	Synpcc7942_0728	Q31QA9
syc0822-h_at	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	Synpcc7942_0715	Q31QC2
syc0823-m_at	N-acetylmuramoyl-L-alanine amidase	Synpcc7942_0714	Q31QC3
syc0824-m_at	hypothetical protein	Synpcc7942_0713	Q31QC4
syc0826-h_at	carbamoyl-phosphate synthase pyrimidine-specific large chain	Synpcc7942_0711	Q31QC6
syc0829-h_at	hypothetical protein, predicted unusual protein kinase	Synpcc7942_0708	Q31QC9
syc0831-m_at	precorrin decarbocylase	Synpcc7942_0706	Q31QD1
syc0832-h_at	hypothetical protein	Synpcc7942_0705	Q31QD2
syc0833-h_at	acetyltransferase	Synpcc7942_0704	Q31QD3
syc0834-h_at	hypothetical protein	Synpcc7942_0703	Q31QD4
syc0839-h_at	probable ferredoxin	Synpcc7942_0698	Q31QD9
syc0849-h_at	hypothetical protein	Synpcc7942_0687	Q31QF0
syc0850-h_at	hypothetical protein	Synpcc7942_0686	Q31QF1
syc0852-h_at	3-oxoacyl-[acyl-carrier protein] reductase	Synpcc7942_0684	Q31QF3
syc0856-h_at	similar to sterol C5-desaturase	Synpcc7942_0680	Q31QF7
syc0857-h_at	RRM-type RNA-binding protein	Synpcc7942_0679	Q31QF8
syc0858-h_at	probable ribonuclease D	Synpcc7942_0678	Q31QF9
syc0859-m_at	circadian period extender gene,  Transcription factor PadR family	Synpcc7942_0677	Q31QG0
syc0861-m_at	hypothetical protein	Synpcc7942_0675	Q31QG2
syc0862-h_at	coproporphyrinogen III oxidase	Synpcc7942_0674	Q31QG3
syc0864-h_at	group2 RNA polymerase sigma factor RpoD3	Synpcc7942_0672	Q31QG5
syc0867-h_at	N-methylpurine-DNA glycosirase	Synpcc7942_0669	Q31QG8
syc0868-h_at	hypothetical protein	Synpcc7942_0667	Q31QH0
syc0873-h_at	hypothetical protein	Synpcc7942_0662	Q31QH5
syc0876-m_at	hypothetical protein, carboxyl-terminal protease	Synpcc7942_0659	Q31QH8
syc0878-m_at	hypothetical protein	Synpcc7942_0658	Q31QH9
syc0879-m_at	hypothetical protein	Synpcc7942_0657	Q31QI0
syc0887-m_at	principal RNA polymerase sigma factor RpoD1	Synpcc7942_0649	P38023
syc0888-h_at	hypothetical protein	Synpcc7942_0647	Q31QJ0
syc0889-h_at	glutamate-1-semialdehyde aminomutase  (glutamate-1-semialdehyde aminotransferase)	Synpcc7942_0645	Q31QJ2
syc0890-h_at	two-component sensor kinase	Synpcc7942_0644	Q9KHI5
syc0894-h_at	enolase	Synpcc7942_0639	Q31QJ8
syc0895-m_at	lactoylglutathione lyase	Synpcc7942_0638	Q31QJ9
syc0899-m_at	50S ribosomal protein L11	Synpcc7942_0634	Q31QK3
