"Proteins identified in the 48h time-course experiment, using TMT 6-plex labeling: column headers show the Uniprot accession numbers of all proteins (Uniprot Accession); the names of the proteins as seen in Uniprot database (Protein name); the common gene names (gene names); gene names as seen in the Cyanobase (http://genome.microbedb.jp/cyanobase/) (Gene names (Synpcc7942 only); the number of spectrum to peptide matches of each protein for the whole 48h experiment (Total PSMs); the theoretical molecular weight (MW (kDa)); the abundance factor calculated by dividing the number of PSMs by the molecular weight (Abund factor); the relative abundance factor calculated by diving the abundance factor for the sum of all abundance factors (Rel abund); the total number of protein copies analyzed in one sample (Prot copy nrs), as calculated by multiplying the relative abundance factor for the amount of protein material used in the 48h experiment, dividing by the molecular weight and multiplying for the avogadro number; the number of protein copies analyzed in one cell, as calculated by dividing the protein copy numbers for the number of cells used in the 48h experiment (Prot copies/cell); the number of peptides per 12h experiment, one protein was identified with (Unique peptides); number of spectra per 12h experiment, one protein was identified with (Unique spectra); the percentage of which we were able to identify in a protein (Coverage(%)); the normalized protein ratio in a certain time-point X (X hours LD); the number of spectra used for the ratio calculation (Quant spectra); the variance between the ratios of the spectra used for quantification (Variance X hours LD); categorization of significant (TRUE) and non-significant (FALSE) proteins, as determined by the inter quartile range analysis (Significant); the cluster number corresponding to each significant protein (Cluster nr);categorization of cyclic (TRUE) and not-cyclic (FALSE) proteins, as determined by the Pearson correlation (Cyclic); the Pearson correlation value (Pearson); the p-value for the significance of the Pearson correlation (p-value); and the phase, light (L) or dark (D), at which the protein profile shows a maximum abundance (Peak phase).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* significant (p<0.05),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
** very significant (p<0.01),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uniprot Accession,Protein name,Gene name,Gene Name (Synpcc7942 only),Total PSMs,MW (kDa),Abund factor,Rel abund ,Prot copy nrs,Prot copies/cell,Unique Peptides,Unique Spectra,Coverage (%),6.5 hours LD,Quant spectra,Variance 6.5 hours LD,9.5 hours LD,Quant spectra,Variance 9.5 hours LD,11.5 hours LD,Quant spectra,Variance 11.5 hours LD,12.5 hours LD,Quant spectra,Variance 12.5 hours LD,14.5 hours LD,Quant spectra,Variance 14.5 hours LD,Unique Peptides,Unique Spectra,Coverage (%),17.5 hours LD,Quant spectra,Variance 17.5 hours LD,21.5 hours LD,Quant spectra,Variance 21.5 hours LD,23.5 hours LD,Quant spectra,Variance 23.5 hours LD,24.5 hours LD,Quant spectra,Variance 24.5 hours LD,26.5 hours LD,Quant spectra,Variance 26.5 hours LD,Unique Peptides,Unique Spectra,Coverage (%),30.5 hours LD,Quant spectra,Variance 30.5 hours LD,33.5 hours LD,Quant spectra,Variance 33.5 hours LD,35.5 hours LD,Quant spectra,Variance 35.5 hours LD,36.5 hours LD,Quant spectra,Variance 36.5 hours LD,38.5 hours LD,Quant spectra,Variance 38.5 hours LD,Unique Peptides,Unique Spectra,Coverage (%),41.5 hours LD,Quant spectra,Variance 41.5 hours LD,45.5 hours LD,Quant spectra,Variance 45.5 hours LD,47.5 hours LD,Quant spectra,Variance 47.5 hours LD,48.5 hours LD,Quant spectra,Variance 48.5 hours LD,50.5 hours LD,Quant spectra,Variance 50.5 hours LD,Significant,Cluster nr,Cyclic,Pearson,p-value,Peak phase
Q31RB8,Putative flavin-containing monoamine oxidase,Synpcc7942_0369,Synpcc7942_0369,393,52.6,0.007476331,0.00054266,5.9661E+12,1.1772E+03,17,136,34.5,0.402717034,109,0.0481,1.622930791,112,0.003,1.941779894,113,0.003,1.41807761,112,0.0022,0.510035024,110,0.0256,23,176,58.1,1.464198643,154,0.0018,0.771791516,154,0.0036,0.507341046,153,0.0067,0.558470195,153,0.0054,0.546764111,154,0.0055,7,43,11.2,0.944278279,33,0.0052,0.950604794,33,0.0008,0.85329657,33,0.0099,0.998389489,33,0.0035,0.94558375,33,0.0029,6,38,8.9,1.041837535,21,0.0103,0.991060119,21,0.0073,0.958517398,21,0.0091,0.912430933,21,0.0035,1.07969229,21,0.0035,TRUE,1,FALSE,-,-,-
Q31PR6,Methylthioadenosine phosphorylase,Synpcc7942_0923,Synpcc7942_0923,145,31.8,0.004560703,0.000331033,6.0173E+12,1.1873E+03,5,16,19.9,0.530640019,16,0.0118,1.090686657,16,0.0005,1.009020524,16,0.0023,1.161716078,16,0.001,0.913902783,16,0.0039,5,25,19.9,0.945366046,25,0.0009,0.944713236,25,0.0017,0.902817565,25,0.0036,0.922571427,25,0.0018,0.737734341,25,0.0032,8,52,37.5,1.020939484,25,0.0014,1.066841742,25,0.0016,0.953015579,25,0.0008,0.819973845,25,0.0028,1.087677138,25,0.0012,8,52,34,1.022821857,25,0.0037,0.872368549,25,0.0032,1.167347076,24,0.0018,1.047369686,25,0.0015,1.27908675,25,0.0015,TRUE,4,FALSE,-,-,-
Q31PE9,Putative uncharacterized protein,Synpcc7942_1040,Synpcc7942_1040,29,21.3,0.001359388,9.86694E-05,2.6730E+12,5.2744E+02,2,4,11.9,0.47217175,4,0.0153,0.78198784,4,0.0091,0.976112782,4,0.0075,0.884911828,4,0.0085,1.177605974,4,0.0071,4,6,27,1.099258924,6,0.0012,1.197843278,6,0.0054,1.125900469,6,0.0054,1.117892391,6,0.0026,1.032523631,6,0.001,3,7,18.4,1.282330583,6,0.1044,1.203372271,6,0.0064,0.802786388,3,0.1068,0.756484441,6,0.0454,0.93282462,6,0.0246,4,12,24.3,0.983784555,10,0.0245,1.312199899,10,0.0149,1.560989565,10,0.0178,1.107643492,10,0.0114,1.052688794,10,0.0114,TRUE,6,FALSE,-,-,-
Q31NS9,Putative uncharacterized protein,Synpcc7942_1260,Synpcc7942_1260,8,30.3,0.000263829,1.91497E-05,3.6498E+11,7.2017E+01,3,5,12.7,2.054944041,5,0.0173,1.557040826,5,0.006,1.461503972,5,0.0028,1.352383925,5,0.0028,0.993116048,5,0.0034,2,2,10.5,0.869961433,1,0.0085,0.688810883,1,0.0086,0.583848273,1,0.0088,0.699358729,1,0.009,1.22179966,1,0.0081,1,1,7.3,1.277614994,1,0.0238,1.300169578,1,0.023,1.031810635,1,0.0282,1.186861385,1,0.0237,0.634307724,1,0.0288,0,0,0,-,0,Inf,-,0,Inf,-,0,Inf,-,0,Inf,-,0,Inf,FALSE,-,-,-,-,-
Q31LA5,Cell wall hydrolase/autolysin,Synpcc7942_2134,Synpcc7942_2134,100,37.8,0.002643326,0.000191862,2.9309E+12,5.7834E+02,2,9,5.4,0.459832857,9,0.0073,0.583848273,9,0.0014,0.66389592,9,0.0018,0.779650569,9,0.0007,1.701374816,9,0.0049,11,53,37.8,1.153718881,44,0.0026,1.099512067,44,0.002,1.07225974,44,0.0019,1.16573544,44,0.0025,1.105095982,44,0.002,4,14,10.3,0.640766798,16,0.0007,0.676705958,16,0.001,0.674683361,16,0.0054,0.851530092,16,0.0011,0.915798652,16,0.0065,6,24,18.9,1.107388477,24,0.0031,1.297776782,24,0.0034,1.237086307,24,0.0024,1.2846949,24,0.0016,1.111987742,24,0.0016,TRUE,6,FALSE,-,-,-
Q31KD9,General secretion pathway protein D,Synpcc7942_2450,Synpcc7942_2450,11,80.3,0.000137055,9.94796E-06,7.1632E+10,1.4134E+01,4,5,5.8,2.147830474,4,0.0031,1.681512112,4,0.0057,1.618825363,4,0.0051,1.352383925,4,0.0047,0.646397994,4,0.0469,1,1,0.8,0.587083669,1,0.0152,0.426088684,1,0.0157,0.444938514,1,0.0156,0.467089387,1,0.0166,1.399265093,1,0.0133,2,3,2.2,1.801357865,1,0.008,1.220955962,1,0.0089,1.180592446,1,0.005,0.976562402,1,0.0134,0.94080583,1,0.0057,2,2,2.2,0.661911612,2,0.0167,0.587354094,2,0.0168,0.740457267,2,0.0156,0.724269172,2,0.0148,1.173815932,2,0.0148,TRUE,1,TRUE,.934**,0.000,L
P39660,Bicarbonate-binding protein CmpA,cmpA,Synpcc7942_1488,617,49.1,0.01257207,0.000912527,1.0746E+13,2.1204E+03,14,83,33.6,0.401883337,71,0.0158,1.096983259,77,0.0012,1.209483645,77,0.0005,1.33505759,77,0.0014,0.353264503,73,0.0204,25,320,69.1,1.126678482,262,0.0011,1.07969229,262,0.0014,1.120727426,262,0.0008,1.136841712,262,0.0011,0.935836544,262,0.0006,19,100,46.9,0.909703781,66,0.0027,1.106623784,65,0.0019,1.016950935,65,0.0037,0.91075172,65,0.0022,1.167884783,66,0.005,24,114,51.1,1.161716078,77,0.0041,1.094712306,77,0.0041,0.976112782,77,0.0036,1.035142167,76,0.0037,0.973867785,76,0.0037,TRUE,6,FALSE,-,-,-
Q6VYY4,Na+/H+ antiporter,NaH1,Synpcc7942_0546,18,77.9,0.000231023,1.67685E-05,1.2438E+11,2.4543E+01,3,4,3.2,0.836372992,2,0.0331,1.006931669,2,0.0088,1.045682885,2,0.0081,1.055115493,2,0.0087,1.291814039,2,0.0077,3,7,3.9,0.947763545,6,0.0035,1.057304304,6,0.0033,1.139987266,6,0.0032,1.066350557,6,0.0036,0.792683832,6,0.0036,3,3,4.1,1.196740531,2,0.067,1.368989131,2,0.0607,0.862978548,2,0.0911,1.284103412,2,0.0625,0.904898774,2,0.0718,3,4,4.1,1.172195366,3,0.0081,0.955872572,3,0.0166,0.90302547,3,0.0123,0.971851703,3,0.0104,0.851726187,3,0.0104,TRUE,4,FALSE,-,-,-
Q07948,ORF1,ORF1,Synpcc7942_2008,89,17.3,0.005154443,0.000374128,1.2522E+13,2.4709E+03,5,20,21.9,0.94754534,20,0.0051,1.139987266,20,0.0072,1.06071815,20,0.0043,0.906775965,20,0.0009,0.781447849,17,0.0145,3,31,21.9,1.095721037,31,0.0007,1.083178422,31,0.0017,0.945366046,31,0.0005,1.040638765,31,0.0005,1.277614994,31,0.0003,3,15,18.1,0.92939429,13,0.0208,0.793231587,13,0.003,0.779471068,12,0.0131,0.910542036,14,0.0013,0.867361218,12,0.0009,3,23,21.9,0.887360311,19,0.0178,1.075969597,20,0.0026,1.208926785,20,0.0108,1.316436757,20,0.0067,1.266776505,20,0.0067,TRUE,5,FALSE,-,-,-
O50208,ORF310 protein,ORF310,Synpcc7942_2159,43,35.4,0.001215477,8.82238E-05,1.4412E+12,2.8439E+02,3,4,8.7,1.050993427,4,0.0037,0.93454453,4,0.0036,0.97229936,4,0.0034,0.99655208,4,0.0035,1.126159747,4,0.0069,5,11,13.5,0.939506956,11,0.0012,1.027542988,11,0.001,1.057060878,11,0.0014,0.987870462,11,0.0006,0.697428997,11,0.0042,3,13,8.7,0.846447448,11,0.0023,1.009020524,11,0.0021,1.016248693,11,0.0008,1.055601503,11,0.0021,1.110964035,11,0.0006,4,15,14.2,1.211713649,15,0.0075,1.077953433,15,0.0007,1.040159644,15,0.0038,1.058034916,15,0.0009,0.890635496,15,0.0009,FALSE,-,-,-,-,-
Q935Z1,"Nucleotide binding protein, PINc",SEA0005,Synpcc7942_2521,86,49.3,0.001745595,0.000126702,1.4863E+12,2.9327E+02,6,13,17.2,0.926829823,12,0.0084,0.908657049,12,0.007,0.990147739,12,0.0011,0.92939429,12,0.0033,1.095721037,12,0.0021,9,28,25.1,1.068562675,24,0.0013,1.10713352,24,0.001,1.185222807,24,0.0008,1.11249995,24,0.0011,1.142878335,24,0.0016,6,20,24.4,1.003228821,11,0.0076,1.104332873,11,0.0215,0.942974611,9,0.0128,1.031098132,11,0.025,0.875588401,11,0.0097,7,25,23.5,1.04761088,14,0.0046,1.292706701,14,0.0089,1.204481129,14,0.0129,1.120469399,15,0.0176,1.039680743,14,0.0176,FALSE,-,-,-,-,-
Q935Y1,Putative uncharacterized protein SEA0015,SEA0015,Synpcc7942_2511,23,19.4,0.001186433,8.61156E-05,2.5672E+12,5.0657E+02,3,6,20.4,0.928966387,6,0.0193,1.178148406,6,0.0161,1.31038828,6,0.0133,1.173005369,6,0.0237,0.784332119,6,0.0389,4,6,28.1,1.011346556,6,0.0016,1.001151956,6,0.0021,0.956533093,6,0.0018,1.040399177,6,0.002,1.095721037,6,0.0024,5,6,28.7,1.073989412,6,0.0053,0.97229936,5,0.0029,1.046164551,6,0.0041,1.094460268,5,0.0027,1.000691014,6,0.0059,4,5,33.5,1.123828393,5,0.0057,0.940589226,5,0.0296,1.10407862,5,0.0056,1.310086586,5,0.0049,1.218708949,5,0.0049,TRUE,5,FALSE,-,-,-
Q935X4,ChlA,SEA0022,Synpcc7942_2503,798,35.3,0.022627163,0.001642363,2.6913E+13,5.3105E+03,22,119,54.2,1.081932085,118,0.0024,1.038962805,119,0.0036,1.112243817,119,0.0018,0.986279486,119,0.0015,1.073742146,119,0.0161,22,267,73.8,1.058766033,267,0.0015,1.069301067,267,0.0016,1.077457131,267,0.0014,1.002997845,267,0.0016,0.98333161,267,0.0014,18,194,52.3,1.044720219,164,0.0033,1.073742146,170,0.0035,0.935621084,154,0.0026,0.930679183,164,0.0082,1.080189621,163,0.004,20,218,57.9,1.252852662,155,0.0057,1.098499845,163,0.0046,1.068808749,163,0.0027,1.140249788,162,0.0034,0.964495043,162,0.0034,FALSE,-,-,-,-,-
Q54705,Band 7 protein,SEA0026,Synpcc7942_2499,680,49.1,0.013845848,0.001004983,1.1826E+13,2.3335E+03,20,72,52.2,1.037289544,72,0.0009,1.039920166,72,0.0014,0.989464005,72,0.0006,1.021880237,72,0.0008,1.190967746,72,0.0006,23,135,58.7,1.012744749,135,0.0007,1.154781985,135,0.001,1.191242008,135,0.0008,0.994947122,135,0.0005,0.72945751,135,0.0008,24,266,51.8,0.864768775,135,0.0024,1.079940927,135,0.0023,0.900533763,135,0.0024,1.058278566,135,0.0015,1.149211597,135,0.0017,21,207,47.1,1.239081863,186,0.0026,1.022350939,188,0.0024,0.949292391,188,0.0018,1.073742146,187,0.0022,0.889201118,186,0.0022,FALSE,-,-,-,-,-
Q54704,Band 7 protein,SEA0027,Synpcc7942_2498,402,44.4,0.009047611,0.000656709,8.5418E+12,1.6855E+03,15,43,36.7,1.084176526,43,0.0008,1.024235914,43,0.0015,0.996093257,43,0.0005,0.953235044,43,0.0006,1.159311116,43,0.001,21,92,56.3,0.994489037,92,0.0007,1.108408889,92,0.001,1.205313442,92,0.001,1.004847138,92,0.0007,0.82546754,92,0.0008,20,146,37.9,0.904065716,92,0.0019,1.039441375,92,0.0023,0.889405888,92,0.0015,1.041118108,92,0.0021,1.04761088,92,0.0023,19,121,42.3,1.248245474,114,0.0027,1.07225974,115,0.0033,1.001613109,114,0.0018,1.071025966,116,0.0021,0.922996385,116,0.0021,FALSE,-,-,-,-,-
Q935X0,Branched-chain amino-acid ABC transport system periplasmic binding protein,SEA0029,Synpcc7942_2496,32,42.5,0.000753329,5.46794E-05,7.4392E+11,1.4679E+02,1,2,4.3,1.041357862,1,0.0291,0.970286525,1,0.028,1.001613109,1,0.0266,1.153187696,1,0.0267,1.251122977,1,0.0255,4,6,13.5,0.999769768,6,0.0012,1.068808749,6,0.0017,1.081184971,6,0.0027,1.076217377,6,0.0009,0.910542036,6,0.0012,1,9,2,0.773392578,6,0.0016,0.979941161,6,0.0011,0.866163742,6,0.0013,0.962498364,6,0.0011,1.108664139,6,0.001,5,15,14.5,1.095973366,15,0.0028,1.038245363,15,0.0017,0.939506956,15,0.0009,1.066841742,15,0.0008,0.977687359,15,0.0008,FALSE,-,-,-,-,-
Q8GIU0,ATPase,SEA0032,Synpcc7942_2493,3,28.2,0.000106311,7.71645E-06,1.5803E+11,3.1183E+01,1,2,7.9,0.810027942,2,0.048,0.88838251,2,0.0423,0.924698174,2,0.0394,0.861192026,2,0.0431,1.27790921,2,0.0361,1,1,3.6,0.979489985,1,0.0237,0.976562402,1,0.0231,0.973195294,1,0.0231,0.861787122,1,0.0252,0.717959589,1,0.0246,0,0,0,-,0,Inf,-,0,Inf,-,0,Inf,-,0,Inf,-,0,Inf,0,0,0,-,0,Inf,-,0,Inf,-,0,Inf,-,0,Inf,-,0,Inf,FALSE,-,-,-,-,-
