Protein.ID	protein.length	aa.synthesis.average.cost_Akashi	aa.synthesis.average.cost_Wagner
P42079	624	23.44	25.13
P42451	243	22.72	24.67
P42452	264	21.62	23.38
P42460	403	22.45	24.14
P43087	326	22.72	25.09
P46204	161	20.6	22.58
P46205	276	20.89	22.72
P50020	655	21.19	23.35
P50021	634	20.78	23.25
P50022	749	21.93	23.35
P50026	287	21.53	23.07
P50590	149	23.71	25.57
P52023	375	21.07	23.35
P52691	294	22.28	24.05
P52693	309	22.84	24.56
P53533	874	22.47	24.36
P54207	286	23.05	26.09
P54208	466	23.2	25.14
P54415	197	22.45	24.7
P55020	125	22.78	25.22
P63200	124	23.17	24.62
P72546	213	24.08	25.3
P72547	467	25.37	28.52
P72549	293	25.55	28.17
P72557	235	23.64	25.53
P72559	207	23.07	24.66
P72560	438	22.4	24.27
P72562	160	20.91	22.55
P74764	810	22.4	24.15
P74893	694	22.94	24.52
P95822	166	22.82	25.73
P95823	38	24.28	28.38
P95836	478	22.11	24.08
P95837	301	22.39	24.39
Q03511	102	22.13	24.09
Q03512	99	22.23	24
Q03513	539	21.26	22.67
Q06904	387	22.66	24.39
Q07948	160	23.03	25.62
Q31JS8	131	25.57	28.18
Q31JT6	330	22.31	24.48
Q31JT7	41	23.03	24.82
Q31JU1	76	21.67	22.79
Q31JU4	459	23.56	26.16
Q31JU8	183	22.82	25.3
Q31JV0	83	22.21	23.1
Q31JX7	366	22.35	24.62
Q31JX8	254	22.32	23.89
Q31JX9	265	21.85	24.02
Q31JY0	176	21.39	24.37
Q31JY1	106	20.9	22.07
Q31JY2	265	23.78	25.58
Q31JY3	604	23.88	25.8
Q31JY4	218	23.17	25.66
Q31JY5	195	26.27	29.47
Q31JY6	541	26.51	29.79
Q31JY7	315	23.24	25.55
Q31JY8	304	24.62	27.33
Q31JY9	318	24.08	27.06
Q31JZ0	117	22.89	25.41
Q31JZ1	358	24.41	26.06
Q31JZ2	159	23.81	25.58
Q31JZ3	353	22.19	24.21
Q31JZ4	476	22.33	24.28
Q31JZ5	203	20.59	22.2
Q31JZ6	178	22.56	24.14
Q31JZ7	202	21.76	24.24
Q31JZ8	222	21.48	23.57
Q31JZ9	171	21.26	23.74
Q31K00	261	22.1	23.95
Q31K01	506	23.56	25.55
Q31K02	175	24.23	25.85
Q31K03	145	24.68	27.48
Q31K04	171	22.37	24.28
Q31K05	254	22.29	24.45
Q31K06	210	23.23	25.22
Q31K07	273	22.77	25
Q31K08	122	22.62	24.22
Q31K13	504	23.21	26.11
Q31K14	313	21.68	23.75
Q31K15	251	22.77	24.35
Q31K16	276	24.01	27.77
Q31K17	105	24.99	26.85
Q31K18	625	22.46	24.43
Q31K19	402	22.62	24.89
Q31K20	240	21.26	23.27
Q31K21	157	22.73	24.62
Q31K23	365	22.59	24.91
Q31K28	278	28.39	31.06
Q31K29	186	25.44	27.31
Q31K30	152	21.98	23.92
Q31K31	388	21.54	23.36
Q31K32	238	22.73	24.2
Q31K33	184	22.95	24.96
Q31K34	476	23.82	25.64
Q31K35	152	23.35	25.19
Q31K36	112	21.83	23.25
Q31K37	242	21.64	23.46
Q31K38	770	22.97	24.48
Q31K39	357	23.22	24.83
Q31K40	84	22.17	24
Q31K41	202	21.47	23.4
Q31K42	106	21.52	23.1
Q31K43	239	23.88	25.02
Q31K44	392	22.27	24.65
Q31K45	129	23.09	24.74
Q31K46	235	22.18	23.86
Q31K47	115	21.99	24.66
Q31K48	120	22.92	24.69
Q31K49	153	25.14	26.91
Q31K50	181	22.49	24.65
Q31K53	177	22.73	23.4
Q31K54	1099	23.25	25.38
Q31K55	421	23.63	26.14
Q31K56	126	23.83	26.65
Q31K57	299	24.16	25.75
Q31K58	221	21.63	23.55
Q31K59	251	23.24	25.02
Q31K60	94	23.38	24.62
Q31K61	228	21.87	23.33
Q31K62	280	22.59	24.46
Q31K66	85	26.29	27.71
Q31K69	236	23.7	25.7
Q31K70	901	24.08	26.62
Q31K72	232	22.3	23.27
Q31K73	79	21.88	22.54
Q31K74	755	22.56	24.18
Q31K76	294	21.03	23.16
Q31K80	217	24.82	26.9
Q31K82	86	23.59	25.06
Q31K85	134	23.31	24.75
Q31K87	437	22.51	24.12
Q31K89	206	23.72	26.57
Q31K97	237	21.84	23.82
Q31KA0	91	24.52	26.21
Q31KA1	202	20.69	22.97
Q31KA6	494	21.66	24.13
Q31KB0	188	21.28	23.44
Q31KB3	111	24.88	28.32
Q31KB7	518	20.72	22.25
Q31KB9	255	22.86	25.89
Q31KC0	256	22.62	24.7
Q31KC2	288	21.76	24.12
Q31KC3	235	22.44	24.28
Q31KC4	83	26.14	27.55
Q31KC5	232	21	22.57
Q31KC6	417	21.86	24.03
Q31KC7	426	22.6	24.71
Q31KC8	477	22.99	25.38
Q31KC9	424	24.14	26.52
Q31KD0	362	23.61	25.96
Q31KD1	724	24.08	26.34
Q31KD2	292	24.73	26.54
Q31KD3	316	20.6	22.39
Q31KD4	210	22.31	24.16
Q31KD5	424	24.19	27.07
Q31KD6	359	22.3	24.71
Q31KD7	238	20.95	23.45
Q31KD8	264	20.33	22.34
Q31KD9	771	20.45	22.64
Q31KE0	211	23.08	25.4
Q31KE1	535	21.78	23.37
Q31KE2	73	22.55	23.58
Q31KE3	277	22.62	24.49
Q31KE5	337	21.25	24.06
Q31KE6	310	24.01	27.42
Q31KE7	303	23.66	26.68
Q31KE8	264	22.72	25.12
Q31KE9	716	21.72	23.75
Q31KF0	331	26.75	29.22
Q31KF1	477	19.89	21.25
Q31KF2	954	23.68	25.7
Q31KF3	198	24.39	26.64
Q31KF4	206	22.57	24.37
Q31KF5	172	22.1	24.38
Q31KF6	306	24.65	26.47
Q31KF7	202	23.69	25.61
Q31KF8	1269	25.44	28.6
Q31KF9	381	22.98	24.77
Q31KG0	216	22.68	25.37
Q31KG1	148	21.67	23.87
Q31KG2	280	22.89	24.52
Q31KG3	37	24.25	28.45
Q31KG4	320	23.98	26.52
Q31KG5	267	25.47	28.92
Q31KG6	635	22.51	24.22
Q31KG7	288	20.41	22.12
Q31KG8	305	24.19	27.55
Q31KH0	174	23.65	25.23
Q31KH2	421	22.54	24.59
Q31KH3	255	22.35	24.42
Q31KH4	504	22.79	24.71
Q31KH5	351	23.8	25.62
Q31KH6	82	20.86	23.15
Q31KH7	270	22.81	24.95
Q31KH8	94	24.74	28.1
Q31KH9	344	24.17	26.04
Q31KI0	444	22.63	24.83
Q31KI1	128	21.86	23.84
Q31KI2	259	22.88	24.75
Q31KI3	379	22.6	24.52
Q31KI4	84	21.83	23.61
Q31KI5	246	22.59	23.91
Q31KI6	94	20.61	22.63
Q31KI7	376	22.47	24.17
Q31KI8	163	22.57	24.1
Q31KI9	385	23.08	25.04
Q31KJ0	392	24.09	25.71
Q31KJ1	149	22.2	23.97
Q31KJ2	175	22.04	23.46
Q31KJ3	183	23.08	25.12
Q31KJ4	83	25.99	27.03
Q31KJ7	486	24.17	26.59
Q31KJ8	206	22.19	24.72
Q31KJ9	1229	21.56	23.44
Q31KK0	266	22.94	23.83
Q31KK1	389	24.29	26.85
Q31KK2	671	23.77	25.76
Q31KK3	367	22.23	23.94
Q31KK4	340	22.7	24.42
Q31KK5	1196	22.52	24.44
Q31KK6	383	22.37	25.19
Q31KK7	396	23.06	24.82
Q31KK8	268	21.88	23.56
Q31KK9	142	19.09	20.63
Q31KL2	282	23.4	24.43
Q31KL3	136	24.26	26.93
Q31KL4	347	22.5	24.76
Q31KL5	452	22.21	23.59
Q31KL6	344	22.4	24.65
Q31KL7	349	21.4	23.41
Q31KL8	264	22.1	24.24
Q31KL9	69	26.07	29.25
Q31KM0	1056	22.93	25.97
Q31KM1	376	21.42	23.39
Q31KM2	167	22.1	24.02
Q31KM3	92	23.42	24.58
Q31KM4	556	23.66	25.54
Q31KM5	201	23.73	24.97
Q31KM6	123	22.18	24.65
Q31KM7	323	21.94	24.51
Q31KM8	289	22.72	24.24
Q31KM9	344	21.84	23.19
Q31KN0	460	22.36	25.92
Q31KN1	276	23.21	24.93
Q31KN2	481	23.19	25.05
Q31KN3	208	23.88	25.75
Q31KN4	107	23.25	24.06
Q31KN5	174	21.89	24.05
Q31KN6	233	23.46	25.22
Q31KN7	207	22.42	24.62
Q31KN8	402	22.3	23.84
Q31KN9	233	22.75	24.27
Q31KP0	397	22.56	24.23
Q31KP1	359	23.44	25.26
Q31KP2	358	23.04	24.85
Q31KP3	261	23.02	24.94
Q31KP5	316	19.87	21.07
Q31KP9	453	22.71	24.55
Q31KQ0	344	21.33	23.2
Q31KQ1	305	21.36	22.83
Q31KQ2	317	21.69	23.24
Q31KQ3	57	23.22	24.17
Q31KQ9	407	21.84	24.13
Q31KR0	424	24.06	25.61
Q31KR1	363	23.01	24.59
Q31KR2	157	25.39	29.34
Q31KR3	250	21.66	23.64
Q31KR4	255	21.57	23.44
Q31KR6	87	22.38	24.42
Q31KR7	96	21.61	22.53
Q31KR8	173	23.48	25.62
Q31KR9	95	23.41	24.62
Q31KS4	484	21.87	24.28
Q31KS7	357	22.44	24.57
Q31KS8	259	22.22	24.26
Q31KS9	489	22.26	24.24
Q31KT1	372	22.63	24.92
Q31KT2	336	23.97	26.23
Q31KT3	195	23.24	25.31
Q31KT5	305	23.07	24.84
Q31KT6	278	21.36	23.22
Q31KT7	118	22.6	23.98
Q31KT8	90	20.72	23.26
Q31KT9	164	22.54	24.39
Q31KU0	89	23.17	24.97
Q31KU1	207	21.87	24.12
Q31KU2	397	22.41	24.73
Q31KU3	434	23.19	25.4
Q31KU4	367	22.65	24.35
Q31KU5	278	24.92	26.79
Q31KU6	149	22.85	24.01
Q31KU7	754	25.09	28.2
Q31KU8	323	21.3	23.56
Q31KU9	244	22.58	24.35
Q31KV0	284	22.01	24.35
Q31KV1	178	23.31	25.16
Q31KV2	324	23.78	25.56
Q31KV3	361	23.52	25.02
Q31KV4	359	21.47	23.68
Q31KV5	303	23.52	24.97
Q31KV6	247	22.58	25.84
Q31KV7	637	22.48	24.08
Q31KV8	318	22.49	23.26
Q31KV9	310	20.86	22.43
Q31KW0	470	24.7	28.24
Q31KW1	715	23.89	25.8
Q31KW2	102	23.26	25.29
Q31KW3	150	21.84	23.84
Q31KW4	94	22.3	24.32
Q31KW6	255	24.9	25.46
Q31KW7	176	22.09	23.67
Q31KW8	183	23.29	24.81
Q31KW9	344	22.52	24.24
Q31KX0	245	25.53	28.64
Q31KX1	381	21.39	23.29
Q31KX2	85	21.27	21.94
Q31KX3	354	23.41	25.2
Q31KX4	431	21.35	23.48
Q31KX5	91	21.68	24.15
Q31KX6	435	21.98	23.73
Q31KX7	469	22.54	23.46
Q31KX8	113	22.11	24
Q31KX9	108	23.25	24.1
Q31KY0	182	21.88	23.43
Q31KY1	427	23.21	25.15
Q31KY2	55	24.33	27.27
Q31KY3	184	23.21	26.16
Q31KY4	134	21.04	23.11
Q31KY5	452	22.93	25.01
Q31KY6	384	22.99	24.81
Q31KY7	1017	23.73	25.41
Q31KY8	194	21.71	23.59
Q31KY9	387	22.15	23.53
Q31KZ0	141	22.55	23.71
Q31KZ1	91	21.74	24.47
Q31KZ2	882	22.29	23.96
Q31KZ3	520	25.71	28.51
Q31KZ4	62	25.13	30.1
Q31KZ5	181	22.37	24.8
Q31KZ6	414	22.34	24.22
Q31KZ7	330	21.56	23.22
Q31KZ8	290	20.47	22.17
Q31KZ9	176	23.48	24.87
Q31L00	171	23.38	25.2
Q31L01	471	24.55	27.74
Q31L02	144	21.61	23.45
Q31L03	554	21.82	23.37
Q31L04	235	23.32	24.89
Q31L05	158	23.08	25.36
Q31L06	105	22.59	25.53
Q31L07	213	21.71	23.67
Q31L08	210	22.24	24.13
Q31L09	100	22.43	24.02
Q31L10	287	22.46	23.75
Q31L11	91	24.37	26.04
Q31L12	117	23.13	24.71
Q31L13	244	22.37	23.4
Q31L14	142	23.93	25.1
Q31L15	64	23.71	24.83
Q31L16	82	23	24.61
Q31L17	121	22.09	24.59
Q31L18	113	22.34	24.31
Q31L19	179	23.19	25.49
Q31L20	133	22.51	24.4
Q31L21	179	21.49	23.42
Q31L22	120	21.18	22.52
Q31L23	180	20.98	22.72
Q31L26	186	21.26	23.13
Q31L27	37	24.56	25.3
Q31L28	125	21.87	23.32
Q31L29	130	21.03	22.2
Q31L30	309	21.62	23.53
Q31L31	116	22.68	24.05
Q31L32	294	23.81	25.2
Q31L33	151	23.41	24.9
Q31L34	135	22.58	24.84
Q31L35	77	24.33	25.62
Q31L36	368	21.87	23.26
Q31L37	165	24.47	26.1
Q31L38	406	22.33	24.12
Q31L39	163	22.27	24.33
Q31L40	870	23.54	25.69
Q31L41	376	23.9	25.68
Q31L42	367	21.67	23.86
Q31L43	213	21.32	22.47
Q31L44	641	22.34	24.54
Q31L45	122	25.73	28.71
Q31L46	560	22.41	23.99
Q31L47	535	22.69	24.85
Q31L48	243	23.21	26.78
Q31L49	140	24.28	25.94
Q31L50	87	23.49	25.25
Q31L51	467	21.76	23.22
Q31L52	134	22.33	23.46
Q31L53	545	22.99	25.91
Q31L54	134	27.24	30.06
Q31L55	266	23.74	25.41
Q31L56	259	23.13	24.24
Q31L57	61	26.57	30.2
Q31L58	403	23.83	26.49
Q31L59	145	22.54	25.53
Q31L60	304	23.24	25.29
Q31L61	113	24.18	29.09
Q31L62	296	23.88	27.48
Q31L63	381	22.66	24.38
Q31L64	357	22.5	24.78
Q31L65	209	23.87	26.12
Q31L66	186	22.4	23.89
Q31L67	86	26.21	27.07
Q31L69	149	24.21	26.08
Q31L70	107	21.53	23.48
Q31L71	794	23.1	24.75
Q31L72	150	21.44	24.64
Q31L73	123	22.07	24.31
Q31L74	126	22.01	23.98
Q31L75	461	23.86	25.35
Q31L76	162	23.06	25.87
Q31L77	71	23.98	25.02
Q31L78	218	23.3	25.68
Q31L79	384	22.98	24.94
Q31L82	94	23.76	25.87
Q31L83	473	24.18	26.44
Q31L84	147	21.93	24.21
Q31L85	67	22.06	25.46
Q31L86	159	24.04	25.57
Q31L87	419	21.39	23.11
Q31L88	737	24.87	27.72
Q31L89	347	23.35	26.14
Q31L90	286	24.27	27.9
Q31L91	340	21.58	23.82
Q31L92	136	24.85	27.53
Q31L93	104	22.06	23.82
Q31L94	295	23.44	25.08
Q31L95	162	22.99	24.24
Q31L96	420	22.56	24.32
Q31L97	111	21.86	23.4
Q31L98	154	22.72	24.76
Q31L99	143	22.99	24.98
Q31LA0	203	26.01	28.27
Q31LA1	341	25.4	27.87
Q31LA2	1351	23.01	25.24
Q31LA3	273	22.12	24.17
Q31LA4	227	24.49	26.94
Q31LA5	349	22.05	23.81
Q31LA6	168	23.92	26.49
Q31LA7	472	21.68	23.35
Q31LA8	690	23.12	24.4
Q31LA9	194	26.8	29.76
Q31LB0	134	22.58	24.65
Q31LB4	133	22.99	25.38
Q31LB5	323	22.46	24.33
Q31LB6	348	20.48	22.82
Q31LB7	391	22.53	24.37
Q31LB8	130	21.68	24.61
Q31LB9	138	22.49	24.02
Q31LC0	519	20.97	22.11
Q31LC1	95	22.83	24.98
Q31LC2	479	21.89	24.29
Q31LC3	286	23.98	26.17
Q31LC4	284	24.17	26.36
Q31LC7	180	22.19	24.24
Q31LC8	302	20.98	23.28
Q31LC9	327	22.17	24.19
Q31LD0	591	23.38	25.78
Q31LD1	122	22.47	24.07
Q31LD2	529	22.93	25.03
Q31LD6	134	24.58	25.62
Q31LD7	79	21	22.8
Q31LD8	294	23.01	25.29
Q31LD9	357	23.99	25.88
Q31LE0	289	22.39	24.45
Q31LE1	183	23.6	25.5
Q31LE2	306	24.64	25.96
Q31LE3	664	22.61	24.59
Q31LE4	127	24	26.43
Q31LE7	513	23.32	26.57
Q31LE9	445	21.66	24.13
Q31LF0	304	24.67	27.7
Q31LF1	104	24	27.1
Q31LF2	255	21.35	23.45
Q31LF3	66	23.95	26.02
Q31LF4	358	22.14	24.54
Q31LF5	339	24.36	27.53
Q31LF6	223	24.35	28.33
Q31LF7	662	22.48	23.99
Q31LF8	316	24.72	26.84
Q31LF9	796	23.81	25.67
Q31LG0	393	22.41	24.24
Q31LG1	212	22.46	24.12
Q31LG2	138	24.73	26.55
Q31LG3	350	22.75	23.89
Q31LG4	83	22.72	23.56
Q31LG5	376	21.82	23.78
Q31LG8	666	22.07	23.92
Q31LG9	362	22.43	24.51
Q31LH0	410	23.42	26.38
Q31LH1	184	23.52	25.02
Q31LH2	415	22.59	24.45
Q31LH3	343	23.08	24.56
Q31LH4	84	24.81	27.83
Q31LH5	333	22.81	24.8
Q31LH6	258	22.55	24.41
Q31LH9	221	22.39	23.96
Q31LI0	191	21.55	22.96
Q31LI1	264	20.31	22.6
Q31LI2	210	23.13	26.73
Q31LI3	125	24.24	26.46
Q31LI4	414	23.36	25.12
Q31LI5	313	23.19	24.88
Q31LI6	643	23.41	25.38
Q31LI7	290	24.39	27.58
Q31LI8	480	23.83	25.46
Q31LI9	487	21.91	23.31
Q31LJ0	763	25.65	28.42
Q31LJ1	734	26.11	28.97
Q31LJ2	953	22.59	24.46
Q31LJ3	129	22.33	24.94
Q31LJ4	1195	20.92	21.69
Q31LJ5	337	21.68	22.69
Q31LJ6	139	22.64	23.87
Q31LJ7	108	21.79	23.49
Q31LJ8	540	24.04	27.37
Q31LJ9	236	23.56	25.7
Q31LK0	268	20.9	21.78
Q31LK1	230	22.21	24.2
Q31LK2	214	25.68	29.09
Q31LK3	334	23.62	25.34
Q31LK4	345	24.23	26.01
Q31LK5	412	22.65	24.8
Q31LK6	230	22.19	24.52
Q31LK7	396	24.29	27.64
Q31LK8	193	22.65	24.25
Q31LK9	250	23.82	26.17
Q31LL0	528	22.79	24.92
Q31LL1	353	24.5	26.47
Q31LL2	247	25.05	27.43
Q31LL3	467	25.66	28.33
Q31LL4	361	24.32	26.17
Q31LL5	290	24.48	25.69
Q31LL6	153	21.69	23.72
Q31LL7	441	21.38	22.76
Q31LL8	97	22.66	24.02
Q31LL9	1030	20.6	21.82
Q31LM0	289	23.04	25.58
Q31LM1	81	22.73	25.58
Q31LM2	97	26.04	28.85
Q31LM3	39	24.96	28.64
Q31LM4	277	22.56	23.54
Q31LM5	197	23.34	24.48
Q31LM6	175	22.7	25
Q31LM7	407	22.53	24.46
Q31LM8	393	22.54	23.87
Q31LM9	167	22.91	25.55
Q31LN0	922	21.26	21.85
Q31LN3	228	19.92	20.23
Q31LN4	273	21.34	23.23
Q31LN5	196	21.17	22.68
Q31LN6	237	21.56	23.43
Q31LN7	236	23.7	24.08
Q31LN8	272	21.06	22.74
Q31LN9	740	21.93	23.95
Q31LP0	95	22.33	23.58
Q31LP1	195	22.44	24.64
Q31LP3	116	21.49	22.13
Q31LP4	211	23.27	25.29
Q31LP5	238	22.58	24.98
Q31LP6	206	22.8	24.75
Q31LP7	348	21.61	23.65
Q31LP8	133	23.4	26.27
Q31LP9	220	24.33	27.55
Q31LQ0	303	23.86	26.77
Q31LQ1	377	23.57	25.19
Q31LQ2	104	23.83	27.21
Q31LQ3	440	22.8	24.44
Q31LQ4	297	24.37	25.94
Q31LQ7	110	22.94	25.15
Q31LQ8	202	24.29	25.41
Q31LR2	665	24.66	28.02
Q31LR3	534	25.4	28.86
Q31LR4	117	22.91	25.41
Q31LR5	278	22.46	23.92
Q31LR6	389	23.47	25.82
Q31LR7	255	23.13	25.04
Q31LR8	252	22.02	23.33
Q31LR9	148	24.72	26.17
Q31LS0	125	22.05	24.48
Q31LS1	452	22.8	24.66
Q31LS2	288	23.86	27.31
Q31LS3	85	23.26	25.15
Q31LS4	549	22.51	23.94
Q31LS5	310	25.36	28.43
Q31LS6	298	23.36	25.04
Q31LS7	40	24.12	27.38
Q31LS8	182	20.38	22.16
Q31LS9	168	25.02	25.99
Q31LT0	600	22.73	24.85
Q31LT1	123	21.94	23.7
Q31LT4	47	22.51	26.7
Q31LT9	83	23.5	25.71
Q31LU1	81	26.83	28.28
Q31LU2	483	22.89	24.93
Q31LU3	159	23.1	24.56
Q31LU4	643	23.19	24.75
Q31LU5	342	23.29	25.22
Q31LU7	150	23.07	25.72
Q31LU8	298	22.82	23.95
Q31LU9	419	24.54	28.21
Q31LV1	353	24.87	28.28
Q31LV2	246	23.96	25.72
Q31LV3	80	22.61	23.93
Q31LV4	262	25.96	29.4
Q31LV5	449	21.63	23.41
Q31LV6	348	21.37	23.49
Q31LV7	177	21.87	24.27
Q31LV8	256	23.74	25.75
Q31LV9	247	22.93	24.55
Q31LW0	386	21.47	22.94
Q31LW1	80	21.8	22.38
Q31LW2	280	22.29	24.33
Q31LW3	97	23.95	26.53
Q31LW4	283	23.24	25.08
Q31LW5	175	21.27	23.32
Q31LW6	218	23.49	25.04
Q31LW7	166	22.35	23.51
Q31LW8	150	23.69	25.42
Q31LW9	865	23.59	25.39
Q31LX0	253	21.46	23.02
Q31LX1	359	22.75	24.69
Q31LX2	364	24.92	28.19
Q31LX3	270	22.64	24.86
Q31LX4	130	23.05	24.18
Q31LX5	152	23.33	25.02
Q31LX6	127	21.97	23.4
Q31LX7	224	22.76	24.78
Q31LX8	745	21.88	23.76
Q31LX9	212	22.43	24.47
Q31LY0	198	21.72	23.21
Q31LY1	144	22.42	24.45
Q31LY2	358	25.59	28.1
Q31LY3	246	23.26	24.48
Q31LY4	1000	22.98	25.34
Q31LY5	441	21.4	22.8
Q31LY6	376	23.51	25.47
Q31LY7	348	24.48	26.26
Q31LY8	793	23.74	25.86
Q31LY9	193	23.5	25.67
Q31LZ0	162	23.18	24.85
Q31LZ1	468	22.27	24.28
Q31LZ2	296	24.11	25.4
Q31LZ3	414	20.62	22.73
Q31LZ4	270	24.44	26.32
Q31LZ5	359	25.33	28.69
Q31LZ6	258	22.55	24.72
Q31LZ7	269	23.18	24.93
Q31LZ8	186	24.71	26.94
Q31LZ9	168	22.04	23.58
Q31M00	531	26.08	27.87
Q31M01	346	24.72	26.66
Q31M02	430	23.47	25.44
Q31M03	684	22.42	24.25
Q31M04	255	22.77	24.67
Q31M05	173	21.07	22.81
Q31M06	239	24.77	26.75
Q31M07	136	21.99	24.57
Q31M08	550	22.25	24.18
Q31M09	68	25.02	26.56
Q31M10	312	21.89	23.75
Q31M11	330	23.95	25.52
Q31M12	667	23.7	25.86
Q31M13	126	21.69	24.47
Q31M14	466	22.07	23.86
Q31M15	156	23.64	25.44
Q31M16	226	23.33	25.66
Q31M17	482	22.92	25.29
Q31M18	177	23.49	26.41
Q31M19	427	19.74	21.08
Q31M20	1084	21.5	23.97
Q31M21	143	24.57	26.5
Q31M22	293	24.87	25.92
Q31M23	136	22.05	24.14
Q31M24	306	22.94	24.88
Q31M25	195	21.43	23.14
Q31M26	293	23.07	24.29
Q31M27	307	21.65	23.97
Q31M28	421	21.69	24.12
Q31M29	235	21.69	23.4
Q31M30	917	23.53	25.58
Q31M32	288	21.65	24.13
Q31M33	168	22.54	23.51
Q31M34	456	23.08	25.32
Q31M35	566	22.52	24.53
Q31M36	234	23.04	25.46
Q31M37	209	21.81	23.9
Q31M38	487	22.87	24.7
Q31M39	409	22.52	24.32
Q31M40	398	22.94	24.53
Q31M41	354	21.96	23.78
Q31M42	299	21.75	23.94
Q31M43	609	22.51	24.33
Q31M46	269	22.79	24.46
Q31M48	455	21.86	24.12
Q31M49	168	21.58	24.33
Q31M50	246	23.83	25.56
Q31M52	114	23.64	25.16
Q31M53	110	22.39	24.22
Q31M57	149	22.22	24.69
Q31M58	387	21.44	23.67
Q31M62	208	21.87	24.3
Q31M63	313	22.58	24.52
Q31M64	172	25.26	28.76
Q31M67	70	23.5	25.09
Q31M69	242	23.19	27.19
Q31M71	105	22.22	23.3
Q31M72	121	22.24	24.1
Q31M73	977	22.32	24.13
Q31M74	411	21.8	23.41
Q31M75	242	21.48	22.68
Q31M78	1037	23.85	26.27
Q31M79	584	22.79	24.57
Q31M80	571	22.94	25.16
Q31M81	247	22.89	24.7
Q31M82	148	22.09	24.05
Q31M83	157	23.63	26.11
Q31M84	259	23.65	24.91
Q31M85	184	22.4	24.69
Q31M86	143	22.59	24.12
Q31M87	540	23.2	24.96
Q31M88	238	21.48	23.43
Q31M89	170	22.31	22.83
Q31M90	343	21.6	23.67
Q31M91	208	24.27	25.81
Q31M92	167	22.99	24.76
Q31M93	97	23.92	25.64
Q31M94	154	24.19	25.83
Q31M95	392	23.26	25.26
Q31M96	107	23.33	25.45
Q31M98	411	22.19	23.96
Q31M99	263	24.75	27.28
Q31MA0	326	22.14	24.33
Q31MA1	1568	21.36	23.34
Q31MA2	160	22.18	23.64
Q31MA3	175	23.09	25.74
Q31MA4	136	23.16	23.85
Q31MA5	260	23.04	23.91
Q31MA6	955	24.55	27.06
Q31MA7	430	22.8	25.34
Q31MA8	91	21.35	23.83
Q31MA9	541	22.84	23.95
Q31MB0	581	21.06	22.34
Q31MB1	619	23.49	25.64
Q31MB2	317	25.12	26.96
Q31MB3	85	21.5	23.99
Q31MB4	321	21.97	23.68
Q31MB5	57	23.79	23.53
Q31MB6	105	20.64	21.22
Q31MB7	82	23.31	24.87
Q31MB9	98	23.01	24.84
Q31MC0	128	23.75	25.5
Q31MC1	270	23.64	24.15
Q31MC2	470	26.12	28.81
Q31MC3	343	26.25	30.07
Q31MC4	167	21.4	23.07
Q31MC5	122	22.1	24.24
Q31MC6	272	23.67	25.88
Q31MC7	483	23.49	26.73
Q31MC8	576	20.75	22.8
