Protein.Name	Gene.Name	Uniprot.ID	mRNA.ID	default.pvalue
Na(+)/H(+) exchange regulatory cofactor NHE-RF1	Slc9a3r1	P70441;P70441-2	1438115_a_at	0.00554886085544613
DNA topoisomerase 2-beta	Top2b	Q64511;F6V2E8;F6XX57;F6U5K2	1416731_at	0.00558005469881501
Nucleophosmin	Npm1	Q61937;Q5SQB0;Q5SQB5;Q9DAY9;E9Q5T3	1432416_a_at	8.43677601938389e-07
Complement factor I;Complement factor I heavy chain;Complement factor I light chain	Cfi	Q61129	1418724_at	0.0581782959563972
Carboxylesterase 1D	Ces1d	Q8VCT4	1435370_a_at	6.39320077110706e-07
Tubulin alpha-1C chain	Tuba1c	P68373	1448232_x_at	0.00162612813448062
	Sf3b2	Q3UJB0	1459836_x_at	0.054197749632315
Peroxisomal carnitine O-octanoyltransferase	Crot	Q9DC50	1450966_at	6.54547766889648e-07
Rap guanine nucleotide exchange factor 4	Rapgef4	E9Q145;Q9EQZ6;A2ASW8;Q9EQZ6-2	1421622_a_at	0.00479109117627444
Microfibril-associated glycoprotein 4	Mfap4	Q9D1H9;Q9D1H9-2	1424010_at	0.137489665257723
CD302 antigen	Cd302	Q9DCG2;Q9DCG2-2	1448919_at	0.00410751518455334
Afamin	Afm	E9Q826;O89020-3;O89020;O89020-2;CON__REFSEQ:XP_585019	1427561_a_at	6.08903721912303e-07
Atlastin-2	Atl2	Q6PA06;Q8BYP9;E9QND8;Q6PA06-2	1416793_at	8.9279450750332e-07
	Ythdf2	E9Q2W5;Q91YT7;E9PW90	1460357_at	0.00335060262628015
	Acacb	E9Q4Z2;D3Z0B3	1427052_at	0.0218024794206337
Cytochrome b5	Cyb5a;Cyb5	P56395;G5E850;E0CY88	1416727_a_at	0.0466708993814534
Eukaryotic translation initiation factor 1;Eukaryotic translation initiation factor 1b	Eif1;Gm6900;Gm16378;Eif1b	P48024;G3UW42;D3YXK8;Q9CXU9	1428272_at	7.30000282187472e-07
Phosphoglycolate phosphatase	Pgp	Q8CHP8	1428788_at	6.75470615799655e-07
Inositol monophosphatase 1	Impa1	Q924B0;O55023;Q80ZJ2;D3Z703	1423127_at	0.0908315345200115
Mitochondrial-processing peptidase subunit beta	Pmpcb	Q9CXT8;D3Z1T9	1429709_at	6.91180786017981e-07
Probable methylthioribulose-1-phosphate dehydratase	Apip	Q9WVQ5	1418254_at	0.00947608667696842
Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2	Ppip5k2	E9Q9J4;Q6ZQB6;Q6ZQB6-3;Q6ZQB6-2;E9PZI4;A2ARP1;A2ARP1-2;A2ARP1-3;A2ARP1-7;A2ARP1-6	1433856_at	0.0358706735585349
	Gltscr2	Q8BK35	1423803_s_at	0.00635262949055223
Putative RNA-binding protein Luc7-like 2	Luc7l2	Q7TNC4;Q7TNC4-3;E9PZ93;Q7TNC4-2;E9QNA0;Q05CX5;E9PXU4;E9PX54;E9Q715	1423251_at	0.00318154772698832
Prothrombin;Activation peptide fragment 1;Activation peptide fragment 2;Thrombin light chain;Thrombin heavy chain	F2	P19221;CON__P00735	1418897_at	0.0206979366308097
Methyltransferase-like protein 7B	Mettl7b	Q9DD20	1416980_at	0.079225845418191
Retinol dehydrogenase 7	Rdh7	O88451;F6U1Q7;E9QA87	1448723_at	6.22763024943561e-07
Alpha-1-antitrypsin 1-5	Serpina1e	Q00898	1449321_x_at	0.0129545906644566
Long-chain-fatty-acid--CoA ligase 5	Acsl5	Q8JZR0;Q9D9S0	1428082_at	0.342686255346257
Cytochrome P450 2D26	Cyp2d26	Q8CIM7	1448683_at	0.0256912819956517
Actin-related protein 2/3 complex subunit 4	Arpc4	P59999;E9PWA7	1423589_at	0.252049833923412
Membrane-associated progesterone receptor component 1	Pgrmc1	O55022;Q3TFP8	1423451_at	0.314789388658724
Beta-galactosidase	Glb1	P23780;E9PVK3;F7AF87	1416205_at	0.00192191330022397
2-hydroxyacyl-CoA lyase 1	Hacl1	Q9QXE0;D3YZ54;E9PWM4;E9Q9L4;E9Q7H7;E9Q0K0;D6RDE9	1449047_at	0.00237016148195011
Acetyl-coenzyme A synthetase, cytoplasmic	Acss2	A2AQN4;Q9QXG4;A2AQN5;F7CU63;D6RHA7	1446542_at	8.53768646338594e-05
Fatty acid synthase;[Acyl-carrier-protein] S-acetyltransferase;[Acyl-carrier-protein] S-malonyltransferase;3-oxoacyl-[acyl-carrier-protein] synthase;3-oxoacyl-[acyl-carrier-protein] reductase;3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase;Enoyl-[acyl-carrier-protein] reductase;Oleoyl-[acyl-carrier-protein] hydrolase	Fasn	P19096	1423828_at	0.0157720028386161
Complement factor B;Complement factor B Ba fragment;Complement factor B Bb fragment	Gm20547;Cfb	B8JJN0;F6VQX8;B8JJM5;P04186;B8JJM6;F6W2T4;B8JJM3;F6WZA2	1417314_at	0.00592473867990348
	Trip11	E9Q512;E9Q4A9	1444042_at	0.190983467116715
Desmin	Des	P31001	1426731_at	0.0093484063201783
Heat shock cognate 71 kDa protein	Hspa8	P63017;Q504P4;D3YW43;D3Z5E2	1420622_a_at	9.79823550312093e-07
Histidine--tRNA ligase, cytoplasmic	Hars	Q61035	1417024_at	0.0111468705617314
Filamin-B	Flnb	Q80X90	1426750_at	7.02164652015415e-07
Vacuolar protein sorting-associated protein 13C	Vps13c	Q8BX70;Q8BX70-3;E9QLN1;Q8BX70-2;A1ILH0;A1ILH1;A1ILH2	1448011_at	0.0033769331113743
Protein OS-9	Os9	Q8K2C7;Q8K2C7-2	1426974_at	6.19029443425912e-07
	Akr1c20	Q8VC77;Q9CZU0	1425387_at	0.00660413174225573
Cystathionine beta-synthase	Cbs	Q91WT9;Q91WT9-2;D3YUF2;D3YYN0;D3Z4K2	1423844_s_at	8.23188062276281e-07
Stomatin-like protein 2	Stoml2	Q99JB2;F6WI02;A2AG39;A2AG41	1448774_at	0.248696932163849
Nuclear receptor coactivator 2	Ncoa2	Q61026;E9PV80	1435233_at	6.75105666458866e-07
E3 ubiquitin-protein ligase Praja-1	Pja1	O55176;B1AXU4;B1AXU3;O55176-2;O55176-4;O55176-5	1426449_a_at	0.00994731246685334
Protein phosphatase 1 regulatory subunit 3B	Ppp1r3b	Q8C767	1436590_at	1.18286014148371e-06
Vimentin	Vim	P20152;E9PZV5;G3X981;P15331-2;G5E846;P15331;P15331-3;A2AKJ2	1456292_a_at	3.99432685169228e-05
Peroxisomal targeting signal 1 receptor	Pex5	O09012-2;O09012;D3Z600	1422063_a_at	0.168395100491402
Annexin A2;Annexin	Anxa2	P07356;B0V2N7;B0V2N8;B0V2N5	1437692_x_at	0.0416572372486488
Myosin phosphatase Rho-interacting protein	Mprip	P97434-2;P97434-5;P97434;P97434-3;Q5SWZ5;F6RND9;F6S5I0;P97434-4;E9PZ80;F6XZM9	1460342_s_at	0.049607139907064
DNA damage-binding protein 1	Ddb1	Q3U1J4;E9Q4W8;F7ADY1	1415735_at	0.00333230497432281
UDP-N-acetylhexosamine pyrophosphorylase;UDP-N-acetylgalactosamine pyrophosphorylase;UDP-N-acetylglucosamine pyrophosphorylase	Uap1	Q3UHZ7;Q91YN5;Q91YN5-3;Q91YN5-2	1456516_x_at	0.00398807036504048
Cytidine monophosphate-N-acetylneuraminic acid hydroxylase	Cmah	Q61419;Q61419-2	1436039_at	0.0234557706142973
	Spnb3	Q68FG2	1452269_at	8.46053330706895e-07
Glucokinase regulatory protein	Gckr	Q91X44	1426059_at	0.035513153618523
Glycogen phosphorylase, liver form;Phosphorylase	Pygl	Q9ET01;Q3UEJ6	1417741_at	0.0391179170760748
Peroxisomal acyl-coenzyme A oxidase 1	Acox1	Q9R0H0	1416409_at	0.0570599694139753
Dedicator of cytokinesis protein 8	Dock8	Q8C147;Q8C147-2	1449419_at	0.000121445941444471
mRNA-decapping enzyme 1A	Dcp1a	Q91YD3	1431933_a_at	0.0329912648384047
Alpha-2-macroglobulin;Alpha-2-macroglobulin 165 kDa subunit;Alpha-2-macroglobulin 35 kDa subunit	Pzp;A2m	D3YW52;Q61838;D3YUI3	1434719_at	0.00617924345188642
Ornithine carbamoyltransferase, mitochondrial	Otc	P11725;Q8R1A8	1425540_at	0.00117325352785533
Peptidyl-prolyl cis-trans isomerase FKBP4;Peptidyl-prolyl cis-trans isomerase FKBP4, N-terminally processed;Peptidyl-prolyl cis-trans isomerase	Fkbp4	P30416;F6S2D5;D6RDE2;F7CAT1	1416362_a_at	7.441405257426e-07
Bcl-2-associated transcription factor 1	Bclaf1	Q8K019;Q8K019-2;Q8K019-3;E9Q5V0	1428845_at	2.11479408781672e-06
3-ketoacyl-CoA thiolase B, peroxisomal	Acaa1b	Q8VCH0	1416946_a_at	0.0121129796327024
Sorting nexin-2	Snx2	Q9CWK8	1460224_at	7.35070535380592e-07
Lon protease homolog 2, peroxisomal;Lon protease homolog	Lonp2	Q9DBN5;E9Q6G7;Q9DBN5-3;Q9DBN5-2;Q8BK80;REV__A8C756	1460178_at	8.12499382408627e-07
Ribonuclease;Ribonuclease H2 subunit A	Rnaseh2a	F6RP29;Q9CWY8;Q05C51	1452725_a_at	0.0271373515874979
Interleukin-6 receptor subunit beta	Il6st	G5E8D2;Q00560	1452843_at	7.70818556104694e-07
Coagulation factor V;Coagulation factor V heavy chain;Coagulation factor V light chain	F5	O88783	1449269_at	0.00746338333564662
SPARC	Sparc	P07214;Q5NCU4;Q5NCU3	1416589_at	0.211180394801706
Vitamin K epoxide reductase complex subunit 1-like protein 1	Vkorc1l1	Q6TEK5	1429092_at	0.00285259945519773
Cleavage stimulation factor subunit 3	Cstf3	Q99LI7	1443909_at	0.213799559207565
Ectonucleotide pyrophosphatase/phosphodiesterase family member 5	Enpp5	Q9EQG7	1425702_a_at	1.3727854289475e-06
Splicing factor 1	Sf1	D3YZC9;Q64213;Q64213-3;D3YZD0;E9Q4Q2;Q64213-2;D3YVH4;F8WHF9;F6SRV1;D6RDB7	1459765_s_at	0.00235039128919193
Plasminogen;Plasmin heavy chain A;Activation peptide;Angiostatin;Plasmin heavy chain A, short form;Plasmin light chain B	Plg	P20918;CON__P06868	1416729_at	0.0110243970384573
Cysteine dioxygenase type 1	Cdo1	P60334	1448842_at	8.61954450070436e-05
Cleavage and polyadenylation specificity factor subunit 5	Nudt21	Q9CQF3	1417681_at	0.018766977180874
26S proteasome non-ATPase regulatory subunit 3	Psmd3	P14685;F7B7L8	1448479_at	0.314935022112974
Methyltransferase-like protein 9	Mettl9	Q9EPL4	1417710_at	0.145487293332345
Retinol dehydrogenase 11	Rdh11	Q9QYF1;Q9R1R8;Q9R1R9	1418760_at	0.126574602209007
Carbonyl reductase family member 4	Cbr4	Q91VT4;D3Z6C4	1451398_at	0.00133117308981083
Sulfhydryl oxidase 1	Qsox1	Q8BND5;Q8BND5-2;Q8BND5-3	1420832_at	1.16790928948935e-06
Serine protease inhibitor A3K	Serpina3k	P07759;P29621;E9Q499	1423866_at	0.674955258988567
Protein Red	Ik	Q9Z1M8	1451113_a_at	0.09283272175476
Dimethylaniline monooxygenase [N-oxide-forming] 5	Fmo5	P97872	1440899_at	7.89860775112986e-07
Transcription elongation factor A protein 1	Tcea1	P10711;P10711-2	1419257_at	0.0605998624207998
UBX domain-containing protein 1	Ubxn1	Q922Y1	1436342_a_at	7.84814034577773e-07
Serine/arginine-rich splicing factor 5	Srsf5	O35326;Q9D8S5;Q640L9;E9QKW3;A2A837;E9Q4U8	1423130_a_at	0.00333261726101013
Dynein light chain roadblock-type 1	Dynlrb1	P62627	1428257_s_at	0.736733561292593
28S ribosomal protein S29, mitochondrial	Dap3	G3X9M0;Q9ER88;Q9ER88-2;G3UWZ6;G3UWM7;G3UZC0;G3UWJ4;G3UWR5;G3UYM6;G3UYP3	1450848_at	0.169864176886076
Ras-related protein Rab-1B	Rab1b	Q9D1G1;Q8K386;Q9DD03	1424064_at	0.461484465228509
Cathepsin F	Ctsf	Q9R013	1449794_x_at	0.405517333002226
Alanine aminotransferase 2	Gpt2	Q8BGT5;D6RFQ8	1434542_at	0.00227258179022876
Sarcoplasmic/endoplasmic reticulum calcium ATPase 2	Atp2a2	F8WI94;O55143;O55143-2	1416551_at	1.00512907979804e-06
Leukotriene A-4 hydrolase	Lta4h	P24527	1434790_a_at	0.226739824496703
GTP-binding protein SAR1a	Sar1a	Q99JZ4;P36536	1415696_at	6.43434690447759e-07
Carbohydrate-responsive element-binding protein	Mlxipl	Q99MZ3;Q99MZ3-2;Q99MZ3-3;Q99MZ3-4;Q99MZ3-5;F6Q3B6;F6Q4B6	1419185_a_at	0.827713682204737
Parathymosin	Ptms	Q9D0J8	1452508_x_at	0.14221422787352
Selenoprotein H	Selh	Q3UQA7	1436349_at	0.00488114017034562
Cytochrome P450 2E1	Cyp2e1	Q05421;Q0PGA1;Q0PGA0	1415994_at	0.000866602323011704
Enoyl-CoA hydratase domain-containing protein 3, mitochondrial	Echdc3	Q9D7J9;A2AR43	1418862_at	0.0238448164366334
ADP-ribosylation factor-binding protein GGA2	Gga2	Q6P5E6;Q6P5E6-2	1428141_at	6.9974747353126e-07
Calcyclin-binding protein	Cacybp	Q9CXW3	1452047_at	0.00367010771297641
	Aamp	Q3TJ22	1454754_a_at	0.000441859520927855
Src substrate cortactin	Cttn	Q60598;Q921L6	1433908_a_at	8.04891995106431e-07
Cingulin-like protein 1	Cgnl1	B2RSU6;Q6AW69;Q6AW69-4;Q6AW69-5;D3Z3H4;Q6AW69-3	1421159_at	0.194962242535136
B-cell receptor-associated protein 31	Bcap31	A2ALM8;Q61335	1451049_at	0.0241742194358981
Phenylalanine--tRNA ligase alpha subunit	Farsa	Q8C0C7;E9PWY9;Q8BJG2;E9Q319;D6RIJ2	1424907_a_at	0.000685165970847537
Catechol O-methyltransferase	Comt	Q91XH4;O88587;O88587-2;D3Z227	1449183_at	7.09365712713345e-07
Acyl-coenzyme A thioesterase 8	Acot8	P58137;Q8BZR4;G3UXJ8	1417449_at	0.437470020671815
ATP-binding cassette sub-family A member 6	Abca6	Q8K441;Q8K449;Q8K441-2	1453817_at	0.000427232947723095
Monoacylglycerol lipase ABHD6	Abhd6	Q8R2Y0;Q8R2Y0-2	1419104_at	0.00177060127368421
Endoplasmic reticulum resident protein 29	Erp29	P57759;D6RG87;F8WIM7;F8WJI4	1453634_a_at	7.80240367680521e-07
Heterogeneous nuclear ribonucleoprotein A/B	Hnrnpab	Q20BD0;Q80XR6;Q99020;Q9D6G1	1455855_x_at	1.23420697079739e-06
Ubiquitin carboxyl-terminal hydrolase;Ubiquitin carboxyl-terminal hydrolase 24	Usp24	E9PV45;B1AY13;B1AY13-2	1452868_at	7.61958386411851e-07
	Ces1b	D3Z5G7	1416913_at	0.0287470998073374
	Tpr	E9PZZ3;Q7M739;Q8BK71;F6RX08	1456651_a_at	0.0124196702462161
Acyl-coenzyme A synthetase ACSM5, mitochondrial	Acsm5	Q8BGA8;Q8BGA8-2	1437662_at	3.47684644480522e-06
Bifunctional protein NCOAT;Protein O-GlcNAcase;Histone acetyltransferase	Mgea5	Q9EQQ9-3;Q9EQQ9;Q9EQQ9-2	1422901_at	0.00301812696860802
	Eif4g2	G3XA17;F7CBP1	1428362_at	0.00568089015982446
Oxysterol-binding protein	Osbpl8	B9EJ86;G3X9N6;G5E833;Q9ER64;E9Q6K2	1437069_at	0.342879728949635
Dimethylaniline monooxygenase [N-oxide-forming] 1	Fmo1	P50285;Q3UNX7;D3Z0T2;Q8C9C1	1417429_at	8.81272984964811e-07
Reticulon-4	Rtn4	Q99P72-1	1452649_at	0.0321155608213425
	Sorbs1	E9QNA7;Q62417-2;Q62417-7;F6XUF0;E9Q6A3;Q62417-4;F6PZD9;Q62417-6;Q62417-5;D3Z5J3;F6X019	1425826_a_at	6.61378984577526e-07
