Protein.Name	Gene.Name	Uniprot.ID	protein_ZT0	protein_ZT03	protein_ZT06	protein_ZT09	protein_ZT12	protein_ZT15	protein_ZT18	protein_ZT21	protein_ZT24	protein_ZT27	protein_ZT30	protein_ZT33	protein_ZT36	protein_ZT39	protein_ZT42	protein_ZT45	protein_mean.level	protein_max.level	protein_rhythm.pvalue	protein.length	aa.synthesis.average.cost_Akashi	aa.synthesis.average.cost_Wagner
Glycogenin-1	Gyg;Gyg1	D3Z5N4;Q9R062	4	1	3	7	7	7	7	2	3	2	7	3	6	4	3	3	4.3125	7	0.000100256	333	23.95	26.62
Heme-binding protein 1	Hebp1	E9QKH1;Q9R257	15	17	17	14	16	16	18	12	12	9	16	8	20	6	15	18	14.3125	20	0.000109699	190	23.62	25.74
Apolipoprotein F	Apof	Q91V80	2	2	2	1	1	1	1	1	1	1	1	1	2	1	2	1	1.3125	2	0.000125307	315	22.55	24.98
V-type proton ATPase catalytic subunit A	Atp6v1a	P50516;P50516-2	16	14	19	15	12	10	16	15	18	10	16	14	16	12	15	18	14.75	19	0.000145289	617	23.29	25.67
5-aminolevulinate synthase, nonspecific, mitochondrial	Alas1	Q8VC19	2	7	6	5	6	10	10	6	5	4	6	4	7	7	6	9	6.25	10	0.000149785	642	22.94	24.71
TSC22 domain family protein 3	Tsc22d3	Q9Z2S7-3;Q9Z2S7;B1AVF2;Q9Z2S7-2	1	0	1	1	1	1	2	1	0	1	1	1	1	1	1	1	0.9375	2	0.00029283	137	21.41	23.18
Transferrin receptor protein 1	Tfrc	Q62351	3	2	6	3	3	1	2	2	5	2	4	1	3	4	2	2	2.8125	6	0.000199231	763	23.92	26.68
Interferon regulatory factor 5	Irf5	P56477;E9PWX5;E9Q5T2	0	1	0	1	0	1	1	1	0	1	0	1	1	0	0	0	0.5	1	0.000272725	497	23.59	24.86
Molybdenum cofactor sulfurase	Mocos	Q14CH1	12	13	11	13	12	10	15	10	13	7	13	11	12	10	13	14	11.8125	15	0.000255675	862	23.13	25.22
Transportin-1	Tnpo1	Q8BFY9;Q8BFY9-2	4	6	4	6	6	3	6	5	5	5	6	3	3	4	4	6	4.75	6	0.000307098	898	23.98	26.33
Tripeptidyl-peptidase 2	Tpp2	Q64514	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0.1875	1	0.000332076	1262	23.41	25.74
	Tsc22d2	E9Q7M2	1	0	1	0	1	0	1	0	0	0	0	0	1	0	1	1	0.4375	1	0.000211781	NA	NA	NA
Phosphatidate phosphatase LPIN1	Lpin1	Q91ZP3;E9QKQ5;Q91ZP3-2	2	0	3	3	1	5	2	4	2	2	1	3	3	4	4	0	2.4375	5	0.000642367	924	22.47	24.4
Galectin-3-binding protein	Lgals3bp	Q07797	4	4	4	6	3	4	6	5	4	2	6	2	6	3	6	5	4.375	6	0.0003918	577	23.8	26.36
Death-associated protein 1	Dap	Q91XC8	11	13	20	13	14	21	13	17	14	16	15	10	12	14	14	9	14.125	21	0.000383411	102	22.04	22.1
Alpha-1-antitrypsin 1-4	Serpina1d	Q00897	28	36	45	39	25	44	43	35	44	42	45	32	47	38	42	49	39.625	49	0.000419833	413	23.34	25.92
T-complex protein 1 subunit theta	Cct8	P42932	38	35	43	36	34	32	32	34	37	27	32	31	33	32	33	32	33.8125	43	0.000465396	548	22.47	25.16
Molybdopterin synthase catalytic subunit	Mocs2	Q9Z223;Q9Z223-1;E9PVP5;Q9Z223-3;E9PUX1	3	3	2	2	1	2	3	3	3	2	2	2	3	0	2	2	2.1875	3	0.000516334	189	22.72	24.78
Coxsackievirus and adenovirus receptor homolog	Cxadr	P97792;P97792-2	3	3	3	2	2	1	2	5	6	1	3	1	5	1	2	2	2.625	6	0.000511388	365	22.57	24.88
Corticosteroid-binding globulin	Serpina6	Q06770	5	6	15	6	8	7	11	7	11	8	13	5	12	6	12	6	8.625	15	0.000537656	397	24	27.05
Alpha-1-antitrypsin 1-2	Serpina1b	P22599	18	18	23	23	14	18	24	22	19	21	18	19	20	21	20	23	20.0625	24	0.000650527	413	23.48	26.07
Clathrin interactor 1	Clint1	Q5SUH6;Q5SUH7;Q99KN9;Q99KN9-2	14	16	20	26	15	20	17	20	22	16	16	20	22	22	19	17	18.875	26	0.000651577	631	21.89	23.99
Serum albumin	Alb	P07724	218	277	303	303	169	335	263	299	297	305	276	360	278	384	301	347	294.6875	384	0.000730169	608	23.44	25.64
Tyrosine aminotransferase	Tat	Q8QZR1	4	4	7	6	5	10	8	6	6	4	6	6	8	8	6	6	6.25	10	0.000762575	454	23.3	25.52
Synaptosomal-associated protein 47	Snap47	Q8R570;Q8R570-2;B2FDF6	5	2	6	6	3	2	4	5	4	4	8	3	7	3	3	6	4.4375	8	0.000715466	413	23.21	25.25
	Akr1c14	Q91WT7	37	45	42	49	38	45	40	41	44	44	46	38	49	43	44	50	43.4375	50	0.000755333	NA	NA	NA
Perilipin-2	Plin2	P43883;B1AXR5	10	18	15	14	8	11	10	11	12	13	18	10	17	8	12	16	12.6875	18	0.000831004	425	21.95	24.27
Transmembrane 9 superfamily member 2	Tm9sf2	E9Q0K1;P58021	4	3	7	5	4	4	5	6	5	3	4	2	2	3	2	1	3.75	7	0.000958728	662	26.59	29.73
Collagen alpha-2(IV) chain;Canstatin	Col4a2	P08122	3	3	4	3	2	2	3	4	4	2	3	3	4	1	2	1	2.75	4	0.000950012	1707	20.42	21.62
Leukotriene-B4 omega-hydroxylase 3	Cyp4f14	Q9EP75	4	1	10	5	8	1	3	10	10	3	9	2	2	3	1	2	4.625	10	0.000952769	524	24.85	27.05
ATP-citrate synthase	Acly	Q3V117;Q91V92	92	121	119	128	84	107	102	111	126	106	135	105	104	110	103	115	110.5	135	0.000985139	1091	23.71	26.25
Kalirin	Kalrn	A2CG49-7;A2CG49;E9QN83;A2CG49-2;F6QYT9;A2CG49-8;A2CG49-9;B1B1A7	0	0	1	1	1	1	1	0	1	0	1	1	1	0	2	2	0.8125	2	0.000698184	2964	23.26	25.1
Protein S100-A9	S100a9	P31725	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.0625	2	0.001144431	113	23.65	25.03
Tubulin beta-2A chain;Tubulin beta-2B chain	Tubb2a;Tubb2b	Q7TMM9;Q9CWF2	19	19	18	17	20	14	19	13	19	10	21	11	20	10	15	19	16.5	21	0.001177653	NA	NA	NA
	Golgb1	E9PVZ8;E9QAH1	16	18	20	19	16	13	19	18	20	17	15	10	15	17	15	15	16.4375	20	0.001234442	NA	NA	NA
Antithrombin-III	Serpinc1	P32261	21	25	26	25	17	21	23	23	22	22	26	23	28	21	26	29	23.625	29	0.001278372	465	23.32	25.91
Scaffold attachment factor B1	Safb	D3YXK2;E9PZM6	4	5	4	4	4	5	4	4	3	2	3	4	5	2	3	3	3.6875	5	0.001455164	937	20.71	21.18
Poly [ADP-ribose] polymerase 1	Parp1	Q921K2;P11103;P11103-2	9	6	9	6	8	7	7	8	6	5	6	7	6	6	9	3	6.75	9	0.001431585	1013	23.36	25.89
Insulin-like growth factor-binding protein 7	Igfbp7	E9Q5D9;F8WH23;Q61581;F8WII5	2	5	6	4	3	5	4	4	4	3	5	3	5	3	3	4	3.9375	6	0.001523386	281	20.79	22.42
	Gm20425	E9Q035	119	118	112	111	86	111	123	108	112	100	101	103	106	109	101	94	107.125	123	0.001715778	NA	NA	NA
Apolipoprotein E	Apoe	P08226;G3UWN5	8	9	9	9	5	7	7	6	6	8	7	9	8	7	7	7	7.4375	9	0.0017969	311	22.29	23.04
Murinoglobulin-1	Mug1	P28665	105	105	111	99	94	100	106	88	109	72	113	90	116	90	106	118	101.375	118	0.001770394	1476	23.5	25.97
Fibroblast growth factor 1	Fgf1	P61148	2	3	2	3	2	2	4	2	3	3	3	3	3	3	3	2	2.6875	4	0.001734227	155	23.55	25.87
Oxidoreductase HTATIP2	Htatip2	Q99KN6;Q9Z2G9;Q9Z2G9-2	7	8	7	8	8	7	9	7	7	3	10	7	10	7	10	10	7.8125	10	0.001770354	242	23.22	26.06
UBX domain-containing protein 7	Ubxn7	G5E8R8;Q6P5G6	1	4	5	5	4	6	5	4	6	5	5	3	5	3	5	6	4.5	6	0.002023591	467	22.17	23.58
40S ribosomal protein S6	Rps6;Rps6-ps1	P62754;D3Z6N6	17	27	18	22	12	23	26	17	20	13	18	17	25	16	21	13	19.0625	27	0.002103985	249	23.2	24.93
N-acetylglucosamine-6-sulfatase	Gns	Q8BFR4	6	4	5	5	5	4	6	6	4	3	4	4	4	3	5	4	4.5	6	0.00219078	544	24.06	26.67
14-3-3 protein beta/alpha;14-3-3 protein beta/alpha, N-terminally processed	Ywhab	Q9CQV8;Q9CQV8-2;A2A5N1	9	14	10	18	4	14	12	11	8	12	10	8	13	10	7	11	10.6875	18	0.002264869	246	22.45	24.68
Histidine-rich glycoprotein	Hrg	Q9ESB3	5	2	7	5	6	3	7	2	3	1	9	3	6	4	6	7	4.75	9	0.002440048	525	24.04	24.67
Chaperone activity of bc1 complex-like, mitochondrial	Adck3	Q60936;F7B1B6;Q60936-2	23	26	32	30	20	23	28	21	31	17	40	21	31	20	34	30	26.6875	40	0.002517867	645	22.96	25.02
Torsin-1A-interacting protein 2	Tor1aip2	Q8BYU6	9	8	10	8	11	9	8	9	13	5	8	6	11	5	8	8	8.5	13	0.002688711	502	20.84	22.36
Alpha-mannosidase 2	Man2a1	P27046	15	13	19	18	20	13	21	23	25	9	29	8	15	9	15	15	16.6875	29	0.002906414	1150	24.59	26.87
Apolipoprotein A-V	Apoa5	Q8C7G5	5	5	5	6	7	6	3	6	5	3	5	3	6	3	4	3	4.6875	7	0.003008515	368	22.26	23.56
Cathepsin L1;Cathepsin L1 heavy chain;Cathepsin L1 light chain	Ctsl1	P06797	3	4	6	5	6	3	6	2	4	2	8	3	7	1	5	5	4.375	8	0.003284212	334	24.16	26.47
Inosine-5-monophosphate dehydrogenase 2	Impdh2	P24547	20	27	33	23	16	24	26	21	23	16	18	17	30	17	16	20	21.6875	33	0.003116086	514	22.62	25.33
Thioredoxin domain-containing protein 15	Txndc15	Q6P6J9	2	2	2	2	1	2	1	3	1	3	3	2	2	2	2	3	2.0625	3	0.003140634	344	23.09	24.88
Serotransferrin	Tf	Q921I1	20	24	25	24	17	19	26	23	24	24	24	21	23	24	24	27	23.0625	27	0.003260272	697	23.53	26.06
Methionine adenosyltransferase 2 subunit beta	Mat2b	Q99LB6;Q99LB6-2	11	13	13	12	12	13	14	14	13	8	12	9	12	8	12	11	11.6875	14	0.003187916	334	23.52	25.34
Alpha-2-HS-glycoprotein	Ahsg	P29699	27	27	22	27	18	20	27	20	22	17	26	20	27	18	29	25	23.25	29	0.003441251	345	22.26	24.13
Transmembrane 9 superfamily member 1	Tm9sf1	Q9DBU0;D3Z6X7;D3YWH4;D6RGM8;D3Z279	0	1	4	1	2	1	0	3	3	1	1	0	1	1	0	1	1.25	4	0.00103461	606	26.25	29.2
Retinol-binding protein 4	Rbp4	Q00724	3	3	2	4	3	2	3	2	2	4	2	4	3	4	3	3	2.9375	4	0.003652975	201	24.56	26.75
Fatty acid desaturase 1	Fads1	Q920L1	4	3	4	3	4	3	3	7	6	3	8	1	1	2	1	1	3.375	8	0.003645196	447	27.44	29.81
17-beta-hydroxysteroid dehydrogenase 13	Hsd17b13	A8Y5N5;A8Y5N6;Q8VCR2-2;Q8VCR2;A8Y5N4	15	9	17	18	14	12	12	16	22	13	16	15	9	11	8	11	13.625	22	0.003740195	304	24.07	26.85
	Ppp2r1a	G3UWL2	1	2	3	3	1	3	1	3	4	2	1	1	3	1	1	1	1.9375	4	0.003894573	NA	NA	NA
60S ribosomal protein L18	Rpl18	P35980;G3UZK4;G3UZJ6	3	2	2	2	2	2	2	3	3	2	3	2	2	1	1	1	2.0625	3	0.004044792	188	23.96	25.82
Carboxypeptidase N subunit 2	Cpn2	Q9DBB9	4	4	4	3	3	4	4	3	4	3	3	2	3	3	3	3	3.3125	4	0.00422702	547	23.1	25.7
Roquin	Rc3h1	Q4VGL6	0	1	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0.4375	1	0.002386866	1130	22.14	23.34
Serine/threonine-protein kinase Sgk2	Sgk2	Q9QZS5;E9Q4F0;Q9QZS5-2	5	5	5	5	6	4	8	5	5	3	7	3	6	4	8	6	5.3125	8	0.00481043	367	24.01	26.39
Low affinity cationic amino acid transporter 2	Slc7a2	E9QJY0;E9Q6C4;P18581-2;E9QPL9;P18581	1	3	1	3	2	2	1	2	3	1	2	1	2	1	2	1	1.75	3	0.004572455	657	24.49	27.93
Polymeric immunoglobulin receptor;Secretory component	Pigr	O70570	4	5	6	6	1	3	4	4	4	1	6	8	7	5	4	4	4.5	8	0.004366189	771	22.38	24.45
Complement C3;Complement C3 beta chain;Complement C3 alpha chain;C3a anaphylatoxin;Complement C3b alpha chain;Complement C3c alpha chain fragment 1;Complement C3dg fragment;Complement C3g fragment;Complement C3d fragment;Complement C3f fragment;Complement C3c alpha chain fragment 2	C3	P01027	88	101	93	110	86	100	105	110	107	93	112	95	104	97	86	107	99.625	112	0.004705566	1663	23.55	25.97
Apolipoprotein A-II	Apoa2	P09813;Q3UKX6	2	4	4	7	4	6	7	7	3	4	8	5	6	1	7	7	5.125	8	0.004763361	102	22.91	25.68
Lumican	Lum	P51885	20	25	20	22	20	20	20	13	19	15	16	18	23	17	20	29	19.8125	29	0.004830245	338	23.95	27.42
Acid sphingomyelinase-like phosphodiesterase 3a	Smpdl3a	P70158	2	3	4	4	3	3	4	3	3	4	3	3	3	2	4	4	3.25	4	0.004564402	445	24.49	27.48
Beta-lactamase-like protein 2	Lactb2	Q99KR3	13	21	24	19	18	16	20	18	20	17	18	19	20	19	20	18	18.75	24	0.004604294	288	23.99	26.33
Vitamin D-binding protein	Gc	P21614	48	50	53	57	44	48	48	44	43	30	53	28	55	33	50	50	45.875	57	0.005094487	476	22.92	25.07
NADPH--cytochrome P450 reductase	Por	P37040;Q05DV1	23	34	42	43	24	25	27	50	54	28	39	29	35	30	33	32	34.25	54	0.005091997	678	24.01	26.13
NADPH:adrenodoxin oxidoreductase, mitochondrial	Fdxr	Q61578	25	21	18	21	23	19	20	16	17	13	21	17	22	14	18	18	18.9375	25	0.005031567	494	22.85	24.44
Beta-2-glycoprotein 1	Apoh	Q01339	14	16	16	14	14	16	15	15	16	13	13	15	17	14	15	20	15.1875	20	0.00523133	345	24.75	26.93
Apolipoprotein A-I;Truncated apolipoprotein A-I	Apoa1	Q8BPD5;Q00623	48	74	46	51	42	62	54	50	47	43	45	49	43	52	47	48	50.0625	74	0.00550295	264	23.05	24.66
Liprin-beta-1	Ppfibp1	Q8C8U0-3;Q8C8U0;Q8C8U0-2	4	2	2	3	4	2	4	2	2	1	3	3	5	2	1	2	2.625	5	0.005778641	969	22.15	23.98
GTP-binding protein SAR1b	Sar1b	Q9CQC9	21	27	22	29	22	28	28	25	31	24	35	27	25	25	27	32	26.75	35	0.005879007	198	24.61	27.42
DnaJ homolog subfamily A member 1	Dnaja1	P63037;B1AXY1;B1AXY0;B1AXX9	16	19	16	15	14	19	18	14	17	25	21	15	19	14	20	15	17.3125	25	0.006022921	397	23.11	24.7
GMP synthase [glutamine-hydrolyzing]	Gmps	Q3THK7	16	23	20	25	18	21	26	19	21	14	26	17	29	17	25	24	21.3125	29	0.00595555	693	23.21	25.5
Beta-hexosaminidase subunit alpha	Hexa	P29416;E9PW67	5	9	7	8	8	7	8	6	5	3	7	4	10	3	9	8	6.6875	10	0.006323962	528	25.52	28.05
Signal transducer and transcription activator 6	Stat6	P52633	2	2	2	2	2	2	4	2	5	2	3	2	2	2	3	2	2.4375	5	0.00632948	837	23.03	24.89
	Sorbs2	Q3UTJ2-2;D3Z080;Q3UTJ2-5;B2RXQ9	16	11	18	11	14	12	18	10	14	13	12	9	17	10	11	12	13	18	0.00632058	NA	NA	NA
Epsin-1	Epn1	Q80VP1-2;Q80VP1	15	8	14	10	13	10	14	6	15	10	11	7	14	10	9	11	11.0625	15	0.006310686	575	20.8	21.97
Small nuclear ribonucleoprotein Sm D3	Snrpd3	P62320	8	7	7	6	7	9	7	6	7	5	6	7	6	7	8	7	6.875	9	0.006525677	126	22.58	24.52
Na(+)/H(+) exchange regulatory cofactor NHE-RF1	Slc9a3r1	P70441	14	19	23	17	15	20	20	18	22	20	17	20	21	25	21	17	19.3125	25	0.006451599	355	20.74	22.05
DNA topoisomerase 2-beta	Top2b	Q64511	4	3	5	3	4	2	3	5	5	1	4	1	2	2	5	1	3.125	5	0.006551018	1612	23.46	25.99
Nucleophosmin	Npm1	Q61937;Q5SQB0;Q5SQB5;Q9DAY9	10	8	6	6	7	9	13	7	6	5	10	5	9	4	8	9	7.625	13	0.006976751	292	21.44	23.26
Complement factor I;Complement factor I heavy chain;Complement factor I light chain	Cfi	Q61129	5	5	3	6	4	4	5	5	3	4	4	4	6	4	5	3	4.375	6	0.006952212	603	23.5	25.44
Carboxylesterase 1D	Ces1d	Q8VCT4	99	116	114	120	86	97	112	100	121	103	128	106	124	116	115	124	111.3125	128	0.007123379	565	23.76	26.45
Tubulin alpha-1C chain	Tuba1c	P68373	94	107	75	118	96	99	89	87	85	99	81	114	79	111	88	96	94.875	118	0.007250704	449	23.46	25.64
	Sf3b2	Q3UJB0	14	14	14	10	13	14	17	10	17	13	16	8	18	9	15	14	13.5	18	0.00738162	NA	NA	NA
Peroxisomal carnitine O-octanoyltransferase	Crot	Q9DC50	20	26	32	29	22	28	23	25	31	20	32	23	29	20	29	28	26.0625	32	0.007472931	612	24.66	26.6
Rap guanine nucleotide exchange factor 4	Rapgef4	E9Q145;Q9EQZ6;A2ASW8;Q9EQZ6-2	3	2	3	3	5	2	3	4	5	3	4	2	4	2	4	3	3.25	5	0.007401878	1011	23.94	26.03
Microfibril-associated glycoprotein 4	Mfap4	Q9D1H9;Q9D1H9-2	1	1	1	1	1	1	1	2	1	2	1	2	1	2	1	2	1.3125	2	0.007695219	257	24.94	27.84
CD302 antigen	Cd302	Q9DCG2;Q9DCG2-2	2	1	2	2	2	1	2	2	2	1	1	1	1	1	2	1	1.5	2	0.007635384	228	23.93	26.86
Afamin	Afm	E9Q826;O89020-3;O89020;O89020-2	5	3	3	3	5	4	4	4	3	1	5	2	6	2	5	5	3.75	6	0.007853373	608	23.86	26
Atlastin-2	Atl2	Q6PA06;Q8BYP9;E9QND8;Q6PA06-2	3	5	4	8	2	4	2	9	7	4	7	3	4	4	3	4	4.5625	9	0.007799033	583	23.56	25.8
	Ythdf2	E9Q2W5;Q91YT7	9	10	11	8	12	12	12	7	7	5	10	7	15	8	7	10	9.375	15	0.008073989	579	22.01	23.83
	Acacb	E9Q4Z2	21	26	26	28	25	21	27	29	20	13	21	17	24	11	16	19	21.5	29	0.008103514	2448	23.72	25.76
Cytochrome b5	Cyb5a;Cyb5	P56395;G5E850	4	5	6	6	3	8	4	7	3	5	4	7	4	5	3	4	4.875	8	0.008245925	134	24.02	26.17
Eukaryotic translation initiation factor 1;Eukaryotic translation initiation factor 1b	Eif1;Gm6900;Gm16378;Eif1b	P48024;G3UW42;D3YXK8;Q9CXU9	9	7	11	9	7	8	11	11	11	6	9	8	11	10	12	11	9.4375	12	0.008379053	NA	NA	NA
Phosphoglycolate phosphatase	Pgp	Q8CHP8	4	5	11	4	4	5	5	5	5	6	9	5	9	5	9	9	6.25	11	0.008352615	321	22.07	24.57
Inositol monophosphatase 1	Impa1	Q924B0;O55023;Q80ZJ2	9	10	10	8	7	7	7	9	8	7	9	8	11	9	9	11	8.6875	11	0.00845186	277	23.29	25.68
Mitochondrial-processing peptidase subunit beta	Pmpcb	Q9CXT8	10	12	15	14	12	13	13	13	14	10	12	14	15	10	13	14	12.75	15	0.008429542	489	23.15	25.17
Probable methylthioribulose-1-phosphate dehydratase	Apip	Q9WVQ5	11	12	15	11	14	12	13	11	11	9	10	9	12	13	12	12	11.6875	15	0.008324658	241	24.11	25.99
Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2	Ppip5k2	E9Q9J4;Q6ZQB6;Q6ZQB6-3;Q6ZQB6-2	3	2	2	2	3	2	2	2	2	2	2	2	1	2	2	1	2	3	0.008567991	1129	23.49	25.5
	Gltscr2	Q8BK35	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0.25	1	0.003721842	484	22.44	23.17
Putative RNA-binding protein Luc7-like 2	Luc7l2	Q7TNC4;Q7TNC4-3;E9PZ93;Q7TNC4-2;E9QNA0;Q05CX5;E9PXU4;E9PX54;E9Q715	2	1	8	2	1	1	1	1	3	1	1	2	1	3	2	2	2	8	0.008661183	392	22.02	22.2
Prothrombin;Activation peptide fragment 1;Activation peptide fragment 2;Thrombin light chain;Thrombin heavy chain	F2	P19221	12	10	16	12	12	13	15	13	13	10	14	10	13	11	13	11	12.375	16	0.008862723	618	24.09	26.06
Methyltransferase-like protein 7B	Mettl7b	Q9DD20	14	25	28	26	19	16	20	35	37	17	31	21	12	15	17	12	21.5625	37	0.00879353	244	25.59	27.92
Retinol dehydrogenase 7	Rdh7	O88451;F6U1Q7	18	29	33	30	25	22	26	37	38	27	36	28	21	23	26	25	27.75	38	0.009035734	316	24.42	27.4
Alpha-1-antitrypsin 1-5	Serpina1e	Q00898	11	13	14	15	10	13	16	12	14	10	16	13	16	15	16	14	13.625	16	0.008967405	413	23.37	26
Long-chain-fatty-acid--CoA ligase 5	Acsl5	Q8JZR0	20	19	26	23	15	19	21	36	33	20	38	16	19	16	18	25	22.75	38	0.009119865	683	24.3	27.18
Cytochrome P450 2D26	Cyp2d26	Q8CIM7	27	24	28	36	30	20	29	45	38	27	35	27	24	25	27	26	29.25	45	0.009226747	500	25.04	27.29
Actin-related protein 2/3 complex subunit 4	Arpc4	P59999;E9PWA7	3	2	3	2	5	2	2	2	4	1	4	1	4	1	4	5	2.8125	5	0.009344638	168	24.79	26.96
Membrane-associated progesterone receptor component 1	Pgrmc1	O55022;Q3TFP8	9	11	16	12	5	9	9	12	11	11	12	9	7	8	10	15	10.375	16	0.009580953	195	22.55	24.74
Beta-galactosidase	Glb1	P23780;E9PVK3;F7AF87	4	5	7	5	3	5	6	6	5	3	8	2	7	3	6	7	5.125	8	0.009589796	647	25.03	27.78
2-hydroxyacyl-CoA lyase 1	Hacl1	Q9QXE0;D3YZ54;E9PWM4	57	57	56	53	35	46	54	46	60	38	70	46	63	48	57	58	52.75	70	0.009853522	581	23.07	25.17
Acetyl-coenzyme A synthetase, cytoplasmic	Acss2	A2AQN4;Q9QXG4;A2AQN5	33	36	41	38	33	29	30	41	44	22	35	28	31	26	26	30	32.6875	44	0.00994387	701	24.52	26.44
Fatty acid synthase;[Acyl-carrier-protein] S-acetyltransferase;[Acyl-carrier-protein] S-malonyltransferase;3-oxoacyl-[acyl-carrier-protein] synthase;3-oxoacyl-[acyl-carrier-protein] reductase;3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase;Enoyl-[acyl-carrier-protein] reductase;Oleoyl-[acyl-carrier-protein] hydrolase	Fasn	P19096	226	263	260	296	231	215	244	252	271	251	276	268	197	270	238	249	250.4375	296	0.01027053	2504	22.53	24.75
Complement factor B;Complement factor B Ba fragment;Complement factor B Bb fragment	Gm20547;Cfb	B8JJN0;F6VQX8;B8JJM5;P04186;B8JJM6	6	12	12	7	6	8	10	8	10	8	9	7	9	8	6	9	8.4375	12	0.010584127	761	23.27	25.4
	Trip11	E9Q512	8	8	13	7	10	10	9	5	6	7	8	3	13	5	8	8	8	13	0.010920052	NA	NA	NA
Desmin	Des	P31001	3	5	5	5	3	5	5	4	7	3	6	3	7	3	7	4	4.6875	7	0.011289093	469	21.73	23.14
Heat shock cognate 71 kDa protein	Hspa8	P63017;Q504P4	171	202	173	203	157	226	199	182	136	190	182	202	178	187	176	194	184.875	226	0.010694679	646	22.15	24.59
Histidine--tRNA ligase, cytoplasmic	Hars	Q61035	14	11	16	17	10	16	12	14	13	8	16	11	15	9	17	18	13.5625	18	0.010569573	509	23.13	25.52
Filamin-B	Flnb	Q80X90	114	126	140	135	103	117	129	118	135	95	134	95	124	106	113	123	119.1875	140	0.010961237	2602	22.29	24.47
Vacuolar protein sorting-associated protein 13C	Vps13c	Q8BX70;Q8BX70-3;E9QLN1;Q8BX70-2	15	11	14	13	15	10	14	11	14	6	14	6	9	5	10	12	11.1875	15	0.011262053	3748	23.44	25.95
