Protein.Name	Gene.Name	Uniprot.ID	ZT0	ZT03	ZT06	ZT09	ZT12	ZT15	ZT18	ZT21	ZT24	ZT27	ZT30	ZT33	ZT36	ZT39	ZT42	ZT45
Protein S100-A9	S100a9	P31725	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Tubulin beta-2A chain;Tubulin beta-2B chain	Tubb2a;Tubb2b	Q7TMM9;Q9CWF2	19	19	18	17	20	14	19	13	19	10	21	11	20	10	15	19
	Golgb1	E9PVZ8;E9QAH1	16	18	20	19	16	13	19	18	20	17	15	10	15	17	15	15
Antithrombin-III	Serpinc1	P32261	21	25	26	25	17	21	23	23	22	22	26	23	28	21	26	29
Scaffold attachment factor B1	Safb	D3YXK2;E9PZM6	4	5	4	4	4	5	4	4	3	2	3	4	5	2	3	3
Poly [ADP-ribose] polymerase 1	Parp1	Q921K2;P11103;P11103-2	9	6	9	6	8	7	7	8	6	5	6	7	6	6	9	3
Insulin-like growth factor-binding protein 7	Igfbp7	E9Q5D9;F8WH23;Q61581;F8WII5	2	5	6	4	3	5	4	4	4	3	5	3	5	3	3	4
	Gm20425	E9Q035	119	118	112	111	86	111	123	108	112	100	101	103	106	109	101	94
Apolipoprotein E	Apoe	P08226;G3UWN5	8	9	9	9	5	7	7	6	6	8	7	9	8	7	7	7
Murinoglobulin-1	Mug1	P28665	105	105	111	99	94	100	106	88	109	72	113	90	116	90	106	118
Fibroblast growth factor 1	Fgf1	P61148	2	3	2	3	2	2	4	2	3	3	3	3	3	3	3	2
Oxidoreductase HTATIP2	Htatip2	Q99KN6;Q9Z2G9;Q9Z2G9-2	7	8	7	8	8	7	9	7	7	3	10	7	10	7	10	10
UBX domain-containing protein 7	Ubxn7	G5E8R8;Q6P5G6	1	4	5	5	4	6	5	4	6	5	5	3	5	3	5	6
40S ribosomal protein S6	Rps6;Rps6-ps1	P62754;D3Z6N6	17	27	18	22	12	23	26	17	20	13	18	17	25	16	21	13
N-acetylglucosamine-6-sulfatase	Gns	Q8BFR4	6	4	5	5	5	4	6	6	4	3	4	4	4	3	5	4
14-3-3 protein beta/alpha;14-3-3 protein beta/alpha, N-terminally processed	Ywhab	Q9CQV8;Q9CQV8-2;A2A5N1	9	14	10	18	4	14	12	11	8	12	10	8	13	10	7	11
Histidine-rich glycoprotein	Hrg	Q9ESB3	5	2	7	5	6	3	7	2	3	1	9	3	6	4	6	7
Chaperone activity of bc1 complex-like, mitochondrial	Adck3	Q60936;F7B1B6;Q60936-2	23	26	32	30	20	23	28	21	31	17	40	21	31	20	34	30
Torsin-1A-interacting protein 2	Tor1aip2	Q8BYU6	9	8	10	8	11	9	8	9	13	5	8	6	11	5	8	8
Alpha-mannosidase 2	Man2a1	P27046	15	13	19	18	20	13	21	23	25	9	29	8	15	9	15	15
Apolipoprotein A-V	Apoa5	Q8C7G5	5	5	5	6	7	6	3	6	5	3	5	3	6	3	4	3
Cathepsin L1;Cathepsin L1 heavy chain;Cathepsin L1 light chain	Ctsl1	P06797	3	4	6	5	6	3	6	2	4	2	8	3	7	1	5	5
Inosine-5-monophosphate dehydrogenase 2	Impdh2	P24547	20	27	33	23	16	24	26	21	23	16	18	17	30	17	16	20
Thioredoxin domain-containing protein 15	Txndc15	Q6P6J9	2	2	2	2	1	2	1	3	1	3	3	2	2	2	2	3
Serotransferrin	Tf	Q921I1	20	24	25	24	17	19	26	23	24	24	24	21	23	24	24	27
Methionine adenosyltransferase 2 subunit beta	Mat2b	Q99LB6;Q99LB6-2	11	13	13	12	12	13	14	14	13	8	12	9	12	8	12	11
Alpha-2-HS-glycoprotein	Ahsg	P29699	27	27	22	27	18	20	27	20	22	17	26	20	27	18	29	25
Transmembrane 9 superfamily member 1	Tm9sf1	Q9DBU0;D3Z6X7;D3YWH4;D6RGM8;D3Z279	0	1	4	1	2	1	0	3	3	1	1	0	1	1	0	1
Retinol-binding protein 4	Rbp4	Q00724	3	3	2	4	3	2	3	2	2	4	2	4	3	4	3	3
Fatty acid desaturase 1	Fads1	Q920L1	4	3	4	3	4	3	3	7	6	3	8	1	1	2	1	1
17-beta-hydroxysteroid dehydrogenase 13	Hsd17b13	A8Y5N5;A8Y5N6;Q8VCR2-2;Q8VCR2;A8Y5N4	15	9	17	18	14	12	12	16	22	13	16	15	9	11	8	11
	Ppp2r1a	G3UWL2	1	2	3	3	1	3	1	3	4	2	1	1	3	1	1	1
60S ribosomal protein L18	Rpl18	P35980;G3UZK4;G3UZJ6	3	2	2	2	2	2	2	3	3	2	3	2	2	1	1	1
Carboxypeptidase N subunit 2	Cpn2	Q9DBB9	4	4	4	3	3	4	4	3	4	3	3	2	3	3	3	3
Roquin	Rc3h1	Q4VGL6	0	1	1	0	0	1	0	0	1	0	0	1	0	1	0	1
Serine/threonine-protein kinase Sgk2	Sgk2	Q9QZS5;E9Q4F0;Q9QZS5-2	5	5	5	5	6	4	8	5	5	3	7	3	6	4	8	6
Low affinity cationic amino acid transporter 2	Slc7a2	E9QJY0;E9Q6C4;P18581-2;E9QPL9;P18581	1	3	1	3	2	2	1	2	3	1	2	1	2	1	2	1
Polymeric immunoglobulin receptor;Secretory component	Pigr	O70570	4	5	6	6	1	3	4	4	4	1	6	8	7	5	4	4
Complement C3;Complement C3 beta chain;Complement C3 alpha chain;C3a anaphylatoxin;Complement C3b alpha chain;Complement C3c alpha chain fragment 1;Complement C3dg fragment;Complement C3g fragment;Complement C3d fragment;Complement C3f fragment;Complement C3c alpha chain fragment 2	C3	P01027	88	101	93	110	86	100	105	110	107	93	112	95	104	97	86	107
Apolipoprotein A-II	Apoa2	P09813;Q3UKX6	2	4	4	7	4	6	7	7	3	4	8	5	6	1	7	7
Lumican	Lum	P51885	20	25	20	22	20	20	20	13	19	15	16	18	23	17	20	29
Acid sphingomyelinase-like phosphodiesterase 3a	Smpdl3a	P70158	2	3	4	4	3	3	4	3	3	4	3	3	3	2	4	4
Beta-lactamase-like protein 2	Lactb2	Q99KR3	13	21	24	19	18	16	20	18	20	17	18	19	20	19	20	18
Vitamin D-binding protein	Gc	P21614	48	50	53	57	44	48	48	44	43	30	53	28	55	33	50	50
NADPH--cytochrome P450 reductase	Por	P37040;Q05DV1	23	34	42	43	24	25	27	50	54	28	39	29	35	30	33	32
NADPH:adrenodoxin oxidoreductase, mitochondrial	Fdxr	Q61578	25	21	18	21	23	19	20	16	17	13	21	17	22	14	18	18
Beta-2-glycoprotein 1	Apoh	Q01339	14	16	16	14	14	16	15	15	16	13	13	15	17	14	15	20
Apolipoprotein A-I;Truncated apolipoprotein A-I	Apoa1	Q8BPD5;Q00623	48	74	46	51	42	62	54	50	47	43	45	49	43	52	47	48
Liprin-beta-1	Ppfibp1	Q8C8U0-3;Q8C8U0;Q8C8U0-2	4	2	2	3	4	2	4	2	2	1	3	3	5	2	1	2
GTP-binding protein SAR1b	Sar1b	Q9CQC9	21	27	22	29	22	28	28	25	31	24	35	27	25	25	27	32
DnaJ homolog subfamily A member 1	Dnaja1	P63037;B1AXY1;B1AXY0;B1AXX9	16	19	16	15	14	19	18	14	17	25	21	15	19	14	20	15
GMP synthase [glutamine-hydrolyzing]	Gmps	Q3THK7	16	23	20	25	18	21	26	19	21	14	26	17	29	17	25	24
Beta-hexosaminidase subunit alpha	Hexa	P29416;E9PW67	5	9	7	8	8	7	8	6	5	3	7	4	10	3	9	8
Signal transducer and transcription activator 6	Stat6	P52633	2	2	2	2	2	2	4	2	5	2	3	2	2	2	3	2
	Sorbs2	Q3UTJ2-2;D3Z080;Q3UTJ2-5;B2RXQ9	16	11	18	11	14	12	18	10	14	13	12	9	17	10	11	12
Epsin-1	Epn1	Q80VP1-2;Q80VP1	15	8	14	10	13	10	14	6	15	10	11	7	14	10	9	11
Small nuclear ribonucleoprotein Sm D3	Snrpd3	P62320	8	7	7	6	7	9	7	6	7	5	6	7	6	7	8	7
Na(+)/H(+) exchange regulatory cofactor NHE-RF1	Slc9a3r1	P70441	14	19	23	17	15	20	20	18	22	20	17	20	21	25	21	17
DNA topoisomerase 2-beta	Top2b	Q64511	4	3	5	3	4	2	3	5	5	1	4	1	2	2	5	1
Nucleophosmin	Npm1	Q61937;Q5SQB0;Q5SQB5;Q9DAY9	10	8	6	6	7	9	13	7	6	5	10	5	9	4	8	9
Complement factor I;Complement factor I heavy chain;Complement factor I light chain	Cfi	Q61129	5	5	3	6	4	4	5	5	3	4	4	4	6	4	5	3
Carboxylesterase 1D	Ces1d	Q8VCT4	99	116	114	120	86	97	112	100	121	103	128	106	124	116	115	124
Tubulin alpha-1C chain	Tuba1c	P68373	94	107	75	118	96	99	89	87	85	99	81	114	79	111	88	96
	Sf3b2	Q3UJB0	14	14	14	10	13	14	17	10	17	13	16	8	18	9	15	14
Peroxisomal carnitine O-octanoyltransferase	Crot	Q9DC50	20	26	32	29	22	28	23	25	31	20	32	23	29	20	29	28
Rap guanine nucleotide exchange factor 4	Rapgef4	E9Q145;Q9EQZ6;A2ASW8;Q9EQZ6-2	3	2	3	3	5	2	3	4	5	3	4	2	4	2	4	3
Microfibril-associated glycoprotein 4	Mfap4	Q9D1H9;Q9D1H9-2	1	1	1	1	1	1	1	2	1	2	1	2	1	2	1	2
CD302 antigen	Cd302	Q9DCG2;Q9DCG2-2	2	1	2	2	2	1	2	2	2	1	1	1	1	1	2	1
Afamin	Afm	E9Q826;O89020-3;O89020;O89020-2	5	3	3	3	5	4	4	4	3	1	5	2	6	2	5	5
Atlastin-2	Atl2	Q6PA06;Q8BYP9;E9QND8;Q6PA06-2	3	5	4	8	2	4	2	9	7	4	7	3	4	4	3	4
	Ythdf2	E9Q2W5;Q91YT7	9	10	11	8	12	12	12	7	7	5	10	7	15	8	7	10
	Acacb	E9Q4Z2	21	26	26	28	25	21	27	29	20	13	21	17	24	11	16	19
Cytochrome b5	Cyb5a;Cyb5	P56395;G5E850	4	5	6	6	3	8	4	7	3	5	4	7	4	5	3	4
Eukaryotic translation initiation factor 1;Eukaryotic translation initiation factor 1b	Eif1;Gm6900;Gm16378;Eif1b	P48024;G3UW42;D3YXK8;Q9CXU9	9	7	11	9	7	8	11	11	11	6	9	8	11	10	12	11
Phosphoglycolate phosphatase	Pgp	Q8CHP8	4	5	11	4	4	5	5	5	5	6	9	5	9	5	9	9
Inositol monophosphatase 1	Impa1	Q924B0;O55023;Q80ZJ2	9	10	10	8	7	7	7	9	8	7	9	8	11	9	9	11
Mitochondrial-processing peptidase subunit beta	Pmpcb	Q9CXT8	10	12	15	14	12	13	13	13	14	10	12	14	15	10	13	14
Probable methylthioribulose-1-phosphate dehydratase	Apip	Q9WVQ5	11	12	15	11	14	12	13	11	11	9	10	9	12	13	12	12
Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2	Ppip5k2	E9Q9J4;Q6ZQB6;Q6ZQB6-3;Q6ZQB6-2	3	2	2	2	3	2	2	2	2	2	2	2	1	2	2	1
	Gltscr2	Q8BK35	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0
Putative RNA-binding protein Luc7-like 2	Luc7l2	Q7TNC4;Q7TNC4-3;E9PZ93;Q7TNC4-2;E9QNA0;Q05CX5;E9PXU4;E9PX54;E9Q715	2	1	8	2	1	1	1	1	3	1	1	2	1	3	2	2
Prothrombin;Activation peptide fragment 1;Activation peptide fragment 2;Thrombin light chain;Thrombin heavy chain	F2	P19221	12	10	16	12	12	13	15	13	13	10	14	10	13	11	13	11
Methyltransferase-like protein 7B	Mettl7b	Q9DD20	14	25	28	26	19	16	20	35	37	17	31	21	12	15	17	12
Retinol dehydrogenase 7	Rdh7	O88451;F6U1Q7	18	29	33	30	25	22	26	37	38	27	36	28	21	23	26	25
Alpha-1-antitrypsin 1-5	Serpina1e	Q00898	11	13	14	15	10	13	16	12	14	10	16	13	16	15	16	14
Long-chain-fatty-acid--CoA ligase 5	Acsl5	Q8JZR0	20	19	26	23	15	19	21	36	33	20	38	16	19	16	18	25
Cytochrome P450 2D26	Cyp2d26	Q8CIM7	27	24	28	36	30	20	29	45	38	27	35	27	24	25	27	26
Actin-related protein 2/3 complex subunit 4	Arpc4	P59999;E9PWA7	3	2	3	2	5	2	2	2	4	1	4	1	4	1	4	5
Membrane-associated progesterone receptor component 1	Pgrmc1	O55022;Q3TFP8	9	11	16	12	5	9	9	12	11	11	12	9	7	8	10	15
Beta-galactosidase	Glb1	P23780;E9PVK3;F7AF87	4	5	7	5	3	5	6	6	5	3	8	2	7	3	6	7
2-hydroxyacyl-CoA lyase 1	Hacl1	Q9QXE0;D3YZ54;E9PWM4	57	57	56	53	35	46	54	46	60	38	70	46	63	48	57	58
Acetyl-coenzyme A synthetase, cytoplasmic	Acss2	A2AQN4;Q9QXG4;A2AQN5	33	36	41	38	33	29	30	41	44	22	35	28	31	26	26	30
Fatty acid synthase;[Acyl-carrier-protein] S-acetyltransferase;[Acyl-carrier-protein] S-malonyltransferase;3-oxoacyl-[acyl-carrier-protein] synthase;3-oxoacyl-[acyl-carrier-protein] reductase;3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase;Enoyl-[acyl-carrier-protein] reductase;Oleoyl-[acyl-carrier-protein] hydrolase	Fasn	P19096	226	263	260	296	231	215	244	252	271	251	276	268	197	270	238	249
Complement factor B;Complement factor B Ba fragment;Complement factor B Bb fragment	Gm20547;Cfb	B8JJN0;F6VQX8;B8JJM5;P04186;B8JJM6	6	12	12	7	6	8	10	8	10	8	9	7	9	8	6	9
	Trip11	E9Q512	8	8	13	7	10	10	9	5	6	7	8	3	13	5	8	8
Desmin	Des	P31001	3	5	5	5	3	5	5	4	7	3	6	3	7	3	7	4
Heat shock cognate 71 kDa protein	Hspa8	P63017;Q504P4	171	202	173	203	157	226	199	182	136	190	182	202	178	187	176	194
Histidine--tRNA ligase, cytoplasmic	Hars	Q61035	14	11	16	17	10	16	12	14	13	8	16	11	15	9	17	18
Filamin-B	Flnb	Q80X90	114	126	140	135	103	117	129	118	135	95	134	95	124	106	113	123
Vacuolar protein sorting-associated protein 13C	Vps13c	Q8BX70;Q8BX70-3;E9QLN1;Q8BX70-2	15	11	14	13	15	10	14	11	14	6	14	6	9	5	10	12
Protein OS-9	Os9	Q8K2C7;Q8K2C7-2	4	5	5	2	2	4	4	3	4	5	1	2	2	3	2	2
	Akr1c20	Q8VC77;Q9CZU0	6	7	9	5	7	6	8	6	8	7	5	6	5	5	8	5
Cystathionine beta-synthase	Cbs	Q91WT9;Q91WT9-2	46	71	70	69	53	66	70	58	64	47	59	42	69	48	53	59
Stomatin-like protein 2	Stoml2	Q99JB2;F6WI02;A2AG39;A2AG41	7	8	8	6	7	6	7	6	5	5	7	5	8	3	6	7
Nuclear receptor coactivator 2	Ncoa2	Q61026;E9PV80	1	1	2	1	1	1	1	1	1	1	0	1	1	1	0	0
E3 ubiquitin-protein ligase Praja-1	Pja1	O55176	0	3	1	3	1	3	3	2	1	1	1	1	1	0	0	1
Protein phosphatase 1 regulatory subunit 3B	Ppp1r3b	Q8C767	1	0	1	1	1	0	2	1	2	1	1	0	2	1	1	2
Vimentin	Vim	P20152;E9PZV5	26	25	24	23	24	23	27	21	26	21	25	21	29	25	30	23
Peroxisomal targeting signal 1 receptor	Pex5	O09012-2;O09012;D3Z600	6	5	6	5	5	6	5	5	5	2	6	5	7	2	7	5
Annexin A2;Annexin	Anxa2	P07356;B0V2N7;B0V2N8;B0V2N5	15	14	19	18	14	19	17	17	17	14	16	11	20	11	19	21
Myosin phosphatase Rho-interacting protein	Mprip	P97434-2;P97434-5;P97434;P97434-3;Q5SWZ5;F6RND9;F6S5I0;P97434-4;E9PZ80	7	12	9	10	5	11	9	6	12	4	10	6	13	6	6	10
DNA damage-binding protein 1	Ddb1	Q3U1J4;E9Q4W8	50	47	45	48	46	44	45	41	44	29	44	40	52	35	45	47
UDP-N-acetylhexosamine pyrophosphorylase;UDP-N-acetylgalactosamine pyrophosphorylase;UDP-N-acetylglucosamine pyrophosphorylase	Uap1	Q3UHZ7;Q91YN5;Q91YN5-3;Q91YN5-2	12	15	13	17	15	16	17	16	15	14	17	11	17	11	16	18
Cytidine monophosphate-N-acetylneuraminic acid hydroxylase	Cmah	Q61419;Q61419-2	7	13	11	12	7	10	12	12	15	9	13	8	11	9	8	11
	Spnb3	Q68FG2	31	34	38	30	37	30	41	27	35	19	38	22	35	21	32	29
Glucokinase regulatory protein	Gckr	Q91X44	22	22	24	25	25	16	23	19	25	13	29	20	19	16	23	21
Glycogen phosphorylase, liver form;Phosphorylase	Pygl	Q9ET01;Q3UEJ6	123	148	135	164	103	142	125	154	163	157	135	162	132	184	129	122
Peroxisomal acyl-coenzyme A oxidase 1	Acox1	Q9R0H0	80	105	98	111	77	94	105	95	89	84	105	96	97	100	95	101
Dedicator of cytokinesis protein 8	Dock8	Q8C147	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1
mRNA-decapping enzyme 1A	Dcp1a	Q91YD3	2	2	1	2	2	3	1	3	2	2	2	2	2	2	1	2
Alpha-2-macroglobulin;Alpha-2-macroglobulin 165 kDa subunit;Alpha-2-macroglobulin 35 kDa subunit	Pzp;A2m	D3YW52;Q61838	115	130	128	134	112	126	125	123	114	105	117	109	124	126	117	125
Ornithine carbamoyltransferase, mitochondrial	Otc	P11725;Q8R1A8	116	129	116	125	100	128	139	112	113	144	136	134	151	143	129	145
Peptidyl-prolyl cis-trans isomerase FKBP4;Peptidyl-prolyl cis-trans isomerase FKBP4, N-terminally processed;Peptidyl-prolyl cis-trans isomerase	Fkbp4	P30416;F6S2D5;D6RDE2;F7CAT1	46	49	58	49	40	52	46	43	47	46	41	41	50	41	45	46
Bcl-2-associated transcription factor 1	Bclaf1	Q8K019;Q8K019-2;Q8K019-3	8	12	5	12	11	15	17	10	8	9	10	8	12	6	6	9
3-ketoacyl-CoA thiolase B, peroxisomal	Acaa1b	Q8VCH0	104	106	107	98	91	99	96	87	107	85	98	93	112	83	98	103
Sorting nexin-2	Snx2	Q9CWK8	23	22	26	23	21	19	27	15	19	17	19	20	24	18	21	18
Lon protease homolog 2, peroxisomal;Lon protease homolog	Lonp2	Q9DBN5;E9Q6G7;Q9DBN5-3;Q9DBN5-2	17	15	15	14	18	10	17	11	15	12	17	13	21	13	14	13
Ribonuclease;Ribonuclease H2 subunit A	Rnaseh2a	F6RP29;Q9CWY8;Q05C51	0	1	0	1	0	1	2	1	0	1	1	1	1	0	0	1
Interleukin-6 receptor subunit beta	Il6st	G5E8D2;Q00560	1	0	1	0	1	0	1	1	1	1	0	1	1	1	0	0
Coagulation factor V;Coagulation factor V heavy chain;Coagulation factor V light chain	F5	O88783	0	2	0	2	3	2	1	2	0	2	0	2	2	2	0	0
SPARC	Sparc	P07214;Q5NCU4	1	1	1	1	2	0	2	0	1	0	1	0	2	1	0	0
Vitamin K epoxide reductase complex subunit 1-like protein 1	Vkorc1l1	Q6TEK5	1	0	0	1	1	1	1	1	1	1	1	0	0	1	0	0
Cleavage stimulation factor subunit 3	Cstf3	Q99LI7	3	0	1	1	1	0	1	0	1	0	1	0	1	0	3	2
Ectonucleotide pyrophosphatase/phosphodiesterase family member 5	Enpp5	Q9EQG7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Splicing factor 1	Sf1	D3YZC9;Q64213;Q64213-3;D3YZD0;E9Q4Q2;Q64213-2;D3YVH4	4	4	5	6	5	3	6	6	3	4	7	5	5	4	6	4
Plasminogen;Plasmin heavy chain A;Activation peptide;Angiostatin;Plasmin heavy chain A, short form;Plasmin light chain B	Plg	P20918	20	18	24	23	18	20	23	24	19	21	26	19	27	22	22	28
Cysteine dioxygenase type 1	Cdo1	P60334	2	3	2	2	4	3	4	2	4	2	3	2	3	2	2	4
Cleavage and polyadenylation specificity factor subunit 5	Nudt21	Q9CQF3	7	8	8	6	7	4	6	6	5	5	10	4	6	5	6	6
26S proteasome non-ATPase regulatory subunit 3	Psmd3	P14685	15	19	29	18	18	16	16	19	22	18	23	14	18	15	14	15
Methyltransferase-like protein 9	Mettl9	Q9EPL4	1	1	3	1	1	2	0	2	1	2	0	2	0	1	0	0
Retinol dehydrogenase 11	Rdh11	Q9QYF1;Q9R1R8;Q9R1R9	2	3	4	4	3	1	5	5	4	3	4	2	3	3	1	1
Carbonyl reductase family member 4	Cbr4	Q91VT4	10	12	13	9	9	8	11	10	10	7	12	7	11	7	11	12
Sulfhydryl oxidase 1	Qsox1	Q8BND5;Q8BND5-2;Q8BND5-3	1	0	1	1	1	0	1	0	1	0	2	0	1	0	2	1
Serine protease inhibitor A3K	Serpina3k	P07759	25	27	25	26	17	32	21	23	25	20	28	28	24	24	25	30
Protein Red	Ik	Q9Z1M8	5	5	8	5	2	6	7	5	4	5	4	3	6	3	4	3
Dimethylaniline monooxygenase [N-oxide-forming] 5	Fmo5	P97872	33	25	29	33	37	20	27	42	53	25	53	19	26	21	31	27
Transcription elongation factor A protein 1	Tcea1	P10711;P10711-2	3	7	10	9	3	9	2	7	8	8	3	4	10	8	6	5
UBX domain-containing protein 1	Ubxn1	Q922Y1	6	6	4	5	5	5	3	5	3	3	4	2	7	3	4	6
Serine/arginine-rich splicing factor 5	Srsf5	O35326;Q9D8S5;Q640L9;E9QKW3	6	3	10	5	5	5	6	5	7	5	6	4	5	7	6	8
