Protein.Name	Gene.Name	ZT00	ZT03	ZT06	ZT09	ZT12	ZT15	ZT18	ZT21	ZT24	ZT27	ZT30	ZT33	ZT36	ZT39	ZT42	ZT45
	Golgb1	0.108363064	0.049889971	-0.018776585	0.059043978	0.153061458	0.213186205	0.193783195	0.233413319	0.027439676	-0.021479727	0.083064823	0.052326363	0.201128285	0.09571245	0.151378061	0.150705252
Antithrombin-III	Serpinc1	-0.04082231	-0.157431827	-0.171078696	-0.140124224	-0.055473336	-0.004465437	-0.012783185	-0.00992041	-0.035905384	-0.173127433	-0.230448976	-0.135928816	-0.211635253	-0.043904394	-0.103262627	0.080606521
Scaffold attachment factor B1	Safb	0.074714512	-0.618802465	-0.750263476	-0.236462004	-0.079429315	0.012446284	0.090157786	-0.069014678	-0.100035721	-0.436588294	-0.163627539	-0.271067049	-0.053806444	-0.075601085	0.196326583	0.259012014
Poly [ADP-ribose] polymerase 1	Parp1	-0.18142064	-0.110229592	-0.043344505	-0.175045486	0.000245279	-0.210014738	-0.44763209	-0.168770384	-0.353436218	0.00131345	-0.020911066	-0.092207438	-0.092883966	-0.370052656	-0.358846331	-0.405774578
Insulin-like growth factor-binding protein 7	Igfbp7	-0.499067738	-0.246712101	-0.311386858	-0.224040274	-0.370499103	-0.630871383	-0.624615633	-0.481505617	-0.641546029	-0.209890007	-0.355467388	-0.463099267	-0.545474211	-0.784922702	-0.579952469	-0.546561136
	Gm20425	0.422945868	-0.195347598	-0.195851509	-0.156914315	-0.311386858	0.175712786	0.138330425	0.321585495	0.279441342	0.021599332	-0.265796925	-0.131852846	-0.460585313	0.294207837	-0.012926174	0.210462703
Apolipoprotein E	Apoe	0.165741846	-0.024603367	-0.028427705	-0.059078342	-0.191688976	0.193931711	0.118538978	0.16980959	0.054437241	0.02488345	0.00429118	-0.078063256	-0.024177814	0.170215373	0.172668729	0.097208629
Murinoglobulin-1	Mug1	0.207511093	0.084471451	0.231752145	0.258925696	0.321224952	0.490314291	0.360638162	0.370526803	0.252724325	0.196524957	0.301319222	0.144345111	0.326913998	0.419873816	0.326606397	0.238510466
Fibroblast growth factor 1	Fgf1	-0.076832696	-0.340619235	-0.462157048	-0.408277085	-0.470927257	-0.56315813	-0.25386828	-0.196732928	-0.409037857	-0.466548817	-0.476848252	-0.63236129	-0.542109438	-0.322505058	-0.082838815	0.102713099
Oxidoreductase HTATIP2	Htatip2	0.526514385	0.633412005	0.655398717	0.465519997	0.408358877	0.402073197	0.303543174	0.359971448	0.384244728	0.813778373	0.500013836	0.420800539	0.327040677	0.396631212	0.320540169	0.425539983
UBX domain-containing protein 7	Ubxn7	-0.054779032	-0.19761381	-0.188274311	-0.237318966	-0.130271955	0.080835378	0.109654484	-0.086376168	-0.282617721	-0.260868739	-0.100439479	-0.167871708	-0.138552375	0.055051623	-0.036186803	0.048695699
40S ribosomal protein S6	Rps6;Rps6-ps1	0.253635633	-0.09044698	0.010846457	0.007043089	-0.164013889	0.598347691	0.297768015	0.391493519	0.171790891	0.066714419	-0.01678155	0.067696888	0.025720336	0.393463017	0.316168826	0.279984265
N-acetylglucosamine-6-sulfatase	Gns	0.064042467	0.149664618	-0.109694865	0.104154531	0.257355608	0.349014918	0.294720952	0.20769435	0.075960941	0.164269915	0.075443998	0.305574411	0.411828669	0.280194483	0.339509432	0.301425893
14-3-3 protein beta/alpha;14-3-3 protein beta/alpha, N-terminally processed	Ywhab	-0.081748651	-0.078063256	-0.137896932	-0.095586908	-0.087055435	-0.053667449	-0.046141782	-0.022474347	-0.117296086	-0.131457785	-0.110363243	-0.175045486	-0.030971642	-0.081612323	-0.008056555	-0.038436182
Histidine-rich glycoprotein	Hrg	-0.243303487	-0.159112461	-0.208017755	-0.097880434	0.121000072	0.254650785	0.098273867	-0.256527627	-0.166586914	-0.159370847	-0.079292767	-0.16542962	-0.005902957	0.283193431	-0.02034218	0.155566137
Chaperone activity of bc1 complex-like, mitochondrial	Adck3	0.052520854	-0.056444801	0.074805678	0.159121894	0.181329378	-0.254473108	-0.363339312	-0.187261005	-0.057415612	0.129244696	0.090311368	0.308483701	0.068816206	-0.058801354	-0.10191896	-0.028144768
Torsin-1A-interacting protein 2	Tor1aip2	0.556775289	0.476498262	0.609706517	0.432220936	0.253721635	0.403560944	0.460945439	0.542815489	0.532470092	0.593942312	0.611733301	0.37300959	0.171433406	0.365759898	0.359416088	0.353450218
Alpha-mannosidase 2	Man2a1	0.236469445	0.021467537	0.051802865	-0.099093179	-0.112233058	0.157817635	0.06087876	0.152676508	0.232785916	0.029735321	-0.074231394	-0.065572312	-0.204265945	0.151169777	0.044925309	0.094187019
Apolipoprotein A-V	Apoa5	-0.412402175	-0.50650039	-0.301119353	-0.258940968	-0.114367025	-0.179638435	-0.098015234	-0.181547856	-0.238909117	-0.333080194	-0.437334286	-0.415974946	-0.073820233	-0.239398042	0.045773905	-0.341302653
Cathepsin L1;Cathepsin L1 heavy chain;Cathepsin L1 light chain	Ctsl1	0.182000258	0.249513546	0.321729738	0.438776524	0.227371086	-0.132379425	-0.329525485	-0.041663532	0.256700472	-0.044324169	0.318002098	0.179465642	0.401006016	0.150625176	-0.476433536	-0.10259095
Inosine-5-monophosphate dehydrogenase 2	Impdh2	0.073620975	0.008464549	-0.143393419	-0.001153695	0.06586852	-0.023752136	0.088116711	0.10932763	0.095542878	0.047681345	-0.124857467	-0.074368422	-0.066261442	-0.00273852	0.084915129	0.041238972
Thioredoxin domain-containing protein 15	Txndc15	0.513955007	0.406426315	0.567254341	0.331808243	-0.113033665	0.251109457	-0.00273852	0.487601164	0.316150864	0.530051526	0.306180773	0.308322913	-0.048096653	-0.311503115	0.073955023	-0.112766845
Serotransferrin	Tf	0.355608381	-0.250840334	-0.288890061	-0.209016592	-0.397474417	0.139267575	0.113941565	0.296668913	0.191343118	-0.094100916	-0.368600747	-0.190172345	-0.475396222	0.291044709	-0.148869044	0.132372337
Methionine adenosyltransferase 2 subunit beta	Mat2b	-0.124195772	-0.143393419	-0.110897723	-0.073820233	0.003119592	0.049904906	-0.016638942	0.034707008	-0.120882733	-0.161823203	-0.133168933	-0.045303168	0.102124541	-0.06253622	-0.088141597	-0.093154488
Alpha-2-HS-glycoprotein	Ahsg	0.120231509	-0.264956718	-0.154583209	-0.074505436	-0.099766486	0.155341181	0.036807044	0.146483335	0.05865326	-0.212880566	-0.28475101	-0.204391163	-0.295958068	0.178110224	-0.04194383	0.066064845
Transmembrane 9 superfamily member 1	Tm9sf1	NA	0.163688026	0.046459101	-0.134746655	0.048636012	0.425772519	NA	0.431753818	0.405470559	0.275821246	0.196243935	NA	0.006608228	0.182622329	NA	0.429031971
Retinol-binding protein 4	Rbp4	-0.88846077	-0.683741362	-0.658188628	-0.326767425	-0.235849577	-0.132642643	-0.354790649	-0.36960607	-0.577150837	-0.445091015	-0.676989478	-0.359071312	-0.286999397	-0.424599662	-0.429107082	-0.314870509
Fatty acid desaturase 1	Fads1	0.032713325	-0.247806018	-0.091936738	-0.377290365	-0.497535726	-0.265316867	-0.232906301	-0.229464873	-0.071899932	-0.05338942	-0.175301034	-0.273336847	-0.347665656	-0.374844741	-0.441377239	-0.363451457
17-beta-hydroxysteroid dehydrogenase 13	Hsd17b13	0.96592518	0.717026511	0.898054155	0.679249625	0.419584337	0.343732465	0.759649031	0.744559695	0.80409811	0.805055657	0.932609096	0.896066009	0.567126088	0.541345023	0.595598203	0.573745982
	Ppp2r1a	0.104712892	-0.539630325	-0.572889668	-0.563060483	0.0929863	0.04253109	-0.21424917	-0.030547964	-0.060185765	-0.415650514	-0.324004081	-0.643671513	-0.486147994	0.158654801	-0.001297842	-0.023326332
60S ribosomal protein L18	Rpl18	0.150176836	0.16891727	-0.025454096	-0.188400925	-0.283210618	0.17362846	0.091140988	0.246309897	0.441849942	0.271948892	0.236571428	0.127762226	-0.123401336	0.168268657	0.249513546	0.340787834
Carboxypeptidase N subunit 2	Cpn2	0.09324791	0.000418442	-0.21549223	0.027395564	-0.183073576	0.20727789	0.234618018	0.261379142	0.228942677	-0.059355278	-0.093154488	-0.176705738	-0.267116262	0.358102588	0.175354328	0.018059692
Roquin	Rc3h1	NA	0.269407863	0.318973597	NA	NA	0.627293014	NA	NA	0.291574358	NA	NA	0.53914213	NA	0.752752992	NA	0.462236779
Serine/threonine-protein kinase Sgk2	Sgk2	0.284950095	0.250422828	0.502607344	0.499952628	0.320666289	0.175207712	0.184145896	0.244804756	0.320251936	0.269147052	0.303471954	0.393936855	0.365815669	0.14058697	0.275070383	0.140268933
Low affinity cationic amino acid transporter 2	Slc7a2	0.5621544	-1.449904675	0.406521926	1.124219937	1.671669027	1.401901632	0.957859994	0.411521611	0.428468802	0.440439663	0.790658935	0.683993319	0.761751195	1.847725705	1.292333862	0.283333886
Polymeric immunoglobulin receptor;Secretory component	Pigr	0.317300866	0.196062126	0.530885056	0.586037709	0.98681648	0.273482636	0.23737054	-0.191436315	0.16971222	-0.0360461	0.513666621	0.837996262	1.144520517	0.269755685	0.346426301	0.469549651
Complement C3;Complement C3 beta chain;Complement C3 alpha chain;C3a anaphylatoxin;Complement C3b alpha chain;Complement C3c alpha chain fragment 1;Complement C3dg fragment;Complement C3g fragment;Complement C3d fragment;Complement C3f fragment;Complement C3c alpha chain fragment 2	C3	0.375702547	0.222515056	-0.076832696	0.028307471	-0.079975377	-0.030689204	0.158735324	0.25934007	0.354409003	0.072437244	-0.061292338	0.011457091	-0.181166174	0.36104575	0.055201512	0.219505113
Apolipoprotein A-II	Apoa2	-0.193834811	-0.087870133	-0.109026176	0.126911283	0.017490066	0.006492287	0.191985711	0.206844898	0.052176773	-0.007482576	-0.1212807	0.002714819	0.148768673	0.301852658	0.209878572	0.189811935
Lumican	Lum	-0.067225673	-0.459116814	-0.590530164	-0.279292991	-0.307078739	-0.252536767	-0.166843964	-0.227864273	-0.413160776	-0.416623592	-0.8131963	-0.361880627	-0.33616911	-0.001009533	-0.208017755	0.138727448
Acid sphingomyelinase-like phosphodiesterase 3a	Smpdl3a	-0.128293401	-0.085832524	0.098459206	0.079843924	0.295517527	0.175240292	0.103565385	-0.065848003	-0.021195425	0.159379664	0.076462856	0.13466709	0.335899502	0.001558953	0.177914366	-0.11209958
Beta-lactamase-like protein 2	Lactb2	0.267166425	0.298406587	0.36388353	0.385356109	0.34243316	0.264113946	0.22440157	0.345546128	0.2352632	0.362195027	0.319207575	0.379057065	0.371478344	0.247405533	0.269355697	0.261102489
Vitamin D-binding protein	Gc	0.209711721	-0.097206246	-0.046560906	-0.006333934	-0.045862298	0.27182696	0.17830611	0.18606493	0.09187883	-0.046421211	-0.10272531	-0.067776372	-0.15367565	0.236503439	0.078213321	0.044850895
NADPH--cytochrome P450 reductase	Por	0.261552077	0.11623844	0.351810697	-0.008486889	0.044419367	0.029323013	0.263836767	0.299027693	0.436978578	0.441320926	0.37250522	0.005116201	-0.160274831	0.095327088	0.289756706	0.157029211
NADPH:adrenodoxin oxidoreductase, mitochondrial	Fdxr	0.180102965	0.244924425	0.273221087	0.340038918	0.278513592	0.337867435	0.320630253	0.258269847	0.152516143	0.306359163	0.296031109	0.350191428	0.380408571	0.336099817	0.349125175	0.311864412
Beta-2-glycoprotein 1	Apoh	-0.063364879	-0.371056968	-0.290306435	-0.292310588	-0.221320307	-0.156267163	-0.235236889	-0.081612323	-0.088141597	-0.358508792	-0.406101238	-0.528671329	-0.412944073	-0.020911066	-0.222309979	-0.094100916
Apolipoprotein A-I;Truncated apolipoprotein A-I	Apoa1	-0.308127844	-0.564622052	-0.628353671	-0.586692697	-0.398459827	-0.130535557	-0.398131432	-0.196481149	-0.270349529	-0.488823464	-0.586596629	-0.54399072	-0.615227944	-0.180147861	-0.457751869	-0.334110568
Liprin-beta-1	Ppfibp1	-0.444349024	-0.337996464	-0.562572145	-0.333881659	-0.173639164	-0.240131118	-0.274530045	-0.179383654	-0.203890227	-0.545671894	-0.400865778	-0.257493448	0.057631883	-0.115699153	-0.083519749	-0.328606717
GTP-binding protein SAR1b	Sar1b	0.046593199	-0.048375705	-0.029841557	-0.073134705	-0.182819402	0.033274231	-0.02446153	-0.003026483	0.094710722	0.066714419	0.000288568	-0.019630756	-0.152767519	-0.151858817	0.064404476	0.064208376
DnaJ homolog subfamily A member 1	Dnaja1	-0.070938821	-0.007913082	-0.033933911	-0.187007567	-0.291014101	0.130839262	0.041224126	0.106140796	-0.00992041	0.075672038	-0.16079114	-0.240375394	-0.211386062	-0.101515615	0.126092331	-0.000576963
GMP synthase [glutamine-hydrolyzing]	Gmps	0.056881331	-0.032947164	-0.134746655	-0.025879273	-0.043764442	0.021247905	0.029691139	-0.039699918	-0.094776557	-0.146264195	-0.196229326	-0.064469017	-0.003890027	0.030309804	0.075428797	-0.059355278
Beta-hexosaminidase subunit alpha	Hexa	-0.046560906	-0.035483152	0.077726022	0.01922886	0.312580923	0.01792822	0.14539787	-0.126708602	-0.100843124	-0.047119549	0.030427674	0.226948908	0.21841367	0.208927779	0.126643498	0.184801688
Signal transducer and transcription activator 6	Stat6	0.406330711	0.358010133	0.347802647	0.418022154	0.504059293	0.563454346	0.346041159	0.223963409	0.216149461	0.210796599	0.334552651	0.607330877	0.436002373	0.440263476	0.536000964	0.139140468
	Sorbs2	0.338888902	0.259720017	0.197318728	0.273587269	0.332480231	0.393046168	0.268347524	0.247576801	0.198096385	0.140984615	0.090649304	0.192381295	0.352915787	0.324057641	0.385356109	0.235297165
Epsin-1	Epn1	0.110760111	0.052161815	0.032787116	0.06833207	0.12337108	0.177571677	0.203867439	-0.042924445	-0.008343459	0.04586326	0.044002841	-0.007769594	0.17948198	0.255201675	0.185506998	0.072164213
Small nuclear ribonucleoprotein Sm D3	Snrpd3	-0.262553427	-0.24902051	-0.314638527	-0.317535622	-0.15924166	-0.188907267	-0.190425227	-0.231923873	-0.276079728	-0.276794405	-0.380286156	-0.275603079	-0.157302466	-0.272381578	-0.17951105	-0.184089827
Na(+)/H(+) exchange regulatory cofactor NHE-RF1	Slc9a3r1	0.119134272	0.238697704	0.102124541	0.109996982	0.181280302	0.368755996	0.194261802	0.214943334	0.172538646	0.17716382	0.092693968	0.091002685	0.256045634	0.279809106	0.31423025	0.232701153
DNA topoisomerase 2-beta	Top2b	0.052101983	0.545739864	0.348078074	0.411943833	0.526306587	0.462495186	0.125116495	0.150609162	0.022932603	-0.039980598	0.374280638	0.930600288	0.306394844	-0.05088474	-0.279887255	-0.146133829
Nucleophosmin	Npm1	-0.048096653	0.056281171	-0.222309979	-0.133826527	-0.042644337	0.1231668	-0.030689204	0.073362899	-0.071488106	-0.036608829	-0.165558254	-0.220949004	-0.048654702	0.01055577	0.0195213	0.017212637
Complement factor I;Complement factor I heavy chain;Complement factor I light chain	Cfi	0.218212263	-0.074231394	-0.136191386	-0.199248307	-0.277984747	0.273691909	0.158783639	0.14185982	0.146275757	-0.141563582	-0.176450439	-0.220701417	-0.117960953	0.127084583	-0.016638942	-0.08011186
Carboxylesterase 1D	Ces1d	0.12689553	-0.02672925	0.045342101	-0.120750053	-0.099093179	-0.117296086	-0.028710586	0.029720594	0.068725418	-0.019630756	-0.11209958	-0.200504353	-0.204140717	-0.13395801	0.054901749	-0.137896932
Tubulin alpha-1C chain	Tuba1c	-0.127765328	-0.135140816	-0.154194325	-0.143524033	-0.120617361	-0.151599082	-0.208891775	-0.225028083	-0.178619043	-0.143524033	-0.16774328	-0.124725152	-0.144829521	-0.214622201	-0.218471211	-0.193834811
