Protein.ID	protein.length	aa.synthesis.average.cost_Akashi	aa.synthesis.average.cost_Wagner
A0A090LY95	1154	22.38	24.2
A0A090LY97	598	21.82	23.66
A0A090LYA0	541	22.41	24.29
A0A090LYA1	359	25.86	28.62
A0A090LYA3	198	24.75	27.61
A0A090LYA5	214	22.09	23.39
A0A090LYA7	218	20.87	23.37
A0A090LYA8	447	20.14	21.61
A0A090LYB0	538	22.81	24.37
A0A090LYB2	316	21.38	23.33
A0A090LYB4	380	23.26	25.42
A0A090LYB6	527	23.14	25.43
A0A090LYB8	348	22.48	23.86
A0A090LYC0	522	21.14	22.55
A0A090LYC3	759	22.08	24.54
A0A090LYC4	428	22.46	26
A0A090LYC6	79	24.02	26.98
A0A090LYC8	231	20.63	21.48
A0A090LYC9	696	21.36	23.44
A0A090LYD2	485	22.13	24.36
A0A090LYD4	161	22.27	23.7
A0A090LYD7	434	22.84	24.73
A0A090LYD8	399	21.31	23.09
A0A090LYE0	115	18.46	20.11
A0A090LYE3	604	21.89	23.71
A0A090LYE5	417	22.13	23.9
A0A090LYE8	253	23.49	25.78
A0A090LYE9	478	21.26	23.21
A0A090LYF1	419	20.87	22.9
A0A090LYF3	149	21.69	23.28
A0A090LYF5	275	21.45	23.61
A0A090LYF8	330	25.03	28.63
A0A090LYG1	303	23.93	26.18
A0A090LYG4	162	23.66	25.61
A0A090LYG5	404	21.55	22.89
A0A090LYG7	642	21.66	23.85
A0A090LYG8	572	23.08	25.25
A0A090LYH2	530	20.2	20.39
A0A090LYH5	233	23.39	25.6
A0A090LYH8	145	21.32	22.5
A0A090LYI0	245	20.22	21.91
A0A090LYI2	82	22.18	23.95
A0A090LYI6	51	21.33	25.59
A0A090LYI7	254	21.6	22.77
A0A090LYJ1	413	21.16	22.86
A0A090LYJ2	399	22.67	24.93
A0A090LYJ6	431	21.63	23.75
A0A090LYJ9	499	22.18	25.26
A0A090LYK2	88	21.1	23.51
A0A090LYK5	267	22.2	23.31
A0A090LYK6	409	22.3	24.21
A0A090LYL0	364	22.57	24.71
A0A090LYL2	261	21.89	23.74
A0A090LYL7	288	20.4	22.34
A0A090LYL8	157	23.12	24.86
A0A090LYM2	374	23.47	25.65
A0A090LYM3	594	22.42	24.84
A0A090LYM7	1328	23.49	25.91
A0A090LYM8	73	24.38	26.72
A0A090LYN2	272	22.68	24.49
A0A090LYN4	348	21.73	22.85
A0A090LYN7	350	21.03	22.8
A0A090LYP0	437	22.32	23.66
A0A090LYP2	363	21.85	23.65
A0A090LYP6	625	23.06	24.77
A0A090LYP7	242	20.82	23.09
A0A090LYQ1	234	21.33	23.35
A0A090LYQ2	390	23.58	25.52
A0A090LYQ6	169	21.22	22.82
A0A090LYQ7	106	19.81	21.3
A0A090LYR1	1835	23.65	26.28
A0A090LYR3	1127	22.56	24.45
A0A090LYR6	405	22.47	24.78
A0A090LYR9	273	24.96	28.07
A0A090LYS0	557	24.22	26.62
A0A090LYS4	592	22.73	25.04
A0A090LYS6	580	23.67	25.81
A0A090LYT0	1349	22.42	24.03
A0A090LYT1	2414	21.27	22.2
A0A090LYT6	113	23.47	24.47
A0A090LYT7	383	22.23	23.72
A0A090LYU1	366	22.19	24.33
A0A090LYU2	451	21.13	22.93
A0A090LYU5	354	20.8	22.8
A0A090LYU8	638	23.22	24.84
A0A090LYV1	1250	21.16	23.71
A0A090LYV3	505	22.17	24
A0A090LYV6	234	24.41	27.93
A0A090LYW0	268	20.98	22.76
A0A090LYW1	347	20.54	22.16
A0A090LYW5	197	22.52	24.19
A0A090LYW6	203	23.35	25.05
A0A090LYW9	502	21.63	22.88
A0A090LYX1	486	21.82	23.16
A0A090LYX4	512	22.74	24.51
A0A090LYX7	252	20.99	21.69
A0A090LYY0	3092	20.63	22.13
A0A090LYY2	1232	22.14	24.08
A0A090LYY5	559	20.82	21.77
A0A090LYY7	238	22.33	24.09
A0A090LYZ0	254	22.16	24.78
A0A090LYZ4	481	23.17	25.36
A0A090LYZ5	226	23.54	25.59
A0A090LYZ8	142	23.28	24.06
A0A090LZ00	1233	22.82	24.75
A0A090LZ03	578	21.84	22.88
A0A090LZ04	803	22.53	25.21
A0A090LZ08	342	23.75	25.49
A0A090LZ09	312	21.38	23.7
A0A090LZ13	391	21.71	23.6
A0A090LZ15	1037	23.52	25.82
A0A090LZ18	306	22.07	23.97
A0A090LZ20	226	24.42	26.36
A0A090LZ24	307	21.19	23.24
A0A090LZ26	173	22.12	24.3
A0A090LZ29	261	22.11	23.64
A0A090LZ31	433	20.91	22.51
A0A090LZ34	164	23.84	26.86
A0A090LZ37	257	20.01	23.06
A0A090LZ39	339	21.58	23.71
A0A090LZ42	316	23.29	25.5
A0A090LZ44	404	24.45	26.23
A0A090LZ47	324	20.59	22.52
A0A090LZ49	328	24.67	26.5
A0A090LZ52	275	22.19	23.71
A0A090LZ55	152	21.95	23.79
A0A090LZ58	177	23.08	25.25
A0A090LZ60	72	22.15	24.42
A0A090LZ63	365	23.99	26.26
A0A090LZ65	1314	21.34	23.06
A0A090LZ69	599	23.7	25.85
A0A090LZ70	243	22.04	23.48
A0A090LZ74	208	22.52	24.77
A0A090LZ75	195	23.48	26.34
A0A090LZ79	521	21.59	23.31
A0A090LZ80	363	22.22	24.1
A0A090LZ83	599	24.53	26.85
A0A090LZ85	771	23.27	25.3
A0A090LZ88	630	21.47	23.25
A0A090LZ90	386	21.98	24
A0A090LZ93	501	21.75	23.73
A0A090LZ95	942	21.86	23.57
A0A090LZ97	574	23.04	25.46
A0A090LZA1	424	20.47	22.49
A0A090LZA3	171	20.27	22.17
A0A090LZA5	300	22.01	23.18
A0A090LZA7	179	24.36	26.6
A0A090LZB0	334	23.24	24.77
A0A090LZB2	581	21.92	23.92
A0A090LZB4	639	22.53	24.75
A0A090LZB5	405	22.31	23.51
A0A090LZB8	1456	22.17	24.07
A0A090LZC0	840	21.84	23.6
A0A090LZC3	485	22.86	25.41
A0A090LZC4	287	21.7	23.71
A0A090LZC8	658	22.3	24.12
A0A090LZC9	310	22.97	24.36
A0A090LZD3	220	23.28	25.87
A0A090LZD4	120	23.15	23.7
A0A090LZD9	502	22.74	24.96
A0A090LZE4	751	20.44	22.21
A0A090LZE9	159	21.78	23.54
A0A090LZF4	4280	22.91	25.03
A0A090LZF5	155	22.32	23.25
A0A090LZG0	750	23.1	25.33
A0A090LZG5	518	22.07	24.29
A0A090LZG8	940	21.18	21.81
A0A090LZH0	307	24.53	26.21
A0A090LZH4	491	20.8	22.17
A0A090LZH5	379	21.85	23.71
A0A090LZH7	239	21.41	22.38
A0A090LZI1	553	22.34	24.49
A0A090LZI3	164	22.39	24.67
A0A090LZI7	472	22.71	24.33
A0A090LZI8	211	21.43	23.24
A0A090LZI9	190	21.05	23.32
A0A090LZJ3	432	20.44	22.03
A0A090LZJ5	494	21.7	23.62
A0A090LZJ8	346	20.39	21.52
A0A090LZK0	729	21.81	23.36
A0A090LZK3	3018	22.58	24.55
A0A090LZK5	1056	23.37	25.58
A0A090LZK7	408	22.16	23.15
A0A090LZL0	153	24.66	27.63
A0A090LZL2	1204	21.64	23.89
A0A090LZL4	650	22.56	25.43
A0A090LZL6	198	23.5	25.17
A0A090LZL9	268	20.19	21.61
A0A090LZM1	375	23.78	24.99
A0A090LZM4	671	22.4	24.4
A0A090LZM8	534	22.3	25.45
A0A090LZN1	267	20.54	22.65
A0A090LZN2	324	20.66	21.37
A0A090LZN5	233	23.32	24.86
A0A090LZN7	542	21.77	23.73
A0A090LZN8	509	22.16	24.34
A0A090LZP0	812	22.8	25.3
A0A090LZP3	284	23.04	25.74
A0A090LZP4	180	19.73	21.24
A0A090LZP6	481	20.57	21.65
A0A090LZP7	230	23.1	25.23
A0A090LZP9	248	26.05	29.16
A0A090LZQ1	665	22.04	24.55
A0A090LZQ2	229	22.86	24.64
A0A090LZQ4	307	22.03	24.12
A0A090LZQ7	112	21.46	23.54
A0A090LZQ9	384	21.31	23.02
A0A090LZR0	104	22.99	24.32
A0A090LZR2	573	21.72	23.51
A0A090LZR5	505	22.89	25.45
A0A090LZR6	94	21.82	24.51
A0A090LZR9	355	20.94	21.96
A0A090LZS0	143	20.33	21.71
A0A090LZS2	207	22.1	24.12
A0A090LZS3	99	23.63	25.2
A0A090LZS5	1069	23.13	25.44
A0A090LZS7	586	23.1	25.23
A0A090LZT0	501	22.42	24.37
A0A090LZT1	242	21.4	22.71
A0A090LZT3	256	21.19	22.52
A0A090LZT6	256	22.97	24.61
A0A090LZT8	458	23.89	26.02
A0A090LZU1	286	20.13	20.67
A0A090LZU2	1198	22.02	23.45
A0A090LZU5	351	22.16	23.78
A0A090LZU6	329	21.34	22.4
A0A090LZU8	854	23.14	24.88
A0A090LZV0	1143	21.7	23.75
A0A090LZV5	512	21.33	22.36
A0A090LZV6	1163	21.12	22.51
A0A090LZV8	578	22.38	24.73
A0A090LZW1	227	20.7	21.98
A0A090LZW3	169	23.48	25.41
A0A090LZW6	249	22.25	22.62
A0A090LZW9	449	20.88	21.97
A0A090LZX0	616	23.03	24.63
A0A090LZX4	336	22.41	24.09
A0A090LZX5	208	22.61	24.44
A0A090LZX9	741	20.1	21.13
A0A090LZY1	258	20.38	22.03
A0A090LZY4	247	21.47	23.05
A0A090LZY6	416	22.61	25.24
A0A090LZY8	580	23.68	26.47
A0A090LZZ1	115	22.58	24.2
A0A090LZZ4	527	23.01	24.46
A0A090LZZ5	460	22.26	24.28
A0A090LZZ9	120	21.26	22.45
A0A090M001	182	20.46	21.84
A0A090M004	1222	23.57	25.91
A0A090M006	422	23.38	26.75
A0A090M010	189	20.17	21.98
A0A090M012	513	21.14	22.1
A0A090M015	174	25.24	27.39
A0A090M017	699	20.81	22.73
A0A090M020	443	24.45	26.46
A0A090M023	364	22.28	24.69
A0A090M026	421	22.12	23.96
A0A090M028	524	23.76	25.85
A0A090M032	1150	23.24	24.85
A0A090M033	278	21.4	23.24
A0A090M037	434	21.75	23.65
A0A090M038	446	22.07	24.18
A0A090M043	127	20.37	20.72
A0A090M044	440	21.39	22.86
A0A090M048	128	20.94	21.56
A0A090M049	853	21.97	24.16
A0A090M053	212	21.36	22.84
A0A090M054	314	23.03	25.97
A0A090M058	171	19.67	20.17
A0A090M060	393	22.84	24.9
A0A090M063	252	21.98	23.53
A0A090M066	201	21.79	23.68
A0A090M068	791	23.59	25.41
A0A090M071	194	23.34	25.14
A0A090M072	339	22.03	24.64
A0A090M076	205	23.35	24.91
A0A090M078	228	20.44	22.26
A0A090M082	217	21.22	22.79
A0A090M083	404	21.05	22.3
A0A090M087	759	22.7	24.75
A0A090M089	734	22.04	24.39
A0A090M092	367	23.03	25.17
A0A090M096	572	22.42	24.95
A0A090M097	1428	21.6	23.79
A0A090M0A1	1171	21.45	23.65
A0A090M0A2	497	22.04	23.85
A0A090M0A7	460	23.84	24.86
A0A090M0A8	216	21.81	23.21
A0A090M0B1	819	23.72	26.31
A0A090M0B3	64	20.68	23.2
A0A090M0B6	227	21.18	23.78
A0A090M0B8	733	21.59	23.42
A0A090M0C1	86	21.95	23
A0A090M0C4	288	22.34	24.55
A0A090M0C6	282	22.05	23.88
A0A090M0C9	185	23.46	25.35
A0A090M0D1	282	21.63	23.39
A0A090M0D3	760	22.37	24.64
A0A090M0D7	333	21.46	22.76
A0A090M0D8	1182	23.22	24.55
A0A090M0E2	240	22.1	24.29
A0A090M0E4	457	22.37	24.21
A0A090M0E7	577	21.62	23.39
A0A090M0F0	492	22.39	24.26
A0A090M0F4	825	22.03	24.43
A0A090M0F5	397	23.67	25.24
A0A090M0F8	334	23.6	25.66
A0A090M0G1	4605	22.65	24.72
A0A090M0G2	792	19.9	21.67
A0A090M0G6	233	20.71	21.79
A0A090M0G7	448	21.4	23.53
A0A090M0H1	177	22.15	23.56
A0A090M0H2	448	22.66	25.18
A0A090M0H6	147	21	23.31
A0A090M0H9	129	21.88	23.19
A0A090M0I1	897	21.8	24.09
A0A090M0I5	519	22.67	24.25
A0A090M0I6	117	23.35	25.43
A0A090M0J0	718	21.53	23.56
A0A090M0J2	1740	22.44	24.89
A0A090M0J5	431	21.3	23.48
A0A090M0J8	345	20.46	22.07
A0A090M0K0	377	21.42	22.76
A0A090M0K3	340	22.02	23.48
A0A090M0K6	265	22.99	25.48
A0A090M0K9	294	21.95	23.67
A0A090M0L3	206	23.27	25.13
A0A090M0L4	992	21.89	24.13
A0A090M0L8	116	25.81	27.17
A0A090M0L9	593	21.76	23.84
A0A090M0M4	166	23.94	25.8
A0A090M0M5	2266	22.79	24.71
A0A090M0N0	290	22.89	24.39
A0A090M0N1	70	24.21	25.14
A0A090M0N5	504	21.87	23.73
A0A090M0N6	817	20.72	22.4
A0A090M0N9	488	22.12	23.87
A0A090M0P2	66	19.71	21.7
A0A090M0P4	232	20.61	20.18
A0A090M0P8	436	23.38	25.78
A0A090M0P9	175	25.11	28.44
A0A090M0Q2	707	22.77	25.27
A0A090M0Q3	331	22.34	24.65
A0A090M0Q6	743	22.17	23.73
A0A090M0Q7	190	22.32	25.08
A0A090M0R0	340	22.89	24.54
A0A090M0R1	374	21.32	23.48
A0A090M0R5	755	21.69	23.02
A0A090M0R6	224	20.63	22.39
A0A090M0R9	868	22.07	23.95
A0A090M0S1	268	21.26	23.61
A0A090M0S4	470	23.05	24.71
A0A090M0S7	160	20.15	21.5
A0A090M0S9	1159	21.97	23.65
A0A090M0T2	1353	23.54	25.51
A0A090M0T6	626	23.29	25.61
A0A090M0T8	102	23.34	24.5
A0A090M0U2	250	23.03	24.71
A0A090M0U4	97	21.01	22.87
A0A090M0U8	203	21.14	22.01
A0A090M0V0	1564	21.2	24.13
A0A090M0V4	640	20.87	23.38
A0A090M0V9	352	19.44	21.04
A0A090M0W3	333	22.52	24.22
A0A090M0W8	447	21.32	23.33
A0A090M0X3	415	24.67	28.04
A0A090M0X4	290	23.57	26.13
A0A090M0X7	239	22.03	23.99
A0A090M0Y2	736	21.69	23.58
A0A090M0Y6	769	23.37	25.27
A0A090M0Y8	298	21.98	22.37
A0A090M0Z0	1557	22.41	24.49
A0A090M0Z3	123	20.45	21.72
A0A090M0Z5	254	23.76	25.96
A0A090M0Z7	471	22.85	25.24
A0A090M0Z9	97	23.45	25.04
A0A090M101	557	22.05	23.99
A0A090M104	695	21.55	22.9
A0A090M106	481	20	21.58
A0A090M107	561	22.68	25.76
A0A090M110	1121	22.82	24.49
A0A090M112	704	20.3	21.96
A0A090M117	187	22.18	23.32
A0A090M121	420	22.87	24.5
A0A090M122	414	24.53	27.67
A0A090M125	1489	22.44	24.55
A0A090M127	243	24.43	27.51
A0A090M128	231	22.64	23.3
A0A090M129	473	20.66	22.86
A0A090M131	50	21.73	23.46
A0A090M133	1124	20.93	22.48
A0A090M134	185	23.78	26.29
A0A090M137	639	22.01	24.25
A0A090M138	138	25.61	28.32
A0A090M141	321	22.2	23.98
A0A090M142	1382	20.9	22.21
A0A090M144	1235	20.25	21.61
A0A090M146	258	22.37	24.67
A0A090M147	250	22.62	25.44
A0A090M148	184	23.23	25.01
A0A090M149	306	20.43	21.2
A0A090M151	368	23.24	26.4
A0A090M152	565	22.69	25.37
A0A090M155	142	22.47	24.36
A0A090M156	515	23.82	25.59
A0A090M159	338	19.25	19.66
A0A090M161	273	22.69	24.61
A0A090M162	463	21.89	23.89
A0A090M164	1310	22.07	23.97
A0A090M166	361	22.97	26.31
A0A090M169	311	19.51	20.46
A0A090M171	421	21.32	22.73
A0A090M174	397	25.19	28
A0A090M175	203	21.27	23.51
A0A090M178	545	22.55	25.03
A0A090M179	322	22.65	24.93
A0A090M181	802	22.12	24.18
A0A090M183	417	22.46	23.97
A0A090M186	1167	19.31	21.4
A0A090M189	490	22.06	23.55
A0A090M190	196	21.14	23.4
A0A090M194	109	22.39	24.48
A0A090M197	312	21.93	23.16
A0A090M1A0	326	23.76	25.6
A0A090M1A1	728	22.59	24.24
A0A090M1A4	464	23.02	25.18
A0A090M1A6	442	22.81	25.44
A0A090M1B0	711	23.29	25.23
A0A090M1B1	437	21.84	24.15
A0A090M1B6	369	22.06	23.94
A0A090M1B7	280	21.29	23.2
A0A090M1C1	568	22.08	23.54
A0A090M1C3	173	21.36	22.54
A0A090M1C7	317	21.02	23.66
A0A090M1C9	253	21.68	22.98
A0A090M1D3	224	21.74	23.83
A0A090M1D4	266	22.1	23.96
A0A090M1D7	192	22.65	25
A0A090M1D9	541	23.22	25.16
A0A090M1E2	1490	21.45	23.19
A0A090M1E4	431	22.59	24.5
A0A090M1E8	448	22.21	22.22
A0A090M1E9	242	22.92	22.93
A0A090M1F3	776	24.89	27.66
A0A090M1F5	567	22.68	24.88
A0A090M1F8	140	23.19	25.25
A0A090M1G0	1109	21.93	24.61
A0A090M1G2	671	22.01	24.06
A0A090M1G5	270	21.84	24.3
A0A090M1G8	337	23.28	25.72
A0A090M1G9	176	21.45	23.12
A0A090M1H3	496	22.72	24.31
A0A090M1H5	143	23.56	25.89
A0A090M1H7	679	21.68	23.74
A0A090M1I1	292	22.7	24.98
A0A090M1I2	265	20.39	21.66
A0A090M1I6	230	23.52	26.53
A0A090M1I7	390	22.43	24.47
A0A090M1I9	312	21.74	23.33
A0A090M1J0	688	22.84	24.99
A0A090M1J4	373	22.83	24.38
A0A090M1J6	815	23.97	26.56
A0A090M1J9	2680	22.08	24.8
A0A090M1K2	315	21.76	23.75
A0A090M1K4	231	23.26	24.78
A0A090M1K7	212	20.01	21.05
A0A090M1K8	291	22.92	25.2
A0A090M1L2	283	25.43	27.61
A0A090M1L3	506	21.54	22.7
A0A090M1L7	443	23	24.84
A0A090M1L8	217	23.26	25.56
A0A090M1M2	570	22.79	24.49
A0A090M1M3	907	20.91	22.4
A0A090M1M7	512	21.79	23.73
A0A090M1M8	257	21.62	23.82
A0A090M1N2	61	23.35	25.89
A0A090M1N5	454	23.3	26.19
A0A090M1N8	590	23.42	25.49
A0A090M1P0	2063	21.83	23.69
A0A090M1P1	272	20.87	22.4
A0A090M1P2	248	22.86	23.8
A0A090M1P7	142	20.86	22.18
A0A090M1P8	1099	21.87	23.54
A0A090M1Q2	394	23.85	27.34
A0A090M1Q3	674	21.88	23.45
A0A090M1Q7	130	21.29	22.34
A0A090M1Q8	980	23.01	24.82
A0A090M1Q9	210	22.83	23.73
A0A090M1R2	610	23.62	26.57
A0A090M1R3	221	23.21	24.88
A0A090M1R4	455	23.04	24.82
A0A090M1R5	376	21.5	23.08
A0A090M1R8	417	20.96	22.17
A0A090M1R9	227	20.31	21.05
A0A090M1S0	262	21.48	23.56
A0A090M1S2	810	22.51	24.51
A0A090M1S4	108	23.9	25.88
A0A090M1S6	110	24.66	27.05
A0A090M1S7	783	22.01	23.99
A0A090M1S9	231	21.71	24.87
A0A090M1T1	542	23.78	26.44
A0A090M1T2	365	22.99	25.31
A0A090M1T3	590	23.72	25.94
A0A090M1T5	171	23.14	25.56
A0A090M1T7	2452	24.85	27.57
A0A090M1T8	235	22.58	25.37
A0A090M1U1	376	23.84	26.99
A0A090M1U2	936	21.8	23.83
A0A090M1U3	555	23.64	25.82
A0A090M1U5	236	20.58	20.69
A0A090M1U7	428	25.39	29.2
A0A090M1U8	1042	22.51	24.67
A0A090M1V0	389	21.05	22.49
A0A090M1V2	459	23.61	27.17
A0A090M1V4	461	21.66	24.28
A0A090M1V5	314	21.68	22.55
A0A090M1V8	2222	22.03	24.22
A0A090M1V9	158	23.45	25.83
A0A090M1W0	619	21.82	23.28
A0A090M1W3	1169	23.57	26.46
A0A090M1W4	934	22.35	24.25
A0A090M1W5	895	24.06	26.99
A0A090M1W8	819	22.62	25.78
A0A090M1W9	1415	22.65	24.95
A0A090M1X0	238	22.67	23.69
A0A090M1X2	336	20.97	22.37
A0A090M1X4	205	22.9	25.56
A0A090M1X5	103	22.73	24.97
A0A090M1X7	792	21.62	23.59
A0A090M1X8	117	19.7	20.56
A0A090M1Y0	106	21.48	22.69
A0A090M1Y1	242	20.61	22.09
A0A090M1Y3	446	23.53	26.74
A0A090M1Y5	371	22.9	25.11
A0A090M1Y7	392	22.27	24.06
A0A090M1Y8	579	22.52	24.45
A0A090M1Z0	671	22.91	25.04
A0A090M1Z1	246	22.69	25.15
A0A090M1Z3	942	23.73	26.01
A0A090M1Z5	548	23.21	25.51
A0A090M1Z6	364	21.06	22.62
A0A090M1Z7	936	23.24	25.66
A0A090M200	1197	23.16	25.54
A0A090M202	701	23.1	25.11
A0A090M203	186	20.2	21.01
A0A090M205	221	21.35	23.05
A0A090M207	652	21.66	23.26
A0A090M208	386	20.12	19.78
A0A090M210	565	22.26	23.89
A0A090M212	379	21.63	22.53
A0A090M213	407	21.82	24.76
A0A090M214	643	22.62	24.81
A0A090M217	343	24.25	26.15
A0A090M218	55	20.7	20.02
A0A090M219	2430	24.32	27.16
A0A090M221	363	22.28	24.47
A0A090M223	93	23.91	26.29
A0A090M225	339	21.25	23.03
A0A090M226	810	21	21.92
A0A090M228	114	20.29	21.91
A0A090M230	424	22.98	25.35
A0A090M231	314	22.04	23.89
A0A090M234	1694	23.43	25.89
A0A090M235	312	20.95	22.87
A0A090M236	308	22.23	23.47
A0A090M238	612	22.61	25.1
A0A090M240	534	21.72	24.24
A0A090M241	151	24.68	26.73
A0A090M243	142	20.46	23.07
A0A090M244	636	21.16	22.85
A0A090M246	433	21.57	24.25
A0A090M248	395	23.11	25.04
A0A090M249	336	21.43	22.97
A0A090M250	409	23.33	25.02
A0A090M253	672	22.05	23.69
A0A090M254	193	20.28	23.24
A0A090M255	140	19.96	21.47
A0A090M258	351	22.34	25.67
A0A090M259	501	20.16	22.1
A0A090M260	567	21.78	23.4
A0A090M263	1419	22.01	23.57
A0A090M264	332	22.11	24
A0A090M265	519	20.8	22.2
A0A090M267	320	22.98	24
A0A090M268	157	21.37	22.54
A0A090M269	326	22.29	24.19
A0A090M271	373	22.26	24.05
A0A090M272	468	22.17	24.1
A0A090M273	712	20.56	22.16
A0A090M275	71	20.13	20.68
A0A090M276	1740	24.43	27.35
A0A090M278	936	23.22	25.52
A0A090M280	132	23.26	25.41
A0A090M281	1318	21.69	23.87
A0A090M282	363	23.16	25.08
A0A090M284	432	21.62	23.5
A0A090M285	198	20.61	22.02
A0A090M286	519	21.75	23.27
A0A090M288	544	21.08	22.75
A0A090M290	1046	21.99	24.04
A0A090M291	161	21.83	24.16
A0A090M294	386	21.98	25.11
A0A090M296	209	21.85	22.59
A0A090M297	318	23.03	25.13
A0A090M2A0	410	20.46	21.55
A0A090M2A2	189	24.04	26.04
A0A090M2A5	322	22.72	24.98
A0A090M2A7	122	23.2	25.04
A0A090M2A8	300	22.09	23.63
